"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,241,516,115,149,726,698,164,494,178,578,145,58,115,388,545,342,24,109,949,630,228,360,743,409,393,124,244,13,49,450,733,964,547,50,201,973,45,434,250,648,9,199,873,969,513,912,478,460,253,236,343,37,440,855,834,296,759
"FKBP14",241,0,629,271,29,892,889,660,225,377,808,979,798,607,354,134,654,46,272,115,234,259,996,149,163,172,161,822,908,843,738,13,352,51,930,741,495,619,642,295,758,732,697,76,261,385,266,224,848,564,182,419,486,408,278,592,619,46
"ACADVL",516,629,0,356,722,988,735,49,450,354,411,386,610,711,446,264,316,477,438,688,297,293,550,964,518,390,636,885,18,553,300,544,908,345,733,673,760,616,628,361,140,17,561,693,567,729,145,176,633,744,525,219,259,770,955,876,605,228
"ADD1",115,271,356,0,58,223,713,171,973,198,762,844,67,50,561,251,94,742,407,843,437,538,716,208,742,289,903,47,29,448,113,583,916,923,82,219,129,796,836,106,27,826,626,500,961,192,368,442,777,772,616,807,939,543,9,288,302,49
"EDEM1",149,29,722,58,0,582,801,392,719,28,855,43,106,426,560,944,186,761,235,653,380,228,322,883,898,739,186,427,995,409,772,332,719,888,735,81,745,100,426,357,577,1,195,568,602,771,383,446,773,178,663,318,87,410,424,992,709,134
"HSP90B1",726,892,988,223,582,0,791,245,538,730,120,195,61,168,173,330,633,375,429,848,133,116,950,685,640,719,582,262,900,114,834,234,976,823,950,184,919,398,261,735,652,369,934,740,240,639,172,171,142,782,913,287,495,565,962,99,386,882
"CUL7",698,889,735,713,801,791,0,973,690,702,810,368,204,864,929,753,740,258,622,891,947,208,572,840,786,488,551,488,857,276,675,154,378,538,909,803,987,123,849,935,504,9,343,418,810,509,278,186,832,113,340,932,174,407,584,161,894,823
"WIPI1",164,660,49,171,392,245,973,0,54,528,354,924,150,130,427,207,231,75,698,609,559,401,66,645,869,628,980,418,342,234,314,902,557,119,331,442,52,122,809,220,1000,592,189,369,223,379,575,306,291,528,253,949,946,599,420,989,788,179
"PLA2G4B",494,225,450,973,719,538,690,54,0,863,887,530,745,941,299,818,805,222,649,511,846,927,565,376,687,781,426,348,121,762,190,596,663,427,742,828,759,921,871,819,364,844,866,85,659,503,549,232,772,725,536,881,895,636,435,865,907,655
"TLN1",178,377,354,198,28,730,702,528,863,0,448,485,343,689,497,176,674,865,111,341,693,272,743,983,156,781,886,472,502,610,612,150,837,691,664,445,199,101,828,533,962,92,832,453,580,434,906,498,839,97,908,744,500,332,863,779,600,5
"KLHDC3",578,808,411,762,855,120,810,354,887,448,0,146,652,143,634,262,636,422,888,381,790,115,509,591,408,711,105,414,559,197,17,88,176,351,188,518,378,136,79,917,485,731,795,584,263,604,132,805,722,107,763,116,580,885,223,999,745,696
