"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,18,34,660,800,77,920,0,896,0,18,608,0,54,585,26,147,516,9,0,73,18,91,253,954,14,773,547,49,38,0,53,0,11,657,1,44,724,78,356,660,925,38,813,172,401,156,380,66,70,364,78,42,0,42,466,332,547
"FKBP14",18,0,562,350,427,221,533,119,78,7,755,10,92,552,802,150,316,283,317,217,939,567,398,62,824,11,434,32,508,0,25,61,69,299,589,2,455,350,931,556,0,823,113,147,237,14,636,828,696,28,416,851,110,15,51,6,100,662
"ACADVL",34,562,0,49,180,176,218,174,83,74,807,118,2,373,809,113,430,459,13,2,300,2,371,16,122,579,320,440,865,133,144,837,150,62,7,79,90,914,301,201,946,297,4,99,922,645,890,527,352,342,13,444,45,10,730,18,85,778
"ADD1",660,350,49,0,387,625,768,920,2,823,915,283,54,74,87,203,509,650,308,138,932,406,480,13,708,704,846,217,145,742,460,689,171,484,0,75,78,348,683,321,689,666,912,9,182,561,57,566,834,17,324,762,985,975,710,262,243,367
"EDEM1",800,427,180,387,0,859,460,756,123,755,548,140,120,256,70,221,302,321,348,78,110,747,635,654,557,129,342,315,980,347,885,141,737,672,964,1,482,748,45,150,119,771,822,670,900,316,367,263,281,270,916,495,477,69,368,21,432,857
"HSP90B1",77,221,176,625,859,0,722,107,994,17,825,879,708,135,525,934,289,792,37,578,112,954,516,492,366,367,108,259,18,196,822,263,48,598,547,728,535,801,168,318,7,937,24,239,264,33,609,203,518,957,233,12,209,534,385,316,767,251
"CUL7",920,533,218,768,460,722,0,576,302,479,146,531,251,297,167,348,651,459,991,273,539,202,338,364,19,385,272,554,943,109,61,3,597,81,486,727,173,539,256,330,324,143,454,295,140,756,929,801,149,171,347,64,572,831,981,630,549,231
"WIPI1",0,119,174,920,756,107,576,0,738,17,194,262,716,776,841,311,181,603,424,956,451,475,94,222,398,38,738,12,839,21,28,49,10,836,748,267,341,5,670,979,4,304,223,826,528,134,824,884,551,777,87,179,15,18,170,895,115,922
"PLA2G4B",896,78,83,2,123,994,302,738,0,958,283,438,17,536,782,117,280,985,214,10,106,326,520,94,913,693,529,884,451,745,75,492,226,110,103,209,52,226,212,341,850,156,37,867,285,947,491,790,578,205,155,789,752,263,645,965,180,219
"TLN1",0,7,74,823,755,17,479,17,958,0,705,754,63,105,147,224,504,79,3,90,85,283,627,851,639,6,962,517,999,8,2,339,33,141,581,195,21,668,764,859,734,94,9,898,299,691,67,763,245,397,71,622,619,143,107,746,67,186
