"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,229,42,935,505,0,47,149,373,314,397,118,23,24,7,93,86,502,935,13,748,67,252,134,182,192,512,797,432,202,479,577,678,825,872,961,4,379,9,428,383,348,513,545,4,0,27,2,48,32,298,27,263,935,600,457,139,519
"FKBP14",229,0,436,706,976,61,784,919,388,11,684,161,863,378,630,907,553,84,17,686,180,834,453,818,6,0,177,37,331,113,415,187,521,146,961,953,34,845,740,591,43,421,694,458,507,93,691,389,325,637,206,19,807,0,463,37,474,95
"ACADVL",42,436,0,9,44,731,149,483,716,94,0,293,827,3,1,315,860,0,191,962,719,80,435,126,70,227,0,876,61,0,573,885,1,10,7,528,770,448,6,0,34,605,275,28,996,10,3,6,1,283,0,586,110,437,0,629,576,800
"ADD1",935,706,9,0,123,877,80,774,449,17,0,35,32,1,1,246,232,0,1000,52,408,39,883,22,106,796,0,393,132,9,5,156,55,0,193,10,832,307,0,0,2,0,37,19,7,24,25,3,3,460,0,0,212,95,11,225,400,10
"EDEM1",505,976,44,123,0,49,25,676,16,347,348,977,711,493,775,135,82,1,110,56,459,743,657,1,305,85,97,13,490,469,3,0,717,619,552,68,565,908,733,643,90,167,11,33,100,40,636,106,355,0,512,670,472,0,771,13,0,319
"HSP90B1",0,61,731,877,49,0,792,119,140,816,427,544,1,204,365,50,1,0,984,19,157,84,20,397,31,562,321,218,26,13,487,85,4,0,591,61,36,415,164,862,988,8,521,169,2,161,929,517,446,763,535,19,304,427,632,782,13,98
"CUL7",47,784,149,80,25,792,0,824,973,313,916,714,0,547,11,304,134,11,27,26,21,32,129,69,33,3,211,208,88,724,642,47,78,213,68,172,4,457,375,33,416,0,658,477,814,603,0,0,0,729,59,571,4,31,10,906,994,402
"WIPI1",149,919,483,774,676,119,824,0,312,707,26,473,165,39,99,151,377,0,492,260,499,845,58,162,1,286,598,638,864,81,317,185,514,26,187,639,407,938,414,197,668,603,144,7,733,509,2,314,328,463,42,121,702,615,601,173,211,897
"PLA2G4B",373,388,716,449,16,140,973,312,0,222,6,210,5,31,853,3,16,0,882,282,523,889,572,982,164,665,0,530,63,149,900,838,0,0,191,8,2,340,752,6,485,14,237,294,969,437,821,0,338,9,0,200,286,560,24,240,17,56
"TLN1",314,11,94,17,347,816,313,707,222,0,784,294,259,37,625,377,286,354,1,781,804,225,17,79,55,0,175,306,5,1,394,937,0,891,238,848,580,354,492,714,264,55,795,381,61,46,4,60,776,605,391,277,224,0,705,131,179,644
"KLHDC3",397,684,0,0,348,427,916,26,6,784,0,564,0,422,0,63,438,19,915,278,0,28,0,188,694,26,2,303,109,635,15,305,4,69,0,284,302,632,9,1,673,0,29,248,10,48,1,894,4,1,77,96,274,109,655,20,5,135
"SEC31A",118,161,293,35,977,544,714,473,210,294,564,0,240,219,808,82,445,302,667,510,2,55,109,35,11,65,170,23,286,19,0,109,66,861,346,240,922,128,692,503,483,578,0,411,32,893,256,640,799,16,704,998,898,140,41,363,55,961
