"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,246,1,87,661,92,116,37,52,897,230,4,30,245,174,956,695,105,488,39,503,15,658,226,386,954,638,237,269,872,559,227,157,575,12,108,507,361,916,861,780,679,9,549,172,395,110,956,528,846,911,975,772,515,139,2,111,254
"FKBP14",246,0,951,616,920,141,124,567,464,733,45,963,882,691,368,172,161,536,1,828,167,543,175,827,47,446,542,122,572,629,67,76,824,405,466,587,573,173,404,78,430,70,705,688,246,371,54,470,110,828,119,32,117,73,537,861,49,979
"ACADVL",1,951,0,430,896,869,318,787,622,247,111,652,947,296,30,869,898,231,580,709,731,235,833,618,102,937,742,427,794,792,66,445,21,715,664,179,743,190,42,902,660,164,39,331,802,766,142,165,957,551,519,434,818,143,500,503,782,658
"ADD1",87,616,430,0,717,762,684,406,571,751,711,809,929,565,439,222,293,203,738,208,25,828,492,408,367,505,755,724,401,37,964,797,254,57,881,463,332,110,51,727,324,932,554,28,246,644,269,168,30,55,182,696,775,936,182,862,750,337
"EDEM1",661,920,896,717,0,368,456,787,767,179,721,882,704,331,54,371,850,579,615,218,856,386,208,714,853,894,302,339,493,450,188,660,785,385,672,907,442,311,863,18,165,881,780,985,592,696,645,757,540,381,223,86,253,22,513,958,251,436
"HSP90B1",92,141,869,762,368,0,513,114,692,835,595,830,263,383,227,789,194,622,15,358,630,594,24,929,716,882,870,989,523,189,561,98,255,934,768,624,448,706,32,445,949,14,731,191,697,345,464,350,978,864,615,119,77,986,302,994,921,657
"CUL7",116,124,318,684,456,513,0,922,510,162,150,176,832,438,412,939,765,279,46,363,460,23,311,208,64,547,478,188,53,259,250,133,419,115,319,311,173,90,172,503,120,58,117,269,80,382,232,119,945,531,329,147,18,69,706,74,589,943
"WIPI1",37,567,787,406,787,114,922,0,210,337,570,959,911,888,444,328,158,685,693,689,363,945,33,369,663,947,651,49,185,745,896,914,536,735,170,602,512,711,433,580,914,776,940,212,898,551,184,329,289,406,513,82,483,175,45,641,797,832
"PLA2G4B",52,464,622,571,767,692,510,210,0,458,845,890,544,339,600,125,235,537,564,127,556,946,402,567,233,941,587,325,484,424,722,609,320,541,566,889,763,111,13,901,387,350,672,581,167,154,531,29,772,182,962,710,438,143,89,302,190,891
"TLN1",897,733,247,751,179,835,162,337,458,0,428,721,653,973,223,439,631,434,15,527,679,121,198,633,584,323,944,744,590,635,205,475,400,312,23,626,131,377,11,85,506,16,910,309,881,349,745,110,37,43,156,74,79,0,54,863,71,828
