"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,186,313,451,466,869,113,974,491,809,945,273,843,232,697,327,497,21,765,521,515,978,35,45,57,762,78,642,135,673,644,948,684,235,399,290,680,818,178,374,827,726,160,70,277,873,458,705,90,657,696,613,214,347,166,632,852,131
"FKBP14",186,0,976,237,355,540,734,826,382,784,76,80,164,462,202,335,220,980,987,774,619,366,878,866,334,78,802,348,870,644,277,328,834,441,541,989,26,871,408,129,162,619,711,550,439,985,358,231,74,959,156,500,179,915,416,659,693,32
"ACADVL",313,976,0,289,753,579,764,658,34,412,253,698,207,821,214,114,66,526,395,355,551,181,845,534,654,482,732,526,568,411,94,784,30,29,964,289,121,43,652,40,941,484,989,95,779,95,91,124,872,603,175,523,567,913,594,442,437,298
"ADD1",451,237,289,0,107,979,825,464,507,127,775,594,770,988,628,722,110,644,57,154,757,469,632,441,228,868,329,980,762,454,590,595,82,596,264,960,451,702,898,919,626,753,528,744,710,673,790,3,52,835,617,993,422,497,607,723,337,371
"EDEM1",466,355,753,107,0,376,727,787,25,920,11,252,156,839,34,245,402,134,199,915,474,238,794,817,910,695,275,802,610,875,219,28,61,121,540,777,395,29,842,1,828,549,795,102,470,655,988,41,727,620,65,416,39,685,895,871,494,725
"HSP90B1",869,540,579,979,376,0,577,309,834,632,678,696,263,884,166,642,375,69,654,376,624,237,618,657,989,942,970,606,88,310,411,393,473,326,447,376,117,686,536,957,856,592,763,674,71,160,665,863,676,683,260,95,636,821,326,320,437,513
"CUL7",113,734,764,825,727,577,0,446,516,282,659,755,346,895,864,953,553,587,119,936,177,637,994,674,873,757,910,582,36,734,464,474,615,562,926,662,858,147,21,132,604,134,496,467,154,152,3,331,614,649,733,43,367,789,866,273,803,140
"WIPI1",974,826,658,464,787,309,446,0,892,274,184,478,224,710,50,634,583,892,325,118,994,973,250,641,803,118,526,541,371,242,69,315,383,177,159,730,880,596,272,380,923,660,700,285,775,358,448,3,568,35,813,541,986,95,460,657,606,705
"PLA2G4B",491,382,34,507,25,834,516,892,0,594,295,935,966,75,892,71,412,685,489,89,628,63,961,76,333,400,664,360,163,154,527,784,228,386,508,464,569,363,303,833,954,233,176,895,963,573,952,591,909,216,301,322,358,712,122,150,693,476
"TLN1",809,784,412,127,920,632,282,274,594,0,22,294,197,469,1,780,888,211,591,108,559,650,439,546,464,705,870,983,713,672,498,15,6,181,823,319,710,0,311,33,269,294,195,20,422,459,814,266,525,27,131,529,860,344,764,944,123,907
"KLHDC3",945,76,253,775,11,678,659,184,295,22,0,194,902,421,234,110,23,617,417,177,983,124,451,908,469,211,803,442,676,325,367,865,393,102,735,460,271,24,433,45,248,375,872,42,373,128,479,23,599,248,466,122,423,462,808,123,159,791
