"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,8,393,149,12,54,403,690,979,176,100,58,316,137,169,472,377,1,11,246,154,32,81,110,24,702,381,126,14,780,678,1,886,442,549,551,116,748,175,10,321,412,609,120,602,266,239,758,642,70,45,945,592,84,489,415,986,986
"FKBP14",8,0,274,167,623,476,113,242,6,299,352,228,933,133,619,847,103,710,938,999,237,257,843,214,338,474,83,881,775,737,111,313,354,376,119,875,594,248,285,976,648,583,742,152,355,692,337,546,969,974,754,273,979,853,134,125,150,273
"ACADVL",393,274,0,720,529,200,272,115,648,720,139,723,49,221,174,8,620,108,514,36,295,113,62,606,359,522,463,951,708,157,36,84,37,657,825,201,474,284,187,28,186,264,118,447,400,40,729,657,312,86,181,150,43,183,347,811,44,438
"ADD1",149,167,720,0,889,674,664,781,569,504,256,961,959,785,405,387,942,555,528,728,107,932,652,630,955,633,934,372,3,392,430,472,88,445,14,780,27,216,414,696,429,246,742,189,580,747,831,848,126,207,908,814,582,238,710,441,199,360
"EDEM1",12,623,529,889,0,910,0,551,433,898,171,865,821,220,1000,817,612,340,26,668,264,249,528,147,235,71,98,603,892,340,612,317,125,62,339,95,835,318,557,135,952,381,441,62,675,986,784,8,823,919,605,8,529,559,444,665,232,593
"HSP90B1",54,476,200,674,910,0,25,4,927,960,233,153,735,550,156,243,67,910,299,694,74,901,996,678,538,111,438,640,975,991,19,876,89,75,284,337,117,692,867,384,440,454,570,121,273,221,326,836,150,135,782,32,73,495,683,82,55,11
"CUL7",403,113,272,664,0,25,0,368,432,333,235,47,387,413,990,323,96,363,492,483,116,730,313,400,403,813,125,516,512,93,178,703,476,1000,531,279,512,24,764,998,856,130,242,104,417,297,871,598,767,4,386,571,378,34,700,44,49,15
"WIPI1",690,242,115,781,551,4,368,0,107,255,197,692,766,701,386,270,17,565,75,55,463,870,636,133,641,517,841,805,153,67,118,762,55,13,746,608,438,263,12,55,374,90,102,451,0,8,82,240,74,22,575,2,63,65,555,791,8,74
"PLA2G4B",979,6,648,569,433,927,432,107,0,774,351,85,272,323,930,992,705,17,939,111,231,635,301,253,94,520,451,948,56,486,442,651,426,147,2,922,14,286,571,84,6,206,717,875,862,984,748,608,544,619,502,292,351,207,705,862,525,176
"TLN1",176,299,720,504,898,960,333,255,774,0,89,899,418,862,617,602,583,398,674,354,472,102,610,879,708,165,887,922,118,414,619,242,222,591,243,821,288,259,938,156,620,524,889,223,199,990,593,387,430,529,600,932,450,127,650,335,851,673
"KLHDC3",100,352,139,256,171,233,235,197,351,89,0,83,86,559,698,259,52,631,30,944,105,288,377,327,839,193,731,615,566,80,754,10,284,990,39,761,422,955,566,527,101,82,75,55,964,235,37,384,161,260,0,57,329,602,28,601,776,973
"SEC31A",58,228,723,961,865,153,47,692,85,899,83,0,851,897,566,152,21,201,33,613,651,774,354,43,436,756,199,530,562,617,246,81,114,130,322,872,371,261,569,459,115,912,664,313,787,357,324,43,65,119,207,702,990,405,266,672,25,619
"XBP1",316,933,49,959,821,735,387,766,272,418,86,851,0,671,739,220,40,814,482,441,861,957,425,371,777,654,406,597,768,47,714,812,1000,981,14,251,206,297,720,641,187,430,117,947,817,285,93,767,70,946,4,97,872,830,800,523,237,802
"HERPUD1",137,133,221,785,220,550,413,701,323,862,559,897,671,0,674,379,310,44,662,503,265,597,33,933,697,730,132,826,271,973,928,446,857,307,813,203,444,142,165,490,949,985,260,692,899,549,697,133,121,316,178,799,646,216,247,217,944,250
