"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,402,471,581,243,424,29,353,485,33,549,492,954,100,561,84,120,340,38,503,406,579,188,63,62,44,248,72,314,58,984,147,633,274,785,31,697,513,187,975,525,657,788,251,534,36,41,759,964,84,305,994,286,755,434,112,406,199
"FKBP14",402,0,166,205,104,307,537,948,393,696,838,372,384,153,594,653,534,61,189,412,341,920,533,4,23,270,825,558,958,141,165,588,376,741,301,776,567,275,723,613,754,493,305,537,532,131,839,351,580,646,113,889,691,22,547,222,424,910
"ACADVL",471,166,0,721,422,386,240,822,252,387,471,203,315,15,383,150,51,171,867,66,599,136,112,394,62,238,859,700,554,325,612,209,837,147,580,248,231,398,96,216,913,417,669,866,661,484,916,277,877,345,749,792,873,341,854,20,286,743
"ADD1",581,205,721,0,870,229,614,997,796,278,401,313,82,819,309,756,443,506,269,730,373,759,876,238,528,655,388,600,940,189,228,898,981,727,505,362,956,436,408,591,917,914,995,598,681,888,704,690,257,352,488,260,831,413,606,298,782,989
"EDEM1",243,104,422,870,0,215,109,798,902,655,531,358,994,108,443,536,291,213,678,654,7,924,585,301,84,162,909,715,247,308,239,829,335,202,163,340,395,5,932,375,715,381,561,797,651,55,444,188,662,197,31,822,136,55,942,678,122,553
"HSP90B1",424,307,386,229,215,0,271,360,220,876,40,673,906,245,326,369,99,635,751,957,78,848,472,154,208,317,671,677,636,773,354,413,476,154,89,124,926,646,725,609,704,484,853,344,939,743,582,25,779,160,814,971,915,75,724,335,67,721
"CUL7",29,537,240,614,109,271,0,773,990,616,986,979,994,509,691,451,961,244,261,195,88,464,559,493,75,419,581,278,606,212,48,646,14,809,262,667,932,123,683,534,386,212,688,707,850,50,177,533,38,475,273,641,317,734,862,588,783,882
"WIPI1",353,948,822,997,798,360,773,0,166,644,579,663,774,388,979,322,294,787,443,842,866,351,971,221,598,920,492,249,877,572,901,387,377,636,671,407,361,519,540,910,237,826,957,222,624,676,167,467,651,521,562,974,729,446,271,971,243,39
"PLA2G4B",485,393,252,796,902,220,990,166,0,373,717,880,88,874,678,635,717,984,350,738,460,455,602,726,764,698,733,209,460,343,652,53,447,284,458,397,327,201,493,432,777,27,190,336,816,471,674,83,953,330,538,686,79,945,392,580,618,209
"TLN1",33,696,387,278,655,876,616,644,373,0,438,34,109,997,250,234,673,328,426,670,217,417,763,914,401,99,829,560,345,306,895,471,14,148,824,807,698,93,292,118,258,301,405,619,303,29,720,255,104,421,84,914,959,998,365,118,936,615
"KLHDC3",549,838,471,401,531,40,986,579,717,438,0,348,624,767,374,250,487,257,303,272,437,898,252,320,732,353,106,825,679,539,815,405,957,635,835,913,910,982,180,422,315,455,32,2,632,693,180,342,128,918,652,395,961,606,866,598,212,471
"SEC31A",492,372,203,313,358,673,979,663,880,34,348,0,285,569,637,200,979,225,273,711,597,662,377,665,98,910,520,407,658,380,534,937,389,806,131,972,823,256,644,345,347,884,128,340,873,330,347,257,83,957,422,724,973,947,377,549,973,548
"XBP1",954,384,315,82,994,906,994,774,88,109,624,285,0,832,440,996,476,579,498,979,130,176,981,190,603,803,884,735,833,593,387,490,884,773,288,917,105,14,201,676,544,26,386,526,693,246,163,21,876,705,867,917,671,393,452,619,829,312
"HERPUD1",100,153,15,819,108,245,509,388,874,997,767,569,832,0,426,293,721,671,983,94,150,374,236,56,129,381,874,778,204,789,219,20,482,530,93,530,858,81,945,483,68,192,622,419,592,347,398,600,214,495,54,403,229,178,990,920,438,575
"DCTN1",561,594,383,309,443,326,691,979,678,250,374,637,440,426,0,586,166,896,455,712,14,868,476,145,746,746,413,146,908,451,991,264,679,864,340,704,425,13,159,447,896,309,832,268,123,241,949,308,551,797,174,198,786,22,867,534,29,655
"SRPRB",84,653,150,756,536,369,451,322,635,234,250,200,996,293,586,0,511,433,433,824,0,531,840,28,946,697,513,528,302,147,538,11,210,177,596,450,820,399,157,683,896,390,702,179,90,566,860,266,518,474,946,408,187,59,846,492,265,663
"HSPA5",120,534,51,443,291,99,961,294,717,673,487,979,476,721,166,511,0,376,982,95,51,322,804,25,657,595,913,981,994,992,168,16,376,902,333,721,993,261,386,142,194,69,234,167,739,732,606,202,434,672,519,663,340,70,761,967,61,412
"DDX11",340,61,171,506,213,635,244,787,984,328,257,225,579,671,896,433,376,0,90,607,298,822,610,197,111,774,797,232,848,716,22,901,229,905,329,628,944,130,987,390,520,876,378,834,112,125,924,214,498,459,0,830,447,56,777,613,500,836
"TATDN2",38,189,867,269,678,751,261,443,350,426,303,273,498,983,455,433,982,90,0,763,447,273,864,658,496,845,751,617,654,812,500,775,4,416,993,588,593,320,931,410,488,473,493,925,36,9,836,323,335,541,520,961,859,431,337,981,810,894
"SYVN1",503,412,66,730,654,957,195,842,738,670,272,711,979,94,712,824,95,607,763,0,103,591,674,311,346,559,975,647,843,736,75,811,462,521,467,448,189,302,100,175,720,934,104,343,885,256,817,584,179,552,24,818,947,143,895,499,424,918
"DNAJB11",406,341,599,373,7,78,88,866,460,217,437,597,130,150,14,0,51,298,447,103,0,954,61,3,172,34,844,53,904,144,467,437,867,54,78,1,201,487,158,39,986,881,215,239,977,271,212,981,984,19,462,185,510,5,940,57,16,558
"EXTL1",579,920,136,759,924,848,464,351,455,417,898,662,176,374,868,531,322,822,273,591,954,0,949,943,211,731,163,453,699,799,789,262,276,380,309,717,796,305,399,513,179,25,194,313,932,168,287,561,430,337,912,873,164,776,411,707,523,527
"ATP6V0D1",188,533,112,876,585,472,559,971,602,763,252,377,981,236,476,840,804,610,864,674,61,949,0,746,843,728,963,893,488,947,485,66,389,744,209,747,602,670,214,528,486,439,502,573,727,879,876,793,56,888,225,755,954,693,311,622,816,494
"HDGF",63,4,394,238,301,154,493,221,726,914,320,665,190,56,145,28,25,197,658,311,3,943,746,0,952,285,525,972,205,300,175,297,316,301,264,76,485,44,408,941,978,857,900,226,79,152,447,964,700,213,76,614,977,41,672,826,75,442
"EXTL2",62,23,62,528,84,208,75,598,764,401,732,98,603,129,746,946,657,111,496,346,172,211,843,952,0,90,810,11,173,210,26,619,522,662,454,229,964,106,630,319,722,942,540,813,656,67,542,516,314,467,41,823,422,124,960,218,494,504
"CTDSP2",44,270,238,655,162,317,419,920,698,99,353,910,803,381,746,697,595,774,845,559,34,731,728,285,90,0,949,770,275,763,443,391,116,894,232,844,722,42,385,157,230,129,639,896,531,103,288,311,171,206,21,726,332,603,469,718,513,910
"DDIT3",248,825,859,388,909,671,581,492,733,829,106,520,884,874,413,513,913,797,751,975,844,163,963,525,810,949,0,741,456,845,449,107,379,390,333,979,58,869,981,356,697,78,769,943,313,141,555,710,502,911,753,370,569,995,411,744,994,245
"SHC1",72,558,700,600,715,677,278,249,209,560,825,407,735,778,146,528,981,232,617,647,53,453,893,972,11,770,741,0,600,645,224,581,21,153,773,432,218,31,188,99,946,625,395,472,93,79,682,270,326,408,331,535,952,431,465,419,901,482
"TSPYL2",314,958,554,940,247,636,606,877,460,345,679,658,833,204,908,302,994,848,654,843,904,699,488,205,173,275,456,600,0,705,659,534,15,506,231,767,601,364,183,144,334,952,351,451,574,143,992,662,86,299,81,289,81,562,895,836,899,682
"TPP1",58,141,325,189,308,773,212,572,343,306,539,380,593,789,451,147,992,716,812,736,144,799,947,300,210,763,845,645,705,0,675,686,6,464,865,726,892,201,837,204,446,686,329,708,400,75,940,488,103,987,259,967,969,631,258,875,894,872
