"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,239,191,847,753,521,617,729,865,237,749,372,860,724,405,336,95,41,66,307,89,2,445,667,120,222,213,951,36,305,319,865,710,744,813,140,642,195,672,318,881,430,965,132,296,438,484,44,780,178,764,373,351,83,948,620,686,944
"FKBP14",239,0,271,342,226,75,166,401,340,406,100,357,316,655,632,112,955,430,954,414,354,653,444,269,8,66,77,254,61,165,977,251,413,58,392,653,732,95,264,318,904,227,959,427,95,20,343,617,53,156,344,75,79,127,787,900,36,593
"ACADVL",191,271,0,280,974,771,735,828,454,85,925,171,484,78,418,144,969,200,771,108,375,776,141,584,766,649,400,175,382,562,843,457,96,107,594,645,362,378,970,832,321,548,158,588,921,577,677,781,431,787,503,335,609,142,176,693,275,123
"ADD1",847,342,280,0,330,131,88,786,350,32,850,572,899,566,241,654,522,129,620,720,143,834,854,674,331,195,870,765,203,333,497,580,936,738,957,695,347,526,356,999,492,3,933,902,534,983,672,4,136,320,441,720,311,521,354,373,558,907
"EDEM1",753,226,974,330,0,142,463,879,39,827,293,355,693,967,952,717,940,62,72,923,857,176,234,85,127,876,680,226,324,126,508,378,218,471,166,104,941,284,857,868,718,10,528,299,301,292,386,98,19,271,473,798,48,243,986,454,46,838
"HSP90B1",521,75,771,131,142,0,267,221,806,121,453,491,468,655,828,0,143,565,979,444,88,573,175,438,343,52,180,159,876,293,162,892,164,826,181,38,119,109,791,908,10,230,33,684,110,886,341,419,559,360,886,631,190,22,666,135,554,373
"CUL7",617,166,735,88,463,267,0,206,508,883,466,998,924,610,137,43,35,882,956,583,39,188,666,411,125,71,938,599,463,301,14,159,552,135,151,72,27,301,787,658,40,556,167,569,204,32,924,227,113,397,963,567,776,107,134,282,52,682
"WIPI1",729,401,828,786,879,221,206,0,294,693,828,110,649,709,286,225,935,427,705,791,23,245,889,786,645,823,65,594,643,797,480,232,157,616,936,664,311,22,634,707,540,362,349,973,990,168,941,813,754,280,117,654,603,846,891,391,435,447
"PLA2G4B",865,340,454,350,39,806,508,294,0,247,588,33,234,71,460,483,289,906,723,508,463,456,40,553,302,596,201,847,367,974,754,492,224,6,698,274,577,191,167,753,994,563,810,261,647,720,435,54,991,675,68,288,974,515,407,485,838,992
"TLN1",237,406,85,32,827,121,883,693,247,0,434,99,972,579,545,661,78,960,632,207,71,407,697,404,89,398,361,298,216,100,818,149,504,809,272,396,867,346,302,297,709,22,993,555,289,151,414,70,486,235,956,898,125,196,912,396,4,534
