"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,526,354,985,105,916,336,114,423,64,140,983,303,355,411,892,973,279,535,354,813,976,37,451,705,451,991,34,538,135,661,377,196,766,216,283,191,328,553,430,590,548,527,56,606,618,981,946,998,363,894,505,650,699,163,615,514,936
"FKBP14",526,0,94,3,322,30,306,622,583,573,447,62,409,824,405,129,6,418,14,3,209,943,176,36,40,565,222,620,301,962,95,11,8,851,906,215,762,337,135,46,1,925,632,478,13,0,73,539,597,222,19,786,25,650,58,85,32,37
"ACADVL",354,94,0,385,496,23,890,921,909,498,849,33,194,191,692,3,500,264,340,414,24,642,237,106,105,194,941,168,357,265,268,219,362,351,294,547,123,376,231,62,513,213,748,225,62,84,369,280,127,72,164,53,223,110,0,155,99,503
"ADD1",985,3,385,0,345,320,245,475,828,397,794,209,635,772,658,783,257,347,427,603,143,354,424,262,0,535,328,139,110,449,29,886,277,432,533,179,379,407,26,419,127,846,267,690,309,626,655,852,686,460,52,394,840,240,26,46,287,400
"EDEM1",105,322,496,345,0,13,905,182,547,418,657,131,985,178,965,300,339,985,938,134,332,735,287,398,67,651,955,75,806,668,252,771,639,759,969,355,741,330,907,952,724,906,931,59,116,113,792,580,106,22,810,594,461,389,259,469,60,692
"HSP90B1",916,30,23,320,13,0,55,32,531,14,580,21,231,306,217,759,51,458,24,7,105,676,159,175,427,309,680,3,827,9,6,32,93,607,688,74,225,984,864,264,0,274,134,110,49,3,589,641,191,34,108,807,283,599,765,123,373,2
"CUL7",336,306,890,245,905,55,0,448,202,242,351,50,257,465,716,5,65,902,52,498,36,816,670,697,327,711,966,625,728,757,196,76,821,890,144,257,557,622,433,990,93,652,993,350,2,82,431,472,158,608,879,25,361,175,2,488,95,399
"WIPI1",114,622,921,475,182,32,448,0,20,654,474,526,308,19,631,660,185,955,265,181,60,766,21,481,896,647,370,32,530,60,9,399,954,765,169,52,992,915,965,873,465,167,799,425,70,34,534,970,485,461,985,320,213,321,353,733,27,873
"PLA2G4B",423,583,909,828,547,531,202,20,0,406,153,285,425,473,692,69,98,377,984,519,719,476,271,39,196,601,346,92,800,3,261,881,340,82,224,187,49,567,856,790,273,94,33,79,261,780,236,477,916,842,613,620,340,829,0,432,135,752
"TLN1",64,573,498,397,418,14,242,654,406,0,618,499,629,261,954,523,741,789,808,643,186,320,786,554,2,739,643,336,150,925,179,663,827,245,851,606,166,104,730,56,557,629,946,72,521,388,935,753,51,430,413,346,888,682,122,878,69,966
