"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,4,463,166,837,4,379,707,14,72,129,73,421,188,270,157,2,11,789,1,588,88,549,774,174,19,439,19,67,3,11,251,94,275,919,0,636,201,261,684,981,0,5,764,83,0,11,113,38,34,1,34,766,47,293,372,1,795
"FKBP14",4,0,748,150,438,388,955,723,292,108,241,0,542,869,870,358,362,726,829,510,123,172,728,894,640,67,128,505,140,882,193,609,494,55,158,8,201,160,870,839,242,58,888,529,452,114,66,664,975,772,581,556,472,17,304,229,286,489
"ACADVL",463,748,0,39,458,423,52,964,217,419,260,99,817,761,364,328,53,4,193,158,399,107,878,3,16,631,33,693,723,462,168,211,3,424,360,965,476,631,240,2,323,724,513,966,917,138,0,107,17,927,735,186,95,631,19,338,314,973
"ADD1",166,150,39,0,431,2,78,38,642,2,3,689,767,239,249,259,1,2,81,953,0,343,460,17,8,108,0,120,1,143,0,113,447,263,2,172,999,681,857,600,947,890,57,173,328,23,67,84,1,680,937,145,979,358,0,598,8,44
"EDEM1",837,438,458,431,0,777,499,3,717,834,43,927,460,905,663,204,531,292,995,134,827,290,937,693,456,856,226,963,442,179,667,565,678,698,971,55,999,10,784,753,674,539,282,148,128,993,845,526,565,147,771,694,820,483,326,622,420,847
"HSP90B1",4,388,423,2,777,0,104,701,794,0,87,162,508,381,221,77,12,30,291,87,201,856,745,68,23,554,13,163,489,54,49,388,25,335,72,457,592,783,112,116,904,956,734,970,353,732,125,189,20,866,273,11,53,70,26,637,181,204
"CUL7",379,955,52,78,499,104,0,398,707,631,182,706,379,486,951,416,305,367,881,562,141,261,320,846,341,431,327,93,104,684,932,525,116,399,11,719,563,234,667,699,287,400,578,283,475,104,88,591,58,784,610,725,864,951,237,596,346,682
"WIPI1",707,723,964,38,3,701,398,0,94,121,13,741,648,977,853,347,691,31,10,611,889,262,1,89,926,264,276,326,93,962,592,1000,210,805,646,516,972,283,440,204,221,519,655,84,463,676,590,13,555,919,10,804,778,440,53,60,825,376
"PLA2G4B",14,292,217,642,717,794,707,94,0,882,635,983,143,323,718,522,762,500,838,939,797,124,149,286,201,43,736,229,392,297,636,684,478,181,149,118,242,253,209,37,842,56,39,617,755,183,457,788,509,665,29,426,712,505,476,21,955,257
"TLN1",72,108,419,2,834,0,631,121,882,0,15,903,842,317,15,51,1,845,469,272,1,966,442,834,549,624,112,737,243,35,0,900,21,446,8,439,940,699,111,328,828,23,229,484,4,0,648,896,2,847,876,1,652,467,245,678,0,940
