"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,552,25,277,554,783,786,30,64,67,408,304,676,653,278,55,732,359,637,738,83,129,496,365,338,615,810,246,227,497,159,431,335,947,566,655,145,453,932,102,271,756,326,811,403,715,269,796,200,546,593,484,689,589,489,860,723,660
"FKBP14",552,0,766,893,13,297,384,156,476,359,912,920,757,926,739,90,780,124,76,489,184,829,866,959,117,313,483,320,116,828,468,756,660,733,673,959,88,668,733,826,78,197,514,392,458,746,754,618,47,830,823,461,821,697,747,157,340,704
"ACADVL",25,766,0,283,894,64,118,738,51,65,196,840,117,2,257,130,814,776,260,337,493,43,652,916,925,15,372,400,331,976,59,921,334,546,689,258,657,2,431,519,194,756,5,23,611,923,790,963,553,796,406,814,997,582,411,414,618,646
"ADD1",277,893,283,0,657,872,13,55,287,901,100,954,290,575,779,510,291,405,711,139,482,841,263,877,810,305,552,863,674,747,459,875,649,277,916,539,583,125,556,210,293,687,422,160,934,79,486,323,195,481,556,490,999,283,296,339,269,781
"EDEM1",554,13,894,657,0,356,965,863,184,204,522,183,419,805,204,28,299,15,533,735,365,774,608,262,104,69,863,11,23,88,983,44,350,703,251,964,584,829,771,680,349,206,197,360,750,282,336,320,30,173,370,716,528,66,386,240,39,702
"HSP90B1",783,297,64,872,356,0,770,905,220,181,525,525,534,328,476,42,657,46,80,240,375,623,869,742,992,74,927,300,161,246,411,377,520,991,153,225,49,860,532,351,360,731,557,255,334,137,170,149,7,815,111,319,483,353,454,558,777,572
"CUL7",786,384,118,13,965,770,0,372,270,708,303,350,254,536,810,134,990,551,627,5,601,404,805,372,985,69,401,332,308,827,831,488,110,791,310,699,211,133,50,46,722,473,994,517,539,529,127,532,787,624,604,191,166,406,256,153,519,238
"WIPI1",30,156,738,55,863,905,372,0,403,152,850,949,185,14,202,81,880,198,301,14,232,890,581,319,146,339,102,179,272,143,413,180,918,782,856,806,134,106,846,167,72,887,94,178,666,397,661,38,272,191,701,700,838,469,100,613,60,748
"PLA2G4B",64,476,51,287,184,220,270,403,0,689,985,474,557,192,254,317,598,276,590,428,56,340,882,513,673,765,212,944,414,618,87,628,585,322,778,843,144,66,185,697,244,671,170,107,281,657,498,537,974,685,426,51,851,99,927,212,736,350
"TLN1",67,359,65,901,204,181,708,152,689,0,474,25,210,401,325,239,970,19,553,352,4,104,366,42,977,529,786,26,91,740,155,166,841,232,549,622,63,495,575,227,317,619,291,51,140,967,717,177,333,113,72,837,563,792,295,627,85,346
"KLHDC3",408,912,196,100,522,525,303,850,985,474,0,591,788,460,112,136,308,400,253,7,240,666,201,23,941,187,696,332,300,630,196,4,122,150,720,798,518,365,27,980,500,982,177,635,363,608,612,589,51,128,798,33,29,588,548,780,198,972
"SEC31A",304,920,840,954,183,525,350,949,474,25,591,0,472,168,619,41,815,6,5,570,113,289,663,236,900,520,689,357,4,812,465,602,924,157,187,383,90,304,815,112,71,933,283,30,810,160,499,228,187,844,178,376,498,485,345,54,655,796
"XBP1",676,757,117,290,419,534,254,185,557,210,788,472,0,247,69,87,418,99,347,962,647,174,666,616,574,903,525,999,74,894,524,908,207,37,597,732,89,782,875,859,811,874,913,143,542,716,465,7,651,418,592,625,687,795,514,396,361,312
"HERPUD1",653,926,2,575,805,328,536,14,192,401,460,168,247,0,118,962,642,795,802,523,775,567,252,439,787,933,685,634,947,497,160,391,379,45,812,124,933,708,902,41,922,451,313,519,389,908,999,539,354,741,389,693,255,379,67,202,622,981
"DCTN1",278,739,257,779,204,476,810,202,254,325,112,619,69,118,0,303,900,872,127,69,6,786,473,289,289,534,696,337,366,742,280,734,137,607,40,717,200,287,130,864,251,417,825,53,574,357,23,253,542,141,437,779,347,867,68,287,844,439
"SRPRB",55,90,130,510,28,42,134,81,317,239,136,41,87,962,303,0,231,38,1,705,249,638,850,0,368,19,871,7,37,776,185,58,581,446,216,353,47,836,302,20,31,920,573,350,275,41,484,274,30,16,54,489,653,352,83,292,143,360
"HSPA5",732,780,814,291,299,657,990,880,598,970,308,815,418,642,900,231,0,12,698,782,590,985,393,526,464,238,476,208,67,746,248,480,628,245,549,791,4,713,341,780,797,503,905,223,998,522,967,282,209,722,841,738,461,679,578,134,756,434
"DDX11",359,124,776,405,15,46,551,198,276,19,400,6,99,795,872,38,12,0,50,120,52,940,437,359,42,143,439,315,13,68,65,281,40,187,334,117,43,751,93,210,548,125,379,376,55,73,110,64,499,416,43,35,234,319,136,669,78,190
"TATDN2",637,76,260,711,533,80,627,301,590,553,253,5,347,802,127,1,698,50,0,768,713,230,979,6,308,302,926,195,136,226,228,4,340,999,113,586,191,431,661,194,726,385,78,665,136,104,131,362,0,40,47,833,425,284,128,269,35,399
"SYVN1",738,489,337,139,735,240,5,14,428,352,7,570,962,523,69,705,782,120,768,0,478,927,569,69,207,668,861,392,83,423,312,404,223,797,262,874,400,703,836,80,317,143,805,462,896,976,295,960,530,144,801,754,786,159,684,64,600,375
"DNAJB11",83,184,493,482,365,375,601,232,56,4,240,113,647,775,6,249,590,52,713,478,0,818,446,43,248,137,999,8,262,32,748,95,424,578,31,661,798,640,775,205,54,814,305,377,345,225,284,701,1,50,176,995,335,71,372,314,9,687
"EXTL1",129,829,43,841,774,623,404,890,340,104,666,289,174,567,786,638,985,940,230,927,818,0,150,457,521,280,687,756,386,669,42,527,134,548,441,670,783,363,702,345,961,836,426,699,821,352,330,651,914,971,710,683,188,394,413,996,960,107
"ATP6V0D1",496,866,652,263,608,869,805,581,882,366,201,663,666,252,473,850,393,437,979,569,446,150,0,924,871,961,347,898,815,860,786,656,893,572,82,587,537,461,885,482,334,742,678,614,563,657,878,694,129,403,647,117,602,927,596,886,358,209
"HDGF",365,959,916,877,262,742,372,319,513,42,23,236,616,439,289,0,526,359,6,69,43,457,924,0,389,350,821,822,45,775,335,43,848,453,998,550,27,180,659,203,162,997,299,571,796,290,602,444,20,996,737,858,816,875,364,528,396,980
"EXTL2",338,117,925,810,104,992,985,146,673,977,941,900,574,787,289,368,464,42,308,207,248,521,871,389,0,647,422,91,221,716,251,48,837,371,160,908,44,295,144,814,290,552,761,38,419,723,687,483,393,128,842,852,494,860,187,885,376,254
"CTDSP2",615,313,15,305,69,74,69,339,765,529,187,520,903,933,534,19,238,143,302,668,137,280,961,350,647,0,554,872,36,239,432,747,908,563,789,624,94,374,829,148,856,82,337,155,910,274,622,407,358,167,368,906,738,437,848,191,6,662
"DDIT3",810,483,372,552,863,927,401,102,212,786,696,689,525,685,696,871,476,439,926,861,999,687,347,821,422,554,0,884,747,295,593,101,64,578,970,281,846,721,512,395,462,392,144,543,679,116,844,581,356,563,584,435,201,501,344,834,877,899
"SHC1",246,320,400,863,11,300,332,179,944,26,332,357,999,634,337,7,208,315,195,392,8,756,898,822,91,872,884,0,21,408,579,521,985,962,527,964,25,615,787,740,62,387,239,357,541,252,784,439,30,699,706,610,797,79,574,543,54,770
"TSPYL2",227,116,331,674,23,161,308,272,414,91,300,4,74,947,366,37,67,13,136,83,262,386,815,45,221,36,747,21,0,41,245,213,470,595,25,106,33,826,116,74,189,910,810,160,57,51,135,394,75,119,44,54,172,132,370,343,52,509
"TPP1",497,828,976,747,88,246,827,143,618,740,630,812,894,497,742,776,746,68,226,423,32,669,860,775,716,239,295,408,41,0,972,770,825,62,474,792,308,807,662,909,232,438,692,205,394,752,250,972,264,830,417,925,922,863,784,227,617,949
"PDIA5",159,468,59,459,983,411,831,413,87,155,196,465,524,160,280,185,248,65,228,312,748,42,786,335,251,432,593,579,245,972,0,21,133,81,182,8,990,166,274,98,138,589,46,792,888,437,145,698,12,455,78,697,514,921,319,698,906,481
"EXTL3",431,756,921,875,44,377,488,180,628,166,4,602,908,391,734,58,480,281,4,404,95,527,656,43,48,747,101,521,213,770,21,0,973,501,929,492,79,300,559,318,200,770,288,786,145,375,428,884,27,105,996,487,878,594,928,379,781,298
"ARFGAP1",335,660,334,649,350,520,110,918,585,841,122,924,207,379,137,581,628,40,340,223,424,134,893,848,837,908,64,985,470,825,133,973,0,135,604,468,352,158,607,889,780,212,856,141,211,268,269,19,647,241,138,27,896,19,384,5,665,654
"DNAJB9",947,733,546,277,703,991,791,782,322,232,150,157,37,45,607,446,245,187,999,797,578,548,572,453,371,563,578,962,595,62,81,501,135,0,908,766,761,495,306,650,988,648,182,223,424,546,595,206,915,177,359,506,292,667,862,382,497,599
"SULT1A3",566,673,689,916,251,153,310,856,778,549,720,187,597,812,40,216,549,334,113,262,31,441,82,998,160,789,970,527,25,474,182,929,604,908,0,489,16,140,393,638,580,150,262,45,260,262,245,799,989,636,257,356,178,465,892,279,733,654
