"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,497,266,99,106,311,35,223,429,204,96,249,919,823,102,562,999,306,37,144,141,334,997,54,246,48,56,431,558,535,704,112,545,645,910,78,799,752,7,219,185,552,581,305,756,809,589,998,340,97,10,577,955,222,358,39,41,964
"FKBP14",497,0,218,35,59,496,198,645,603,4,160,110,767,939,847,826,694,894,103,674,546,558,441,168,0,224,987,434,419,544,2,16,996,441,866,14,192,984,145,897,889,439,111,263,770,645,786,440,831,365,230,285,935,96,759,501,252,538
"ACADVL",266,218,0,7,341,958,109,211,848,54,13,153,571,490,53,903,569,244,380,887,404,112,298,229,16,3,2,431,913,176,190,3,728,538,422,70,755,726,19,383,185,201,156,758,697,708,213,62,872,35,280,542,424,155,516,68,372,497
"ADD1",99,35,7,0,903,246,645,403,146,413,429,113,48,230,832,928,282,694,414,50,818,702,49,320,154,133,86,111,422,556,20,744,813,899,994,930,768,817,909,550,635,684,456,56,879,388,451,996,287,847,634,96,267,381,339,546,966,987
"EDEM1",106,59,341,903,0,885,276,651,368,225,398,361,933,358,982,459,326,936,198,535,582,895,781,541,117,936,741,862,400,219,827,85,941,381,365,164,241,404,360,261,779,595,501,44,255,811,711,358,365,379,441,10,896,621,527,131,966,830
"HSP90B1",311,496,958,246,885,0,919,6,937,5,521,23,603,206,363,831,729,136,158,766,999,464,4,235,25,545,414,80,629,253,799,29,653,991,697,145,730,125,467,437,91,287,12,9,344,330,585,976,748,680,196,123,570,521,917,391,887,332
"CUL7",35,198,109,645,276,919,0,452,804,102,217,429,616,5,472,629,615,767,52,53,266,205,261,923,256,764,4,91,522,792,362,433,976,702,987,570,542,423,653,422,188,844,699,1,477,952,917,769,250,675,733,115,858,252,381,760,800,499
"WIPI1",223,645,211,403,651,6,452,0,363,860,92,21,35,997,138,302,892,148,476,709,771,543,970,110,72,313,1,260,434,971,2,953,23,563,25,231,481,32,635,96,23,132,980,230,198,3,755,295,459,65,986,171,146,533,649,10,794,519
"PLA2G4B",429,603,848,146,368,937,804,363,0,327,64,233,152,573,50,529,991,199,686,531,912,313,389,199,135,254,488,966,983,777,748,58,12,471,489,653,144,890,791,296,158,366,413,944,666,791,289,24,546,635,980,923,707,367,914,258,370,510
"TLN1",204,4,54,413,225,5,102,860,327,0,606,861,1000,124,543,720,463,909,74,3,828,50,35,957,425,24,11,1,321,758,187,280,965,768,918,476,142,633,999,138,465,94,985,646,587,260,153,989,827,448,875,628,109,117,931,209,482,176
"KLHDC3",96,160,13,429,398,521,217,92,64,606,0,717,480,510,312,325,871,450,789,203,11,681,116,688,738,45,17,25,119,639,4,794,435,748,985,615,291,279,520,334,470,147,858,59,627,257,279,489,179,55,361,650,669,465,756,786,449,956
"SEC31A",249,110,153,113,361,23,429,21,233,861,717,0,346,305,329,553,480,534,759,233,728,332,923,159,273,708,575,436,293,71,1,892,324,351,473,349,395,864,51,285,149,31,240,94,750,188,544,89,425,628,602,35,459,793,224,928,299,966
"XBP1",919,767,571,48,933,603,616,35,152,1000,480,346,0,497,200,499,239,322,582,268,999,994,888,946,853,481,963,352,380,369,726,791,757,658,37,888,896,448,301,48,489,17,58,896,598,933,451,438,625,750,106,585,203,616,104,443,648,906
"HERPUD1",823,939,490,230,358,206,5,997,573,124,510,305,497,0,166,350,346,99,178,361,645,170,76,3,439,799,433,2,156,128,0,139,62,185,455,649,450,232,351,50,653,608,918,522,127,30,96,380,676,592,519,408,744,817,954,922,130,727
"DCTN1",102,847,53,832,982,363,472,138,50,543,312,329,200,166,0,793,955,123,526,322,547,518,31,223,939,478,2,834,511,496,567,145,291,669,888,811,501,943,310,158,364,160,158,72,639,303,187,471,197,79,148,201,881,884,448,530,787,908
"SRPRB",562,826,903,928,459,831,629,302,529,720,325,553,499,350,793,0,284,263,103,516,70,542,441,765,794,272,671,713,88,528,295,313,406,47,336,531,69,855,940,213,559,467,81,607,453,155,717,65,131,724,307,438,197,662,127,699,331,967
"HSPA5",999,694,569,282,326,729,615,892,991,463,871,480,239,346,955,284,0,547,981,669,869,248,55,879,876,553,152,566,402,302,483,424,512,713,662,485,711,330,658,229,972,658,2,84,815,295,115,336,409,227,780,896,974,637,993,679,808,641
"DDX11",306,894,244,694,936,136,767,148,199,909,450,534,322,99,123,263,547,0,602,654,496,945,484,123,904,769,465,385,358,826,923,444,764,921,232,681,292,968,576,867,172,511,146,187,244,327,238,115,140,669,693,101,962,474,830,218,150,839
"TATDN2",37,103,380,414,198,158,52,476,686,74,789,759,582,178,526,103,981,602,0,184,860,196,168,584,948,291,40,123,770,769,263,127,87,921,407,443,32,524,939,739,358,968,174,34,539,522,370,35,559,788,383,479,948,355,192,317,440,510
"SYVN1",144,674,887,50,535,766,53,709,531,3,203,233,268,361,322,516,669,654,184,0,413,246,202,737,590,582,503,34,387,604,117,64,724,443,328,896,676,688,244,891,794,501,62,41,507,542,132,752,943,793,72,12,883,847,977,978,759,805
"DNAJB11",141,546,404,818,582,999,266,771,912,828,11,728,999,645,547,70,869,496,860,413,0,851,174,75,753,607,902,923,260,396,911,886,376,821,730,633,45,993,866,963,385,445,10,445,908,580,662,264,629,231,388,796,553,916,68,180,537,479
"EXTL1",334,558,112,702,895,464,205,543,313,50,681,332,994,170,518,542,248,945,196,246,851,0,6,710,319,317,492,128,952,125,2,602,211,792,641,175,735,425,827,895,530,859,177,914,271,956,781,687,138,520,932,226,357,14,732,735,332,929
"ATP6V0D1",997,441,298,49,781,4,261,970,389,35,116,923,888,76,31,441,55,484,168,202,174,6,0,73,839,687,711,6,476,82,19,24,32,960,233,846,705,104,201,63,461,617,220,891,0,1,16,626,0,835,247,1,218,280,465,965,52,402
"HDGF",54,168,229,320,541,235,923,110,199,957,688,159,946,3,223,765,879,123,584,737,75,710,73,0,989,833,320,290,490,43,200,575,74,44,163,864,370,327,677,62,24,156,1,72,554,226,1000,327,7,981,182,16,236,937,164,832,464,803
"EXTL2",246,0,16,154,117,25,256,72,135,425,738,273,853,439,939,794,876,904,948,590,753,319,839,989,0,299,642,4,134,453,0,26,945,973,435,52,37,612,501,559,666,768,975,830,463,327,555,203,85,925,650,695,877,162,803,384,314,861
"CTDSP2",48,224,3,133,936,545,764,313,254,24,45,708,481,799,478,272,553,769,291,582,607,317,687,833,299,0,638,29,100,660,984,45,692,28,591,763,854,754,607,68,891,930,875,581,686,743,622,998,105,358,649,15,971,507,820,753,713,744
"DDIT3",56,987,2,86,741,414,4,1,488,11,17,575,963,433,2,671,152,465,40,503,902,492,711,320,642,638,0,20,18,125,17,10,453,190,905,223,224,984,274,1,0,2,326,270,679,654,2,639,597,482,0,792,98,342,173,518,251,164
"SHC1",431,434,431,111,862,80,91,260,966,1,25,436,352,2,834,713,566,385,123,34,923,128,6,290,4,29,20,0,704,686,508,0,478,547,699,623,606,65,871,763,507,35,27,193,123,370,691,652,266,905,53,2,114,15,293,883,108,825
"TSPYL2",558,419,913,422,400,629,522,434,983,321,119,293,380,156,511,88,402,358,770,387,260,952,476,490,134,100,18,704,0,45,57,754,206,327,687,218,840,860,945,469,559,834,59,497,394,656,732,74,288,92,482,138,831,800,83,296,31,728
"TPP1",535,544,176,556,219,253,792,971,777,758,639,71,369,128,496,528,302,826,769,604,396,125,82,43,453,660,125,686,45,0,304,565,989,610,453,903,592,485,501,354,198,272,72,192,247,918,461,886,435,630,882,79,545,69,651,899,165,450
"PDIA5",704,2,190,20,827,799,362,2,748,187,4,1,726,0,567,295,483,923,263,117,911,2,19,200,0,984,17,508,57,304,0,108,593,993,411,178,982,115,760,486,309,434,51,109,356,360,867,820,766,259,365,230,64,326,684,266,603,197
"EXTL3",112,16,3,744,85,29,433,953,58,280,794,892,791,139,145,313,424,444,127,64,886,602,24,575,26,45,10,0,754,565,108,0,613,357,645,149,210,508,457,415,507,240,663,364,246,65,883,705,646,444,144,686,743,4,499,988,466,689
"ARFGAP1",545,996,728,813,941,653,976,23,12,965,435,324,757,62,291,406,512,764,87,724,376,211,32,74,945,692,453,478,206,989,593,613,0,890,312,869,367,542,982,54,343,926,179,188,632,505,125,96,908,621,111,560,777,512,682,250,466,989
"DNAJB9",645,441,538,899,381,991,702,563,471,768,748,351,658,185,669,47,713,921,921,443,821,792,960,44,973,28,190,547,327,610,993,357,890,0,902,267,230,214,596,626,557,57,340,268,572,487,62,99,401,766,531,553,192,128,304,724,795,174
"SULT1A3",910,866,422,994,365,697,987,25,489,918,985,473,37,455,888,336,662,232,407,328,730,641,233,163,435,591,905,699,687,453,411,645,312,902,0,871,133,879,607,179,890,588,963,916,932,713,936,880,431,951,502,668,276,426,784,189,594,976
"DNAJC3",78,14,70,930,164,145,570,231,653,476,615,349,888,649,811,531,485,681,443,896,633,175,846,864,52,763,223,623,218,903,178,149,869,267,871,0,96,998,461,177,718,254,511,355,761,244,464,958,759,162,551,111,797,462,686,112,319,759
"SERP1",799,192,755,768,241,730,542,481,144,142,291,395,896,450,501,69,711,292,32,676,45,735,705,370,37,854,224,606,840,592,982,210,367,230,133,96,0,562,210,115,522,459,95,177,94,525,433,94,925,59,687,226,713,140,284,69,214,922
"IGFBP1",752,984,726,817,404,125,423,32,890,633,279,864,448,232,943,855,330,968,524,688,993,425,104,327,612,754,984,65,860,485,115,508,542,214,879,998,562,0,687,878,880,69,599,733,191,198,998,640,835,579,273,370,701,804,518,709,217,718
"YIF1A",7,145,19,909,360,467,653,635,791,999,520,51,301,351,310,940,658,576,939,244,866,827,201,677,501,607,274,871,945,501,760,457,982,596,607,461,210,687,0,329,432,825,72,956,372,647,289,88,52,239,389,269,240,278,737,108,632,192
"ZBTB17",219,897,383,550,261,437,422,96,296,138,334,285,48,50,158,213,229,867,739,891,963,895,63,62,559,68,1,763,469,354,486,415,54,626,179,177,115,878,329,0,175,696,247,150,774,173,83,11,130,31,908,75,708,904,610,75,136,970
"LMNA",185,889,185,635,779,91,188,23,158,465,470,149,489,653,364,559,972,172,358,794,385,530,461,24,666,891,0,507,559,198,309,507,343,557,890,718,522,880,432,175,0,357,344,682,591,488,247,780,9,171,201,633,430,988,353,466,519,108
"WFS1",552,439,201,684,595,287,844,132,366,94,147,31,17,608,160,467,658,511,968,501,445,859,617,156,768,930,2,35,834,272,434,240,926,57,588,254,459,69,825,696,357,0,60,391,122,754,560,696,136,34,971,814,873,871,247,30,508,413
"KDELR3",581,111,156,456,501,12,699,980,413,985,858,240,58,918,158,81,2,146,174,62,10,177,220,1,975,875,326,27,59,72,51,663,179,340,963,511,95,599,72,247,344,60,0,726,24,58,0,896,66,851,545,77,839,437,5,173,15,971
"CXCL8",305,263,758,56,44,9,1,230,944,646,59,94,896,522,72,607,84,187,34,41,445,914,891,72,830,581,270,193,497,192,109,364,188,268,916,355,177,733,956,150,682,391,726,0,61,117,397,937,140,257,82,311,992,672,713,42,101,765
"CALR",756,770,697,879,255,344,477,198,666,587,627,750,598,127,639,453,815,244,539,507,908,271,0,554,463,686,679,123,394,247,356,246,632,572,932,761,94,191,372,774,591,122,24,61,0,860,861,423,91,242,432,753,995,562,436,389,970,451
"HYOU1",809,645,708,388,811,330,952,3,791,260,257,188,933,30,303,155,295,327,522,542,580,956,1,226,327,743,654,370,656,918,360,65,505,487,713,244,525,198,647,173,488,754,58,117,860,0,905,467,666,647,802,441,922,165,451,938,993,626
"GSK3A",589,786,213,451,711,585,917,755,289,153,279,544,451,96,187,717,115,238,370,132,662,781,16,1000,555,622,2,691,732,461,867,883,125,62,936,464,433,998,289,83,247,560,0,397,861,905,0,709,371,590,744,115,762,969,204,894,533,126
"ASNS",998,440,62,996,358,976,769,295,24,989,489,89,438,380,471,65,336,115,35,752,264,687,626,327,203,998,639,652,74,886,820,705,96,99,880,958,94,640,88,11,780,696,896,937,423,467,709,0,538,998,2,864,743,436,38,383,784,583
