"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,195,947,298,139,93,563,374,853,256,736,912,314,291,137,360,368,577,174,300,292,990,415,110,266,552,120,703,286,787,103,16,758,221,902,270,369,261,939,810,646,314,237,284,280,415,565,71,455,326,451,589,362,198,552,28,35,151
"FKBP14",195,0,27,26,195,194,53,944,42,503,83,834,88,185,116,233,200,988,231,3,962,327,886,35,466,145,507,103,908,255,831,571,226,909,581,1,28,51,546,3,13,781,926,766,224,77,341,324,768,6,63,110,300,218,24,227,46,310
"ACADVL",947,27,0,361,132,7,340,796,159,701,180,314,157,739,778,494,5,185,299,199,35,926,707,219,486,146,511,11,4,729,5,383,105,156,152,33,8,849,17,69,16,558,11,732,120,147,47,130,68,27,350,7,281,0,68,12,6,178
"ADD1",298,26,361,0,436,21,437,684,8,37,265,130,319,166,4,514,105,3,107,113,16,757,176,6,395,175,155,3,4,711,94,159,15,272,105,115,210,22,46,372,2,477,1,114,21,217,0,304,20,195,639,2,140,104,30,528,203,19
"EDEM1",139,195,132,436,0,715,179,169,20,222,512,838,824,99,850,257,859,86,947,312,787,45,212,48,94,297,908,258,904,6,999,138,110,983,625,113,271,118,15,2,660,631,676,832,648,790,782,194,682,12,8,910,880,475,693,923,184,348
"HSP90B1",93,194,7,21,715,0,897,518,0,673,721,338,17,244,473,13,31,27,270,184,850,378,267,934,396,869,165,297,942,8,86,95,15,471,613,916,39,219,64,0,946,5,328,67,346,344,644,86,191,82,1,414,337,27,771,71,4,285
"CUL7",563,53,340,437,179,897,0,48,68,447,968,453,950,806,541,788,465,17,88,48,359,160,667,202,5,42,955,987,523,308,977,1,967,242,741,184,890,225,61,110,632,785,297,434,127,702,545,614,952,736,41,319,323,93,532,137,735,761
"WIPI1",374,944,796,684,169,518,48,0,146,54,448,821,760,67,189,903,414,302,558,72,407,559,7,251,879,346,74,287,317,366,500,775,280,257,194,786,237,345,77,973,11,936,355,686,461,965,1,44,294,934,437,125,604,767,986,580,967,914
"PLA2G4B",853,42,159,8,20,0,68,146,0,24,47,4,26,187,306,53,10,3,17,4,2,685,457,150,30,29,265,0,1,261,18,48,0,30,40,2,15,96,68,174,4,33,1,768,0,31,9,82,266,125,28,0,32,90,23,14,6,30
"TLN1",256,503,701,37,222,673,447,54,24,0,802,150,85,114,70,2,592,44,403,693,812,787,89,575,727,681,764,287,944,831,580,333,61,653,911,669,364,959,577,26,900,58,660,136,706,347,984,997,496,140,64,428,935,661,220,83,490,511
"KLHDC3",736,83,180,265,512,721,968,448,47,802,0,49,675,302,492,130,240,20,264,890,758,610,870,672,17,793,162,673,53,337,344,85,3,761,658,321,707,247,486,1,493,230,189,793,891,793,438,549,343,887,0,815,48,501,402,809,468,873
"SEC31A",912,834,314,130,838,338,453,821,4,150,49,0,119,166,11,905,768,19,11,315,250,189,258,30,123,733,741,412,358,54,418,962,708,566,428,675,304,566,746,2,240,18,531,448,996,415,242,956,75,777,10,987,749,274,997,112,610,290
"XBP1",314,88,157,319,824,17,950,760,26,85,675,119,0,531,727,35,29,981,661,488,8,972,456,120,496,613,19,17,70,10,33,471,298,898,464,925,301,325,0,3,149,433,179,911,201,745,113,451,94,372,30,146,667,44,445,168,697,124
"HERPUD1",291,185,739,166,99,244,806,67,187,114,302,166,531,0,395,327,870,786,31,74,80,332,331,392,41,364,778,116,248,61,783,265,162,536,138,250,162,59,350,626,924,68,879,300,87,67,293,427,392,782,464,707,176,751,515,137,652,742
