"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,152,164,837,517,613,3,5,703,1000,111,290,1,3,971,538,168,142,881,946,166,859,474,96,14,623,976,446,61,736,361,470,625,949,249,782,21,852,23,393,352,14,5,213,628,133,16,184,570,143,305,469,822,953,97,125,908,918
"FKBP14",152,0,860,250,70,240,1,22,116,422,159,201,487,778,1,210,52,125,41,984,530,3,61,29,2,71,977,486,9,242,953,1,602,8,93,698,13,533,46,340,388,4,0,400,912,18,0,1,870,277,72,707,2,97,345,750,286,196
"ACADVL",164,860,0,509,459,449,156,622,34,703,800,495,944,85,188,112,584,14,393,68,349,223,696,336,1,167,233,988,337,903,389,678,58,229,984,594,139,636,0,290,378,18,1,173,754,260,8,242,896,436,0,747,870,36,82,203,749,24
"ADD1",837,250,509,0,269,70,423,80,604,315,926,13,112,920,29,3,295,1,26,0,7,810,322,69,849,83,909,36,78,17,537,685,884,139,856,52,2,504,91,175,17,888,666,648,151,230,781,988,72,195,183,141,761,4,946,62,12,677
"EDEM1",517,70,459,269,0,16,370,63,30,27,270,998,1,506,526,98,0,89,195,132,165,595,492,207,287,945,749,110,315,2,279,952,22,277,18,6,147,86,15,69,120,0,4,416,62,206,44,723,502,10,8,465,827,443,691,868,0,104
"HSP90B1",613,240,449,70,16,0,9,0,725,765,699,593,696,17,527,533,21,345,147,903,826,929,535,671,2,446,279,11,725,128,78,21,540,735,484,22,108,22,2,426,212,61,4,63,24,18,5,0,589,771,660,418,475,254,448,581,167,41
"CUL7",3,1,156,423,370,9,0,4,266,0,0,4,0,12,0,463,0,233,405,1,64,0,0,0,101,7,315,1,0,0,0,313,115,52,294,0,0,273,440,314,16,555,353,888,0,55,832,11,289,1,549,186,0,946,277,471,0,16
"WIPI1",5,22,622,80,63,0,4,0,2,36,28,81,18,16,179,156,0,78,253,80,51,183,392,675,23,101,874,106,30,83,38,51,287,30,719,1,338,644,445,427,3,0,3,112,0,21,54,19,160,125,3,19,806,882,451,694,0,37
"PLA2G4B",703,116,34,604,30,725,266,2,0,14,37,411,742,354,52,87,164,43,10,57,36,515,689,246,942,358,885,13,576,963,396,394,204,761,64,264,387,425,926,2,19,934,439,377,768,284,910,90,649,792,3,246,493,76,140,65,526,954
"TLN1",1000,422,703,315,27,765,0,36,14,0,321,4,693,8,362,274,11,128,23,961,148,2,366,102,0,949,359,71,645,701,442,1,506,0,595,442,26,716,0,280,128,1,0,535,53,0,0,1,351,641,2,505,0,528,31,244,965,3
"KLHDC3",111,159,800,926,270,699,0,28,37,321,0,402,457,90,84,12,43,1,8,409,999,64,146,0,0,160,807,323,3,844,720,0,14,0,448,726,0,118,0,41,435,0,0,459,546,0,0,0,830,18,2,613,1,942,34,724,772,255
"SEC31A",290,201,495,13,998,593,4,81,411,4,402,0,547,649,179,46,7,310,907,676,499,388,448,122,2,280,958,35,235,982,13,941,716,608,271,543,7,14,6,379,280,0,5,138,250,681,0,739,845,662,577,623,881,635,791,106,432,153
"XBP1",1,487,944,112,1,696,0,18,742,693,457,547,0,67,189,102,740,853,13,121,900,0,64,956,2,477,967,74,41,663,597,49,811,152,787,630,3,749,11,686,917,56,2,24,179,6,3,0,122,591,362,570,1,144,497,104,671,643
"HERPUD1",3,778,85,920,506,17,12,16,354,8,90,649,67,0,947,201,1,54,813,25,353,780,356,669,333,609,379,146,50,2,325,273,372,43,859,152,591,26,723,478,3,0,0,322,4,178,86,182,102,864,219,34,533,401,377,373,4,389
"DCTN1",971,1,188,29,526,527,0,179,52,362,84,179,189,947,0,40,11,4,14,584,907,1,16,1,0,880,970,216,47,420,753,0,27,16,898,415,2,11,0,27,910,0,0,402,821,31,0,6,236,53,22,936,1,577,340,214,889,406
"SRPRB",538,210,112,3,98,533,463,156,87,274,12,46,102,201,40,0,618,321,287,570,86,451,26,61,987,208,942,307,981,825,383,861,661,309,0,599,579,958,467,982,738,820,600,541,549,862,62,603,171,94,911,507,210,633,925,29,197,988
"HSPA5",168,52,584,295,0,21,0,0,164,11,43,7,740,1,11,618,0,190,10,245,263,748,501,49,0,20,573,2,334,961,40,145,571,664,730,914,335,102,24,111,161,98,0,682,344,151,0,37,215,32,210,951,682,982,128,126,880,29
"DDX11",142,125,14,1,89,345,233,78,43,128,1,310,853,54,4,321,190,0,919,224,957,71,178,680,42,226,901,45,559,188,805,238,51,108,22,134,140,267,24,35,230,267,0,583,738,209,2,296,622,932,29,963,133,867,111,979,655,472
"TATDN2",881,41,393,26,195,147,405,253,10,23,8,907,13,813,14,287,10,919,0,193,147,478,3,6,336,295,165,113,7,48,222,232,11,686,1,24,1,627,962,159,110,471,871,702,37,513,90,10,666,4,231,894,0,412,876,235,1,378
"SYVN1",946,984,68,0,132,903,1,80,57,961,409,676,121,25,584,570,245,224,193,0,506,0,697,38,81,185,713,322,21,179,610,85,335,15,15,653,845,948,4,3,345,0,0,242,547,43,20,180,75,682,9,238,7,392,51,384,415,248
"DNAJB11",166,530,349,7,165,826,64,51,36,148,999,499,900,353,907,86,263,957,147,506,0,678,554,432,0,802,502,851,474,283,174,81,179,516,418,330,461,839,4,260,101,877,105,762,624,48,96,67,970,151,172,524,674,664,39,466,263,832
"EXTL1",859,3,223,810,595,929,0,183,515,2,64,388,0,780,1,451,748,71,478,0,678,0,58,0,6,8,70,889,83,5,94,24,956,153,2,124,0,788,0,940,552,17,0,488,100,1,0,0,175,0,964,693,4,457,748,112,15,899
"ATP6V0D1",474,61,696,322,492,535,0,392,689,366,146,448,64,356,16,26,501,178,3,697,554,58,0,11,0,384,894,629,53,375,487,0,845,47,137,702,1,226,36,385,322,1,0,983,615,0,0,0,585,89,638,161,0,425,283,630,846,969
"HDGF",96,29,336,69,207,671,0,675,246,102,0,122,956,669,1,61,49,680,6,38,432,0,11,0,0,97,416,54,147,720,857,50,858,27,236,659,12,46,6,917,829,368,0,810,727,23,0,1,760,913,787,742,3,49,947,363,759,53
"EXTL2",14,2,1,849,287,2,101,23,942,0,0,2,2,333,0,987,0,42,336,81,0,6,0,0,0,2,366,0,0,144,0,671,647,549,972,30,669,695,825,8,0,688,31,613,0,489,60,869,134,12,46,52,2,595,49,209,0,1
"CTDSP2",623,71,167,83,945,446,7,101,358,949,160,280,477,609,880,208,20,226,295,185,802,8,384,97,2,0,794,165,839,536,26,0,746,418,203,428,2,681,0,721,567,289,0,959,710,35,0,24,986,162,61,508,113,472,292,674,578,117
"DDIT3",976,977,233,909,749,279,315,874,885,359,807,958,967,379,970,942,573,901,165,713,502,70,894,416,366,794,0,944,20,393,152,850,865,127,112,534,762,443,780,160,617,396,494,200,319,553,256,91,764,927,807,74,135,766,589,923,750,492
"SHC1",446,486,988,36,110,11,1,106,13,71,323,35,74,146,216,307,2,45,113,322,851,889,629,54,0,165,944,0,222,77,3,131,38,212,136,1,748,99,226,303,413,0,0,423,49,41,0,487,897,86,19,179,630,614,261,834,2,170
"TSPYL2",61,9,337,78,315,725,0,30,576,645,3,235,41,50,47,981,334,559,7,21,474,83,53,147,0,839,20,222,0,7,32,5,684,843,6,156,0,333,2,74,532,93,0,757,630,11,0,2,739,49,916,150,330,550,637,58,269,125
"TPP1",736,242,903,17,2,128,0,83,963,701,844,982,663,2,420,825,961,188,48,179,283,5,375,720,144,536,393,77,7,0,624,104,340,349,643,955,147,488,15,440,751,138,2,866,16,54,44,0,175,462,172,306,9,617,453,20,317,533
"PDIA5",361,953,389,537,279,78,0,38,396,442,720,13,597,325,753,383,40,805,222,610,174,94,487,857,0,26,152,3,32,624,0,179,961,903,322,800,4,279,3,86,83,4,1,418,341,249,0,84,498,567,559,374,749,897,953,252,364,10
"EXTL3",470,1,678,685,952,21,313,51,394,1,0,941,49,273,0,861,145,238,232,85,81,24,0,50,671,0,850,131,5,104,179,0,576,282,31,114,11,308,978,447,99,40,507,484,80,55,970,50,584,6,973,270,1,583,724,361,5,315
"ARFGAP1",625,602,58,884,22,540,115,287,204,506,14,716,811,372,27,661,571,51,11,335,179,956,845,858,647,746,865,38,684,340,961,576,0,897,8,518,554,461,539,44,146,555,918,962,558,857,112,137,990,356,1,573,860,604,145,161,921,170
"DNAJB9",949,8,229,139,277,735,52,30,761,0,0,608,152,43,16,309,664,108,686,15,516,153,47,27,549,418,127,212,843,349,903,282,897,0,338,461,43,399,79,535,110,269,614,195,968,963,369,715,605,541,930,390,979,363,355,543,945,359
"SULT1A3",249,93,984,856,18,484,294,719,64,595,448,271,787,859,898,0,730,22,1,15,418,2,137,236,972,203,112,136,6,643,322,31,8,338,0,35,75,810,469,559,888,913,458,118,698,92,170,34,744,156,7,883,0,0,82,3,300,262
"DNAJC3",782,698,594,52,6,22,0,1,264,442,726,543,630,152,415,599,914,134,24,653,330,124,702,659,30,428,534,1,156,955,800,114,518,461,35,0,120,893,0,281,242,18,0,760,102,9,3,76,13,322,42,373,75,250,31,545,97,417
"SERP1",21,13,139,2,147,108,0,338,387,26,0,7,3,591,2,579,335,140,1,845,461,0,1,12,669,2,762,748,0,147,4,11,554,43,75,120,0,526,1,10,689,16,121,539,8,10,27,9,24,13,267,7,0,64,45,107,5,414
"IGFBP1",852,533,636,504,86,22,273,644,425,716,118,14,749,26,11,958,102,267,627,948,839,788,226,46,695,681,443,99,333,488,279,308,461,399,810,893,526,0,618,391,635,8,765,501,68,780,600,819,194,803,192,339,69,722,956,125,611,105
"YIF1A",23,46,0,91,15,2,440,445,926,0,0,6,11,723,0,467,24,24,962,4,4,0,36,6,825,0,780,226,2,15,3,978,539,79,469,0,1,618,0,5,0,806,329,777,0,755,509,568,10,50,6,9,53,332,0,912,0,16
"ZBTB17",393,340,290,175,69,426,314,427,2,280,41,379,686,478,27,982,111,35,159,3,260,940,385,917,8,721,160,303,74,440,86,447,44,535,559,281,10,391,5,0,84,66,21,322,282,549,3,522,651,816,8,672,859,172,282,112,464,25
"LMNA",352,388,378,17,120,212,16,3,19,128,435,280,917,3,910,738,161,230,110,345,101,552,322,829,0,567,617,413,532,751,83,99,146,110,888,242,689,635,0,84,0,0,0,55,273,17,0,23,819,363,9,663,514,869,41,12,284,964
