"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,969,186,963,252,41,4,340,450,536,999,17,130,824,434,730,91,7,20,42,634,550,406,172,903,5,12,7,26,366,68,36,0,575,95,52,855,13,599,283,23,333,204,390,729,10,65,650,994,213,491,912,840,56,373,292,35,1
"FKBP14",969,0,726,5,487,724,732,595,46,564,487,629,423,518,36,909,331,612,477,333,493,572,391,701,929,531,79,79,87,54,199,245,19,505,789,983,474,737,41,305,24,0,324,565,283,681,338,131,958,254,137,2,229,90,711,485,392,408
"ACADVL",186,726,0,613,188,263,995,944,56,608,150,573,292,67,367,436,558,283,695,393,609,817,780,867,219,731,246,454,582,640,640,989,46,457,917,335,924,363,654,332,398,179,165,13,100,877,837,28,271,264,28,12,389,792,296,889,403,784
"ADD1",963,5,613,0,717,902,64,595,397,0,0,21,952,630,155,448,839,95,1,429,111,24,491,199,13,153,171,310,37,1,818,221,25,217,402,620,882,509,186,10,26,707,751,915,862,958,7,824,673,37,3,855,9,159,739,977,830,15
"EDEM1",252,487,188,717,0,106,7,202,10,83,324,18,849,541,154,737,740,180,447,329,828,986,90,390,462,745,360,619,382,0,966,670,849,107,767,675,937,989,466,510,987,395,380,676,536,496,329,890,366,63,585,428,222,372,549,6,688,6
"HSP90B1",41,724,263,902,106,0,39,248,675,696,820,274,200,33,730,27,11,271,979,3,0,648,14,84,154,924,975,428,806,771,614,791,667,10,958,2,159,826,420,372,315,390,33,718,251,1,653,904,327,70,356,19,15,239,91,13,1,655
"CUL7",4,732,995,64,7,39,0,275,33,921,331,961,259,192,12,322,24,359,524,65,7,878,233,394,750,524,444,929,703,483,88,142,15,25,163,342,427,610,1,285,38,35,42,116,0,112,663,608,556,246,17,4,977,414,202,253,116,15
"WIPI1",340,595,944,595,202,248,275,0,721,776,918,641,613,499,720,602,951,434,254,831,377,756,365,183,184,742,733,681,57,116,230,268,803,197,292,938,409,769,448,865,912,97,731,515,11,991,707,736,987,854,1000,294,543,991,473,948,602,428
"PLA2G4B",450,46,56,397,10,675,33,721,0,12,271,124,262,258,705,829,17,885,68,196,808,330,336,42,69,223,985,334,653,166,284,201,586,180,991,40,307,411,589,174,266,840,629,99,327,115,505,390,799,12,214,998,68,1,386,48,130,327
"TLN1",536,564,608,0,83,696,921,776,12,0,35,487,550,60,6,354,11,907,41,986,290,136,307,224,900,239,76,981,873,297,72,796,32,21,268,71,79,493,0,8,1,1,0,656,220,989,710,256,354,736,37,11,123,574,22,106,689,77
"KLHDC3",999,487,150,0,324,820,331,918,271,35,0,306,3,347,0,457,567,345,519,68,335,29,615,952,679,847,812,347,500,321,934,265,48,343,131,949,627,556,112,85,31,159,89,347,370,135,3,652,627,798,1,84,70,838,939,23,799,293
"SEC31A",17,629,573,21,18,274,961,641,124,487,306,0,710,64,7,39,981,280,275,534,77,600,756,959,434,180,788,908,785,448,28,864,80,52,332,633,845,732,2,210,50,8,288,121,86,567,682,268,776,139,46,7,858,908,205,267,292,87
"XBP1",130,423,292,952,849,200,259,613,262,550,3,710,0,568,772,624,349,733,332,880,999,975,109,538,420,348,22,350,88,139,553,819,958,727,95,989,658,322,507,908,540,888,790,261,373,819,865,888,67,225,575,98,793,383,415,775,894,791
"HERPUD1",824,518,67,630,541,33,192,499,258,60,347,64,568,0,689,382,458,394,924,555,584,28,444,183,764,324,583,423,840,241,294,397,219,631,886,710,224,797,479,627,677,93,359,995,37,452,214,286,234,66,759,846,611,902,699,980,802,43
"DCTN1",434,36,367,155,154,730,12,720,705,6,0,7,772,689,0,17,246,542,22,0,59,175,572,928,149,107,94,400,539,0,260,639,79,873,652,111,352,732,167,142,105,577,183,213,115,21,38,894,794,2,96,166,3,28,528,39,361,7
"SRPRB",730,909,436,448,737,27,322,602,829,354,457,39,624,382,17,0,848,60,970,756,245,203,115,998,803,178,729,395,643,276,439,569,372,132,191,649,519,950,319,615,746,79,24,439,308,376,345,539,48,339,754,19,664,783,52,186,6,199
"HSPA5",91,331,558,839,740,11,24,951,17,11,567,981,349,458,246,848,0,253,224,30,66,235,79,456,368,658,483,301,545,275,568,531,568,426,559,305,970,941,133,696,603,357,24,806,120,561,246,894,4,603,647,164,797,929,522,387,112,177
"DDX11",7,612,283,95,180,271,359,434,885,907,345,280,733,394,542,60,253,0,227,0,30,414,138,704,327,845,712,665,209,297,428,369,222,491,459,23,13,124,0,877,81,30,85,162,463,30,978,358,292,63,602,0,235,33,842,226,139,457
"TATDN2",20,477,695,1,447,979,524,254,68,41,519,275,332,924,22,970,224,227,0,136,492,197,159,65,312,170,340,21,150,112,924,151,6,730,424,736,675,165,76,277,12,0,344,196,535,957,226,593,241,252,72,0,8,188,771,971,334,389
"SYVN1",42,333,393,429,329,3,65,831,196,986,68,534,880,555,0,756,30,0,136,0,182,761,566,2,285,36,942,502,699,240,696,57,2,253,896,75,51,33,349,792,126,61,834,152,141,619,9,616,839,41,4,6,482,63,25,666,38,0
"DNAJB11",634,493,609,111,828,0,7,377,808,290,335,77,999,584,59,245,66,30,492,182,0,930,5,350,585,594,88,497,646,206,315,660,60,804,140,94,819,242,211,808,241,14,99,142,121,3,29,219,392,17,27,0,17,102,1,11,19,364
"EXTL1",550,572,817,24,986,648,878,756,330,136,29,600,975,28,175,203,235,414,197,761,930,0,9,455,37,349,438,53,15,22,574,108,388,52,765,991,938,240,984,798,11,1,769,203,721,392,871,138,969,580,998,781,741,983,830,881,725,837
