"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,406,18,331,572,896,940,246,278,298,984,263,532,109,949,427,408,16,481,466,581,685,552,992,883,258,4,998,312,504,457,960,78,730,229,81,377,131,578,367,668,866,411,758,550,598,281,29,3,973,38,413,215,227,653,859,273,73
"FKBP14",406,0,440,778,232,181,463,89,331,643,909,283,928,655,394,118,523,157,123,575,138,367,834,767,782,78,240,332,735,581,67,15,733,467,28,219,104,380,896,367,670,181,813,405,611,415,664,286,582,34,494,967,130,0,705,610,49,712
"ACADVL",18,440,0,92,150,381,731,628,11,246,134,237,988,814,6,339,177,93,628,631,450,308,26,744,291,322,385,700,29,581,232,680,159,185,10,768,626,445,136,127,489,26,6,861,56,801,149,531,754,72,0,56,836,835,14,503,804,494
"ADD1",331,778,92,0,776,605,86,490,23,50,414,892,714,549,35,125,178,6,292,887,174,9,247,416,41,227,551,960,7,831,709,308,11,204,356,707,425,229,671,162,918,998,65,293,37,260,382,387,815,140,0,13,289,737,195,702,179,997
"EDEM1",572,232,150,776,0,220,10,179,97,230,870,139,293,621,34,329,912,2,994,757,451,853,60,733,386,945,394,842,23,742,231,91,330,267,839,170,0,74,779,695,776,347,66,217,441,461,147,1,925,315,119,66,660,48,38,177,412,526
"HSP90B1",896,181,381,605,220,0,991,674,933,104,986,379,180,503,531,829,532,292,565,4,295,883,474,216,276,380,869,103,295,204,494,685,952,337,989,792,310,78,8,347,2,961,228,162,321,17,748,598,896,236,713,345,323,934,397,738,670,43
"CUL7",940,463,731,86,10,991,0,948,19,107,222,388,614,438,183,552,703,72,2,40,505,62,45,955,690,83,539,240,20,234,807,2,841,682,318,119,427,273,735,841,848,976,236,166,360,648,565,344,221,182,12,107,176,36,745,158,198,223
"WIPI1",246,89,628,490,179,674,948,0,51,638,250,722,808,973,36,338,8,2,856,303,41,11,340,456,91,54,22,865,263,79,260,55,341,985,297,964,601,713,22,734,480,191,728,95,35,118,178,173,264,498,115,53,12,45,149,953,341,64
"PLA2G4B",278,331,11,23,97,933,19,51,0,112,189,283,872,651,621,934,527,228,482,240,522,134,115,540,234,168,137,398,2,153,808,226,34,491,53,477,597,1,914,195,186,34,646,496,27,738,782,475,879,718,1,19,112,85,344,404,763,325
"TLN1",298,643,246,50,230,104,107,638,112,0,153,133,19,284,801,448,749,3,397,163,644,321,120,812,890,997,7,405,512,122,933,317,95,56,988,23,329,530,938,37,659,82,27,610,918,491,287,776,118,348,43,596,786,922,583,3,534,984
