"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,767,923,408,350,417,917,955,975,623,353,538,419,603,263,265,224,878,434,462,861,811,832,979,909,410,765,140,926,149,341,837,128,569,791,1000,1000,290,725,953,3,533,597,825,245,369,959,683,976,289,940,281,164,304,470,557,566,23
"FKBP14",767,0,420,796,166,155,204,191,591,685,29,184,259,861,610,310,87,84,555,307,5,271,218,7,65,46,18,2,578,270,38,51,90,763,585,56,1,845,458,381,588,934,151,45,47,443,31,336,288,11,720,763,880,46,934,37,4,30
"ACADVL",923,420,0,762,830,491,78,246,741,14,515,212,830,495,845,684,943,507,254,353,577,599,32,728,186,177,701,931,71,462,909,612,512,921,765,175,107,277,265,430,244,20,692,476,836,487,86,286,913,479,0,421,331,675,16,190,210,26
"ADD1",408,796,762,0,17,955,557,57,215,229,131,319,231,417,398,380,442,3,682,205,571,352,7,960,582,174,313,110,990,30,363,374,722,867,777,7,453,673,75,152,43,73,10,516,952,346,821,445,923,390,344,957,90,90,13,10,151,466
"EDEM1",350,166,830,17,0,804,133,546,785,840,748,15,637,408,286,437,855,30,86,218,46,30,175,675,2,0,88,432,1,3,102,588,6,693,901,371,850,403,836,362,690,20,851,748,656,333,7,719,535,636,77,191,363,32,380,123,334,1
"HSP90B1",417,155,491,955,804,0,747,243,782,491,685,402,327,851,691,72,56,833,670,931,0,350,656,362,912,336,258,39,994,738,239,612,375,657,899,103,261,608,240,820,339,767,11,378,88,232,428,739,168,51,944,584,777,350,392,158,30,359
"CUL7",917,204,78,557,133,747,0,10,48,958,454,58,526,928,163,796,183,187,116,611,203,77,46,717,344,549,606,474,94,461,77,531,21,484,135,148,750,592,55,294,83,140,106,817,999,291,187,577,545,296,16,841,107,814,42,47,857,900
"WIPI1",955,191,246,57,546,243,10,0,260,55,179,505,358,465,354,497,675,21,994,36,354,1,3,5,93,19,382,47,23,750,248,14,21,16,95,2,960,435,863,9,162,305,926,210,168,199,23,546,590,98,129,468,378,872,317,76,574,353
"PLA2G4B",975,591,741,215,785,782,48,260,0,74,25,764,924,416,706,28,186,184,800,458,447,873,158,635,194,918,471,279,343,661,224,607,301,560,312,440,791,192,189,30,812,514,585,750,622,306,125,194,391,470,39,938,304,502,87,283,17,300
"TLN1",623,685,14,229,840,491,958,55,74,0,100,856,252,392,4,203,940,172,410,941,745,247,647,392,507,629,979,931,234,363,80,227,29,3,78,387,473,787,811,194,75,525,160,456,9,566,194,906,952,417,211,2,629,872,18,958,222,708
"KLHDC3",353,29,515,131,748,685,454,179,25,100,0,145,27,351,139,75,70,653,818,314,17,1,993,577,306,371,40,484,622,31,27,834,634,945,104,407,32,942,9,779,403,391,98,523,472,291,905,402,68,173,458,4,40,852,17,464,350,503
"SEC31A",538,184,212,319,15,402,58,505,764,856,145,0,80,138,333,514,33,338,84,188,65,192,155,84,757,42,529,47,482,55,39,946,355,161,554,1,454,892,39,986,21,59,43,816,734,35,75,439,217,31,531,984,915,66,301,15,157,815
"XBP1",419,259,830,231,637,327,526,358,924,252,27,80,0,769,740,2,654,694,331,390,147,955,3,30,8,620,125,400,817,69,371,386,950,973,663,374,9,727,16,723,433,304,207,309,3,40,61,25,24,25,216,11,423,8,48,98,0,3
"HERPUD1",603,861,495,417,408,851,928,465,416,392,351,138,769,0,282,3,159,523,990,371,494,418,6,108,929,544,31,161,13,556,503,250,921,352,210,305,1,716,4,593,931,987,2,12,39,7,297,6,83,201,927,0,896,1,42,1,2,237
"DCTN1",263,610,845,398,286,691,163,354,706,4,139,333,740,282,0,26,731,554,739,998,209,26,0,217,342,360,853,289,624,251,107,811,388,231,816,3,298,775,155,306,312,258,79,672,288,48,0,771,384,162,227,664,58,509,275,238,398,792
"SRPRB",265,310,684,380,437,72,796,497,28,203,75,514,2,3,26,0,147,1,637,812,174,53,944,13,281,740,106,293,964,283,841,3,617,549,46,173,81,573,234,322,406,24,512,11,35,709,329,596,177,3,831,456,10,630,736,601,162,947
"HSPA5",224,87,943,442,855,56,183,675,186,940,70,33,654,159,731,147,0,165,458,710,55,362,117,52,118,19,413,23,305,181,15,515,63,164,216,227,88,449,66,138,94,506,479,204,0,46,127,858,152,30,752,169,215,5,876,154,83,300
"DDX11",878,84,507,3,30,833,187,21,184,172,653,338,694,523,554,1,165,0,476,850,16,381,937,560,454,574,427,159,849,518,113,414,814,880,145,102,129,645,43,936,109,245,81,557,569,128,314,70,379,32,179,607,383,335,28,78,240,33
"TATDN2",434,555,254,682,86,670,116,994,800,410,818,84,331,990,739,637,458,476,0,607,659,277,25,128,597,94,948,39,884,11,131,211,86,299,466,196,522,596,657,910,95,444,759,370,582,1000,782,722,955,940,90,300,530,791,376,205,570,212
"SYVN1",462,307,353,205,218,931,611,36,458,941,314,188,390,371,998,812,710,850,607,0,665,77,693,194,815,38,29,122,245,809,49,492,211,706,346,24,99,916,20,986,282,366,38,175,275,228,763,280,352,624,485,155,216,416,877,51,809,809
"DNAJB11",861,5,577,571,46,0,203,354,447,745,17,65,147,494,209,174,55,16,659,665,0,961,733,0,40,98,272,5,649,516,3,185,345,346,486,576,365,129,244,41,101,723,760,39,0,25,24,886,34,1,303,419,34,458,556,188,2,608
"EXTL1",811,271,599,352,30,350,77,1,873,247,1,192,955,418,26,53,362,381,277,77,961,0,788,997,318,171,680,128,655,273,15,46,687,692,277,264,520,852,668,928,20,632,183,57,101,759,331,894,357,382,916,1,217,350,900,4,157,537
"ATP6V0D1",832,218,32,7,175,656,46,3,158,647,993,155,3,6,0,944,117,937,25,693,733,788,0,39,163,4,526,382,302,535,28,1,125,803,10,606,674,123,424,206,46,64,306,404,291,107,35,452,280,799,930,82,0,4,996,558,13,883
"HDGF",979,7,728,960,675,362,717,5,635,392,577,84,30,108,217,13,52,560,128,194,0,997,39,0,785,439,40,274,933,457,80,704,633,178,301,337,320,910,13,440,581,463,106,412,13,11,342,380,130,109,415,31,77,9,43,186,30,898
"EXTL2",909,65,186,582,2,912,344,93,194,507,306,757,8,929,342,281,118,454,597,815,40,318,163,785,0,568,181,155,223,96,26,409,219,574,22,17,161,186,86,717,191,262,309,215,919,61,319,508,90,652,374,824,81,142,338,416,229,547
"CTDSP2",410,46,177,174,0,336,549,19,918,629,371,42,620,544,360,740,19,574,94,38,98,171,4,439,568,0,659,6,115,427,32,683,49,631,251,4,416,661,201,998,72,31,80,181,935,393,483,853,860,768,681,564,26,196,141,53,599,229
"DDIT3",765,18,701,313,88,258,606,382,471,979,40,529,125,31,853,106,413,427,948,29,272,680,526,40,181,659,0,122,679,361,592,566,669,202,177,903,351,503,140,135,375,326,793,99,112,559,100,342,158,25,547,69,310,115,916,218,434,759
"SHC1",140,2,931,110,432,39,474,47,279,931,484,47,400,161,289,293,23,159,39,122,5,128,382,274,155,6,122,0,511,79,95,280,56,624,318,546,257,230,62,174,338,158,236,248,2,35,91,834,236,32,211,436,2,1,205,45,5,220
"TSPYL2",926,578,71,990,1,994,94,23,343,234,622,482,817,13,624,964,305,849,884,245,649,655,302,933,223,115,679,511,0,845,151,178,437,405,699,122,371,637,842,546,221,116,870,712,331,804,854,870,959,433,4,230,964,581,288,102,877,10
"TPP1",149,270,462,30,3,738,461,750,661,363,31,55,69,556,251,283,181,518,11,809,516,273,535,457,96,427,361,79,845,0,448,960,129,814,857,133,822,278,904,750,117,104,97,646,348,174,518,916,946,224,955,702,160,302,596,593,755,28
"PDIA5",341,38,909,363,102,239,77,248,224,80,27,39,371,503,107,841,15,113,131,49,3,15,28,80,26,32,592,95,151,448,0,4,34,218,174,8,255,858,44,89,1,767,55,364,4,0,145,977,267,0,147,219,4,316,440,31,501,397
"EXTL3",837,51,612,374,588,612,531,14,607,227,834,946,386,250,811,3,515,414,211,492,185,46,1,704,409,683,566,280,178,960,4,0,229,968,728,56,15,953,8,312,577,26,8,249,725,34,508,369,67,70,938,803,37,22,119,46,69,160
"ARFGAP1",128,90,512,722,6,375,21,21,301,29,634,355,950,921,388,617,63,814,86,211,345,687,125,633,219,49,669,56,437,129,34,229,0,461,961,3,77,381,117,61,2,37,12,671,516,68,48,863,97,129,38,879,158,694,14,14,89,101
"DNAJB9",569,763,921,867,693,657,484,16,560,3,945,161,973,352,231,549,164,880,299,706,346,692,803,178,574,631,202,624,405,814,218,968,461,0,553,228,190,644,806,178,431,561,47,875,157,243,141,7,636,726,122,513,285,74,383,78,1,147
"SULT1A3",791,585,765,777,901,899,135,95,312,78,104,554,663,210,816,46,216,145,466,346,486,277,10,301,22,251,177,318,699,857,174,728,961,553,0,179,818,256,92,631,118,23,226,833,157,94,64,183,35,70,358,22,925,267,109,32,30,159
"DNAJC3",1000,56,175,7,371,103,148,2,440,387,407,1,374,305,3,173,227,102,196,24,576,264,606,337,17,4,903,546,122,133,8,56,3,228,179,0,778,59,373,47,251,52,284,608,881,556,383,87,378,718,102,801,100,12,93,220,351,465
"SERP1",1000,1,107,453,850,261,750,960,791,473,32,454,9,1,298,81,88,129,522,99,365,520,674,320,161,416,351,257,371,822,255,15,77,190,818,778,0,490,224,139,58,277,58,4,437,893,969,831,127,7,68,535,309,729,929,284,266,281
"IGFBP1",290,845,277,673,403,608,592,435,192,787,942,892,727,716,775,573,449,645,596,916,129,852,123,910,186,661,503,230,637,278,858,953,381,644,256,59,490,0,901,506,483,751,826,24,356,730,450,358,612,609,676,222,761,860,757,640,947,283
