"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,59,435,342,465,35,956,1,713,223,766,100,372,77,852,332,94,984,906,90,357,169,888,153,978,978,66,32,657,25,285,763,64,124,658,371,521,449,18,851,723,151,1,869,111,21,133,295,650,62,597,393,26,183,815,56,293,152
"FKBP14",59,0,600,730,623,249,5,553,289,125,8,80,88,824,244,458,814,75,613,949,988,124,975,394,6,23,610,7,202,942,34,213,86,137,778,834,521,297,368,837,543,842,33,163,211,669,923,938,29,31,121,904,628,77,130,117,182,780
"ACADVL",435,600,0,436,473,840,756,716,310,705,989,396,618,448,257,726,172,444,791,783,544,404,702,164,503,772,198,643,316,946,877,606,996,759,828,859,235,917,149,539,177,340,330,302,871,737,218,449,871,696,374,361,542,521,997,900,535,146
"ADD1",342,730,436,0,483,249,565,689,68,190,613,561,945,270,897,939,773,194,534,41,821,852,657,829,973,483,159,585,36,211,175,993,838,457,121,344,104,987,604,675,627,918,563,400,116,756,417,863,624,458,772,179,894,925,378,272,796,657
"EDEM1",465,623,473,483,0,187,885,641,75,267,578,924,121,452,127,34,889,272,868,934,912,757,750,613,967,368,65,673,964,644,791,759,910,559,607,531,163,46,737,915,369,731,31,842,691,295,901,751,234,677,754,626,992,662,766,893,992,817
"HSP90B1",35,249,840,249,187,0,803,860,939,0,48,848,10,316,22,236,47,300,481,99,520,194,42,195,53,358,52,512,876,240,531,997,753,16,314,322,0,747,572,997,232,610,459,67,299,778,801,959,228,462,267,408,468,186,286,18,663,815
"CUL7",956,5,756,565,885,803,0,323,356,377,265,2,608,73,219,593,252,324,795,495,274,372,605,253,105,554,843,418,249,164,467,598,626,807,669,419,889,674,27,956,972,314,997,873,278,332,530,915,956,881,180,437,608,845,891,34,707,434
"WIPI1",1,553,716,689,641,860,323,0,637,51,533,916,172,665,92,908,75,137,534,855,280,210,993,318,131,224,691,104,279,850,355,528,140,237,966,904,328,769,410,388,804,894,345,201,236,401,50,63,415,135,744,561,540,268,148,502,457,456
"PLA2G4B",713,289,310,68,75,939,356,637,0,560,952,626,378,699,923,76,622,681,987,647,307,566,231,800,363,934,94,816,782,165,673,190,828,469,495,908,850,888,120,8,655,778,88,755,630,714,505,509,168,758,682,650,557,991,420,559,822,509
"TLN1",223,125,705,190,267,0,377,51,560,0,94,171,344,235,576,59,230,934,230,473,71,80,205,893,40,192,541,196,897,166,232,447,709,166,899,627,760,249,15,460,305,150,91,820,24,8,824,949,37,146,370,135,255,412,622,171,25,437
"KLHDC3",766,8,989,613,578,48,265,533,952,94,0,33,293,58,557,398,154,902,995,221,290,920,553,335,49,124,53,456,541,35,471,766,559,806,854,70,555,128,399,401,644,274,16,557,155,110,655,723,260,228,592,418,377,579,750,38,121,284
"SEC31A",100,80,396,561,924,848,2,916,626,171,33,0,53,451,199,890,400,262,338,798,873,101,540,221,56,3,231,528,676,469,395,245,617,196,804,536,149,149,425,803,140,725,677,289,229,529,62,697,645,485,970,971,767,116,517,155,603,677
"XBP1",372,88,618,945,121,10,608,172,378,344,293,53,0,356,984,406,99,70,671,70,318,248,491,512,16,976,4,769,207,43,342,134,71,686,962,373,389,129,315,84,719,20,75,623,269,47,336,27,907,220,684,333,328,500,605,21,15,366
"HERPUD1",77,824,448,270,452,316,73,665,699,235,58,451,356,0,203,179,518,184,111,207,898,397,665,668,236,61,72,815,592,804,828,678,494,61,906,293,76,97,517,973,963,349,125,276,872,341,840,779,947,908,588,592,447,484,227,206,970,731
"DCTN1",852,244,257,897,127,22,219,92,923,576,557,199,984,203,0,182,840,585,120,34,405,578,262,266,610,143,16,88,576,14,511,265,35,614,583,616,86,372,161,413,259,756,1,360,166,291,685,528,137,73,268,18,338,18,732,128,74,771
"SRPRB",332,458,726,939,34,236,593,908,76,59,398,890,406,179,182,0,916,425,897,302,640,845,616,348,274,207,39,315,184,9,885,639,634,480,537,856,29,460,243,273,750,432,913,888,595,727,743,275,467,930,445,671,944,672,412,297,584,748
"HSPA5",94,814,172,773,889,47,252,75,622,230,154,400,99,518,840,916,0,374,210,100,653,895,218,23,253,106,48,578,158,499,623,923,323,270,298,217,219,127,454,954,121,973,4,598,693,181,424,246,310,407,879,384,277,959,14,633,769,601
"DDX11",984,75,444,194,272,300,324,137,681,934,902,262,70,184,585,425,374,0,618,509,228,2,999,512,811,592,916,585,714,165,47,576,701,451,580,505,835,350,436,542,549,702,847,859,306,599,622,261,931,182,471,981,734,647,104,67,504,378
"TATDN2",906,613,791,534,868,481,795,534,987,230,995,338,671,111,120,897,210,618,0,12,341,635,608,674,802,961,226,722,608,177,613,730,632,194,35,84,541,111,985,263,104,924,604,836,202,202,624,534,176,55,885,248,270,608,281,77,156,624
"SYVN1",90,949,783,41,934,99,495,855,647,473,221,798,70,207,34,302,100,509,12,0,453,258,554,302,638,348,59,453,922,245,715,601,543,51,546,45,198,150,909,755,161,417,268,97,365,52,751,988,336,314,442,450,938,966,476,691,366,311
"DNAJB11",357,988,544,821,912,520,274,280,307,71,290,873,318,898,405,640,653,228,341,453,0,642,194,44,35,161,688,66,742,851,985,74,81,680,917,754,413,201,814,542,102,918,223,267,789,832,582,323,56,967,461,492,702,117,327,881,335,795
"EXTL1",169,124,404,852,757,194,372,210,566,80,920,101,248,397,578,845,895,2,635,258,642,0,107,450,960,34,738,1,205,168,829,646,969,772,256,214,980,234,756,972,886,979,981,196,506,208,669,767,812,131,220,672,200,281,410,22,625,876
"ATP6V0D1",888,975,702,657,750,42,605,993,231,205,553,540,491,665,262,616,218,999,608,554,194,107,0,327,796,195,243,154,264,268,725,71,796,272,706,44,14,483,212,954,510,522,206,77,103,58,54,300,32,557,827,494,971,172,720,125,111,258
"HDGF",153,394,164,829,613,195,253,318,800,893,335,221,512,668,266,348,23,512,674,302,44,450,327,0,416,178,982,96,555,787,408,987,246,69,77,100,236,121,270,559,406,162,76,32,34,78,922,453,562,503,525,39,137,530,884,858,893,949
"EXTL2",978,6,503,973,967,53,105,131,363,40,49,56,16,236,610,274,253,811,802,638,35,960,796,416,0,476,906,564,470,740,11,554,810,359,911,609,922,654,55,850,661,624,502,671,103,168,395,114,383,41,364,327,415,227,692,49,529,64
"CTDSP2",978,23,772,483,368,358,554,224,934,192,124,3,976,61,143,207,106,592,961,348,161,34,195,178,476,0,660,600,542,112,314,501,275,789,446,75,580,301,8,864,727,2,379,875,44,41,442,566,130,88,143,48,291,534,940,7,463,418
"DDIT3",66,610,198,159,65,52,843,691,94,541,53,231,4,72,16,39,48,916,226,59,688,738,243,982,906,660,0,467,747,819,636,878,464,50,140,172,20,66,802,93,969,697,128,325,813,158,968,885,445,959,569,909,571,230,197,342,208,442
"SHC1",32,7,643,585,673,512,418,104,816,196,456,528,769,815,88,315,578,585,722,453,66,1,154,96,564,600,467,0,5,834,683,163,472,229,605,332,74,365,120,378,948,418,776,235,29,219,368,484,809,627,845,146,588,296,536,386,896,542
"TSPYL2",657,202,316,36,964,876,249,279,782,897,541,676,207,592,576,184,158,714,608,922,742,205,264,555,470,542,747,5,0,685,842,61,929,991,179,648,340,19,444,250,713,915,307,724,742,403,774,815,453,135,668,389,482,901,762,698,308,782
"TPP1",25,942,946,211,644,240,164,850,165,166,35,469,43,804,14,9,499,165,177,245,851,168,268,787,740,112,819,834,685,0,329,452,572,19,850,785,5,178,907,490,849,673,51,432,569,510,736,914,445,785,454,912,795,888,464,523,815,513
"PDIA5",285,34,877,175,791,531,467,355,673,232,471,395,342,828,511,885,623,47,613,715,985,829,725,408,11,314,636,683,842,329,0,291,623,366,736,865,142,109,371,640,392,809,645,510,80,767,442,69,818,782,395,813,65,350,176,515,885,57
"EXTL3",763,213,606,993,759,997,598,528,190,447,766,245,134,678,265,639,923,576,730,601,74,646,71,987,554,501,878,163,61,452,291,0,683,810,796,883,914,665,517,821,654,909,821,969,926,933,792,621,782,395,88,240,400,309,917,529,996,702
"ARFGAP1",64,86,996,838,910,753,626,140,828,709,559,617,71,494,35,634,323,701,632,543,81,969,796,246,810,275,464,472,929,572,623,683,0,288,622,635,652,377,569,146,415,240,78,424,803,910,412,537,410,478,141,656,895,368,472,261,958,628
"DNAJB9",124,137,759,457,559,16,807,237,469,166,806,196,686,61,614,480,270,451,194,51,680,772,272,69,359,789,50,229,991,19,366,810,288,0,450,394,964,37,343,462,948,345,49,886,463,164,699,41,831,149,794,619,35,426,637,101,81,458
"SULT1A3",658,778,828,121,607,314,669,966,495,899,854,804,962,906,583,537,298,580,35,546,917,256,706,77,911,446,140,605,179,850,736,796,622,450,0,323,73,35,495,441,352,907,633,435,88,693,292,846,704,680,26,695,304,635,276,993,504,40
"DNAJC3",371,834,859,344,531,322,419,904,908,627,70,536,373,293,616,856,217,505,84,45,754,214,44,100,609,75,172,332,648,785,865,883,635,394,323,0,312,86,802,187,74,265,295,79,729,908,295,217,178,600,340,695,642,759,201,535,267,990
"SERP1",521,521,235,104,163,0,889,328,850,760,555,149,389,76,86,29,219,835,541,198,413,980,14,236,922,580,20,74,340,5,142,914,652,964,73,312,0,268,624,112,388,128,332,936,110,40,479,683,252,87,587,609,379,570,622,71,245,741
"IGFBP1",449,297,917,987,46,747,674,769,888,249,128,149,129,97,372,460,127,350,111,150,201,234,483,121,654,301,66,365,19,178,109,665,377,37,35,86,268,0,644,431,649,801,443,998,829,995,84,444,654,434,624,889,539,926,180,82,810,515
"YIF1A",18,368,149,604,737,572,27,410,120,15,399,425,315,517,161,243,454,436,985,909,814,756,212,270,55,8,802,120,444,907,371,517,569,343,495,802,624,644,0,184,739,551,73,741,541,781,566,274,612,758,242,811,541,350,605,861,608,881
"ZBTB17",851,837,539,675,915,997,956,388,8,460,401,803,84,973,413,273,954,542,263,755,542,972,954,559,850,864,93,378,250,490,640,821,146,462,441,187,112,431,184,0,928,771,907,875,713,703,673,958,489,695,393,750,733,927,688,501,879,226
"LMNA",723,543,177,627,369,232,972,804,655,305,644,140,719,963,259,750,121,549,104,161,102,886,510,406,661,727,969,948,713,849,392,654,415,948,352,74,388,649,739,928,0,53,749,115,201,71,231,674,674,638,864,912,398,421,292,349,371,55
"WFS1",151,842,340,918,731,610,314,894,778,150,274,725,20,349,756,432,973,702,924,417,918,979,522,162,624,2,697,418,915,673,809,909,240,345,907,265,128,801,551,771,53,0,319,683,943,819,308,765,801,346,165,392,797,506,440,267,196,525
"KDELR3",1,33,330,563,31,459,997,345,88,91,16,677,75,125,1,913,4,847,604,268,223,981,206,76,502,379,128,776,307,51,645,821,78,49,633,295,332,443,73,907,749,319,0,61,696,758,720,365,923,405,849,872,758,707,218,450,48,996
"CXCL8",869,163,302,400,842,67,873,201,755,820,557,289,623,276,360,888,598,859,836,97,267,196,77,32,671,875,325,235,724,432,510,969,424,886,435,79,936,998,741,875,115,683,61,0,286,40,384,757,348,261,778,140,528,382,662,87,189,146
"CALR",111,211,871,116,691,299,278,236,630,24,155,229,269,872,166,595,693,306,202,365,789,506,103,34,103,44,813,29,742,569,80,926,803,463,88,729,110,829,541,713,201,943,696,286,0,484,589,793,151,245,892,226,930,748,315,957,428,654
"HYOU1",21,669,737,756,295,778,332,401,714,8,110,529,47,341,291,727,181,599,202,52,832,208,58,78,168,41,158,219,403,510,767,933,910,164,693,908,40,995,781,703,71,819,758,40,484,0,874,813,81,366,800,500,896,770,40,372,555,600
"GSK3A",133,923,218,417,901,801,530,50,505,824,655,62,336,840,685,743,424,622,624,751,582,669,54,922,395,442,968,368,774,736,442,792,412,699,292,295,479,84,566,673,231,308,720,384,589,874,0,760,575,448,655,388,443,834,114,429,994,728
"ASNS",295,938,449,863,751,959,915,63,509,949,723,697,27,779,528,275,246,261,534,988,323,767,300,453,114,566,885,484,815,914,69,621,537,41,846,217,683,444,274,958,674,765,365,757,793,813,760,0,159,395,754,993,201,585,239,979,750,887
"PREB",650,29,871,624,234,228,956,415,168,37,260,645,907,947,137,467,310,931,176,336,56,812,32,562,383,130,445,809,453,445,818,782,410,831,704,178,252,654,612,489,674,801,923,348,151,81,575,159,0,815,528,231,887,259,104,302,509,723
"SSR1",62,31,696,458,677,462,881,135,758,146,228,485,220,908,73,930,407,182,55,314,967,131,557,503,41,88,959,627,135,785,782,395,478,149,680,600,87,434,758,695,638,346,405,261,245,366,448,395,815,0,844,715,933,646,591,791,906,992
"CXXC1",597,121,374,772,754,267,180,744,682,370,592,970,684,588,268,445,879,471,885,442,461,220,827,525,364,143,569,845,668,454,395,88,141,794,26,340,587,624,242,393,864,165,849,778,892,800,655,754,528,844,0,776,402,509,121,586,552,746
