"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,43,350,44,920,746,288,797,35,173,576,635,422,316,44,155,359,149,729,414,188,1,994,302,468,974,219,515,513,272,114,40,291,750,877,54,0,508,302,164,816,528,771,577,446,716,351,492,517,490,904,393,202,668,604,695,165,117
"FKBP14",43,0,205,527,867,924,742,491,31,661,253,709,852,734,978,966,454,176,486,220,609,458,355,822,422,875,234,521,939,754,176,830,306,600,164,545,10,363,520,125,693,801,518,127,45,524,266,802,534,459,632,857,486,749,498,669,870,6
"ACADVL",350,205,0,586,241,29,505,56,739,467,157,247,298,206,81,398,79,375,652,757,4,694,894,42,624,279,15,236,568,613,168,287,843,790,382,132,370,63,219,895,596,277,439,904,79,117,498,547,485,305,464,97,639,115,682,812,273,357
"ADD1",44,527,586,0,539,260,48,718,947,278,124,87,22,401,874,817,239,893,529,387,376,396,95,602,305,731,645,716,437,631,679,680,61,101,370,843,796,616,164,384,359,99,644,691,595,932,211,368,97,247,146,168,562,653,897,0,47,499
"EDEM1",920,867,241,539,0,112,137,465,3,527,287,561,952,531,419,651,158,78,19,482,741,369,34,564,193,737,394,366,66,374,946,402,739,939,559,984,23,872,53,203,11,202,507,762,689,813,663,177,554,911,624,352,369,269,847,718,752,196
"HSP90B1",746,924,29,260,112,0,469,6,213,344,447,988,602,402,198,19,328,238,847,172,532,562,663,500,701,343,77,646,621,941,65,937,706,500,342,122,576,268,481,674,917,253,829,397,119,747,186,304,674,694,152,9,5,448,924,445,301,705
"CUL7",288,742,505,48,137,469,0,741,522,208,410,194,232,802,917,131,521,334,152,235,668,280,777,582,706,30,279,312,437,838,463,608,198,27,133,952,303,441,524,522,465,501,119,735,713,614,359,849,891,807,512,912,337,637,800,799,329,776
"WIPI1",797,491,56,718,465,6,741,0,1,762,971,728,305,434,71,139,197,13,242,739,768,378,581,680,301,983,776,263,378,821,724,754,208,19,71,362,84,194,234,11,398,7,242,965,198,130,320,493,883,585,221,122,75,454,439,912,771,308
"PLA2G4B",35,31,739,947,3,213,522,1,0,322,239,71,594,66,609,39,86,808,185,129,216,933,834,525,635,298,167,126,186,162,23,462,989,517,755,80,755,877,521,583,178,840,706,196,740,381,252,497,495,493,627,176,40,398,108,526,280,584
"TLN1",173,661,467,278,527,344,208,762,322,0,575,895,886,712,513,498,119,718,234,350,712,950,64,975,558,826,696,533,526,559,257,537,860,381,993,641,205,450,123,355,512,99,438,632,920,572,308,297,222,836,559,425,270,364,910,73,462,673
"KLHDC3",576,253,157,124,287,447,410,971,239,575,0,70,116,203,762,448,83,970,776,529,411,143,911,336,451,870,273,90,489,152,584,37,975,3,282,224,622,317,179,801,622,469,263,882,589,194,206,282,863,229,944,383,871,538,175,243,469,809
"SEC31A",635,709,247,87,561,988,194,728,71,895,70,0,347,247,670,912,322,417,931,962,345,670,616,683,123,753,494,491,153,242,879,685,266,516,317,954,60,233,145,511,820,19,572,712,159,270,129,603,149,435,897,363,274,596,949,28,450,770
"XBP1",422,852,298,22,952,602,232,305,594,886,116,347,0,239,129,857,235,433,259,813,709,719,331,386,128,625,855,491,136,856,989,797,385,602,801,241,744,21,122,274,572,333,419,624,128,515,139,732,897,716,717,389,498,362,848,341,922,907
"HERPUD1",316,734,206,401,531,402,802,434,66,712,203,247,239,0,181,830,633,40,503,567,207,439,731,250,342,756,339,995,27,612,962,337,864,812,701,800,49,637,276,24,145,262,254,578,980,477,702,580,451,276,425,19,213,857,912,349,588,621
"DCTN1",44,978,81,874,419,198,917,71,609,513,762,670,129,181,0,321,560,520,495,499,374,107,996,213,166,746,38,697,521,843,620,207,741,818,986,158,80,682,164,727,0,844,1000,248,848,162,284,71,310,685,765,6,226,680,16,595,255,209
"SRPRB",155,966,398,817,651,19,131,139,39,498,448,912,857,830,321,0,715,32,522,566,329,864,350,837,65,632,396,323,689,851,870,447,372,967,0,609,107,252,187,94,94,915,339,718,863,110,738,433,209,178,110,902,967,464,427,6,449,250
"HSPA5",359,454,79,239,158,328,521,197,86,119,83,322,235,633,560,715,0,168,73,304,563,859,761,511,603,161,761,628,936,726,939,657,506,121,46,478,613,38,547,585,865,66,916,458,543,854,698,745,838,944,659,514,822,783,588,956,789,933
"DDX11",149,176,375,893,78,238,334,13,808,718,970,417,433,40,520,32,168,0,754,650,401,572,769,493,412,251,54,110,617,217,24,113,293,864,524,237,641,472,412,180,846,488,673,39,440,679,888,544,755,49,749,126,34,330,218,182,41,307
"TATDN2",729,486,652,529,19,847,152,242,185,234,776,931,259,503,495,522,73,754,0,537,628,772,98,580,739,360,741,782,308,982,989,498,493,154,989,197,546,968,659,646,312,208,571,769,993,565,773,221,517,876,926,838,861,999,933,94,509,505
"SYVN1",414,220,757,387,482,172,235,739,129,350,529,962,813,567,499,566,304,650,537,0,815,745,553,990,944,925,183,864,732,782,201,662,290,554,701,164,522,399,180,931,468,544,180,825,562,892,993,874,398,744,821,590,814,155,717,878,737,878
"DNAJB11",188,609,4,376,741,532,668,768,216,712,411,345,709,207,374,329,563,401,628,815,0,458,546,844,284,643,711,156,684,257,872,881,751,443,6,790,283,13,904,328,541,632,924,634,509,128,990,335,467,546,545,277,473,464,780,734,315,357
"EXTL1",1,458,694,396,369,562,280,378,933,950,143,670,719,439,107,864,859,572,772,745,458,0,634,227,855,891,219,844,746,627,202,347,834,902,255,565,468,409,798,758,972,346,180,339,107,429,10,962,36,375,816,574,494,781,64,711,336,26
"ATP6V0D1",994,355,894,95,34,663,777,581,834,64,911,616,331,731,996,350,761,769,98,553,546,634,0,163,274,57,162,880,649,270,273,284,719,247,788,987,997,922,676,927,360,346,762,759,818,352,505,241,632,589,896,903,87,332,767,740,330,561
"HDGF",302,822,42,602,564,500,582,680,525,975,336,683,386,250,213,837,511,493,580,990,844,227,163,0,720,892,246,664,503,935,390,445,809,166,64,318,232,238,412,376,276,588,871,899,652,294,376,570,740,634,109,46,544,756,276,697,683,993
"EXTL2",468,422,624,305,193,701,706,301,635,558,451,123,128,342,166,65,603,412,739,944,284,855,274,720,0,972,280,445,477,265,574,606,311,912,669,942,223,71,859,932,372,194,600,456,320,148,7,613,221,878,927,376,562,407,451,868,597,761
"CTDSP2",974,875,279,731,737,343,30,983,298,826,870,753,625,756,746,632,161,251,360,925,643,891,57,892,972,0,525,325,771,414,619,312,842,336,782,245,172,852,186,317,84,910,219,732,924,832,488,276,802,837,81,952,352,185,673,751,650,298
"DDIT3",219,234,15,645,394,77,279,776,167,696,273,494,855,339,38,396,761,54,741,183,711,219,162,246,280,525,0,978,664,797,538,956,458,661,560,564,31,525,515,206,684,980,243,837,255,442,282,384,948,728,125,806,633,182,258,873,881,565
"SHC1",515,521,236,716,366,646,312,263,126,533,90,491,491,995,697,323,628,110,782,864,156,844,880,664,445,325,978,0,512,498,530,722,677,253,885,558,60,912,571,235,651,319,636,359,442,905,671,334,718,862,352,878,111,320,252,518,532,241
"TSPYL2",513,939,568,437,66,621,437,378,186,526,489,153,136,27,521,689,936,617,308,732,684,746,649,503,477,771,664,512,0,580,414,812,921,265,292,799,365,671,364,438,455,1000,598,395,574,447,396,362,855,856,803,979,102,437,559,511,791,189
"TPP1",272,754,613,631,374,941,838,821,162,559,152,242,856,612,843,851,726,217,982,782,257,627,270,935,265,414,797,498,580,0,517,339,187,749,708,468,261,703,431,741,893,202,881,793,269,746,453,770,140,1000,528,895,351,480,195,226,109,207
"PDIA5",114,176,168,679,946,65,463,724,23,257,584,879,989,962,620,870,939,24,989,201,872,202,273,390,574,619,538,530,414,517,0,841,86,671,208,894,555,18,817,3,55,856,921,5,92,59,691,166,765,787,170,702,176,559,928,406,683,160
"EXTL3",40,830,287,680,402,937,608,754,462,537,37,685,797,337,207,447,657,113,498,662,881,347,284,445,606,312,956,722,812,339,841,0,303,914,116,804,192,191,698,714,640,619,264,46,373,631,84,452,301,735,894,539,611,150,780,692,664,287
"ARFGAP1",291,306,843,61,739,706,198,208,989,860,975,266,385,864,741,372,506,293,493,290,751,834,719,809,311,842,458,677,921,187,86,303,0,311,790,387,706,517,817,464,261,70,262,449,506,987,156,930,274,366,665,436,188,533,959,423,512,654
"DNAJB9",750,600,790,101,939,500,27,19,517,381,3,516,602,812,818,967,121,864,154,554,443,902,247,166,912,336,661,253,265,749,671,914,311,0,833,327,124,370,290,956,23,306,133,794,255,358,59,91,103,171,986,31,861,148,228,206,995,930
"SULT1A3",877,164,382,370,559,342,133,71,755,993,282,317,801,701,986,0,46,524,989,701,6,255,788,64,669,782,560,885,292,708,208,116,790,833,0,15,355,76,266,853,770,864,722,344,175,605,576,194,882,877,636,110,865,387,659,969,184,161
"DNAJC3",54,545,132,843,984,122,952,362,80,641,224,954,241,800,158,609,478,237,197,164,790,565,987,318,942,245,564,558,799,468,894,804,387,327,15,0,305,292,73,157,958,223,311,119,85,349,132,578,142,846,369,607,714,165,760,187,797,546
"SERP1",0,10,370,796,23,576,303,84,755,205,622,60,744,49,80,107,613,641,546,522,283,468,997,232,223,172,31,60,365,261,555,192,706,124,355,305,0,66,566,865,2,708,294,536,883,156,924,329,696,418,677,775,151,764,122,924,360,554
"IGFBP1",508,363,63,616,872,268,441,194,877,450,317,233,21,637,682,252,38,472,968,399,13,409,922,238,71,852,525,912,671,703,18,191,517,370,76,292,66,0,464,160,917,565,603,207,2,248,0,508,789,138,838,340,992,156,916,546,720,502
"YIF1A",302,520,219,164,53,481,524,234,521,123,179,145,122,276,164,187,547,412,659,180,904,798,676,412,859,186,515,571,364,431,817,698,817,290,266,73,566,464,0,579,595,951,670,373,365,179,110,830,786,831,910,960,12,350,593,582,418,798
"ZBTB17",164,125,895,384,203,674,522,11,583,355,801,511,274,24,727,94,585,180,646,931,328,758,927,376,932,317,206,235,438,741,3,714,464,956,853,157,865,160,579,0,678,837,968,77,637,66,635,312,219,214,804,47,79,838,76,292,282,442
"LMNA",816,693,596,359,11,917,465,398,178,512,622,820,572,145,0,94,865,846,312,468,541,972,360,276,372,84,684,651,455,893,55,640,261,23,770,958,2,917,595,678,0,207,859,204,399,338,240,532,774,729,922,434,993,65,974,338,178,740
"WFS1",528,801,277,99,202,253,501,7,840,99,469,19,333,262,844,915,66,488,208,544,632,346,346,588,194,910,980,319,1000,202,856,619,70,306,864,223,708,565,951,837,207,0,14,60,780,603,396,165,586,623,494,638,779,78,894,301,891,321
"KDELR3",771,518,439,644,507,829,119,242,706,438,263,572,419,254,1000,339,916,673,571,180,924,180,762,871,600,219,243,636,598,881,921,264,262,133,722,311,294,603,670,968,859,14,0,565,204,970,719,541,239,366,825,13,293,274,217,121,62,308
"CXCL8",577,127,904,691,762,397,735,965,196,632,882,712,624,578,248,718,458,39,769,825,634,339,759,899,456,732,837,359,395,793,5,46,449,794,344,119,536,207,373,77,204,60,565,0,550,249,90,812,947,547,891,385,217,565,414,700,345,419
"CALR",446,45,79,595,689,119,713,198,740,920,589,159,128,980,848,863,543,440,993,562,509,107,818,652,320,924,255,442,574,269,92,373,506,255,175,85,883,2,365,637,399,780,204,550,0,994,448,471,465,246,314,987,313,714,71,630,746,452
"HYOU1",716,524,117,932,813,747,614,130,381,572,194,270,515,477,162,110,854,679,565,892,128,429,352,294,148,832,442,905,447,746,59,631,987,358,605,349,156,248,179,66,338,603,970,249,994,0,787,134,304,794,906,418,150,795,328,661,353,432
