"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,801,209,624,644,211,45,538,334,484,333,983,779,756,497,323,141,670,127,64,675,177,30,967,592,846,652,241,335,885,577,581,593,746,921,711,174,492,560,554,124,973,940,111,910,339,987,212,122,625,6,371,447,948,63,880,371,815
"FKBP14",801,0,118,183,939,44,51,690,15,752,42,95,655,425,43,90,51,900,96,190,389,497,10,417,245,60,100,178,37,99,868,0,160,13,429,2,253,287,39,959,653,10,964,37,26,141,22,189,116,380,7,3,18,27,309,247,866,927
"ACADVL",209,118,0,572,19,612,380,75,847,120,838,72,471,428,389,484,114,35,48,356,19,32,104,25,29,77,786,40,899,43,6,242,800,635,15,122,20,277,727,195,10,437,12,170,31,264,639,398,27,506,627,234,122,504,326,129,25,113
"ADD1",624,183,572,0,130,28,294,161,378,8,26,333,14,533,7,520,127,262,288,224,38,17,1,121,340,569,106,132,21,249,37,351,19,721,132,605,35,798,28,119,0,121,54,937,20,137,894,215,1,311,13,67,33,660,85,161,234,176
"EDEM1",644,939,19,130,0,18,546,411,21,230,348,605,699,98,11,704,599,279,53,2,396,87,37,593,773,321,64,114,5,11,159,4,192,112,57,24,884,43,199,439,531,10,337,107,79,310,27,12,4,355,3,21,86,1,80,483,850,502
"HSP90B1",211,44,612,28,18,0,563,79,99,478,59,237,33,861,0,652,218,568,14,523,1,606,93,32,0,198,711,9,442,412,456,14,715,648,1,3,17,6,269,255,248,50,191,86,0,418,201,503,0,419,59,90,249,169,767,195,21,166
"CUL7",45,51,380,294,546,563,0,956,291,93,38,236,292,993,53,684,89,330,1,333,18,189,3,0,5,4,198,5,685,134,40,0,852,923,0,23,37,67,67,206,1,6,95,888,6,28,8,283,1,589,189,44,36,178,907,103,105,12
"WIPI1",538,690,75,161,411,79,956,0,8,112,394,777,274,521,17,829,302,207,926,105,461,522,291,538,438,856,174,163,202,239,263,36,180,806,123,102,611,2,20,273,422,39,571,613,3,778,266,326,43,969,135,2,279,194,117,745,497,517
"PLA2G4B",334,15,847,378,21,99,291,8,0,7,740,38,292,413,667,662,18,31,32,750,134,3,31,899,42,39,828,408,43,95,11,229,70,800,760,111,539,873,915,84,89,607,22,344,70,75,853,746,22,84,408,589,296,350,999,578,23,171
"TLN1",484,752,120,8,230,478,93,112,7,0,8,920,195,764,0,987,604,182,49,52,10,132,8,412,648,818,543,442,49,261,559,553,1,677,176,999,130,802,5,41,9,36,238,591,2,119,157,744,129,814,49,14,370,726,149,854,705,797
