"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,494,881,335,380,90,628,996,291,174,211,284,253,876,13,914,164,84,488,315,146,389,391,573,83,182,791,611,754,654,109,23,285,99,845,40,961,378,918,330,393,231,461,313,213,827,21,522,954,230,387,199,374,666,323,283,762,421
"FKBP14",494,0,150,700,483,895,44,957,421,639,781,47,643,13,595,38,72,807,564,146,80,821,42,452,871,873,108,218,540,272,491,486,818,66,370,16,979,179,327,290,448,41,942,290,653,286,901,909,454,16,422,734,573,19,120,100,26,525
"ACADVL",881,150,0,543,136,19,541,36,564,756,548,179,445,868,294,682,217,108,725,368,10,85,800,886,503,488,530,860,794,440,918,583,229,971,913,393,980,2,865,117,364,960,689,284,427,60,7,629,330,489,182,294,127,225,767,516,888,654
"ADD1",335,700,543,0,431,694,675,82,669,705,15,219,762,726,494,474,927,404,670,783,388,678,886,890,747,570,387,120,481,242,861,754,398,636,905,379,765,355,477,465,975,698,865,307,288,838,305,226,644,716,640,464,680,724,446,520,593,423
"EDEM1",380,483,136,431,0,350,62,537,237,947,518,577,182,121,950,130,333,969,633,729,503,247,76,63,118,59,140,617,601,241,920,958,972,91,370,555,625,4,525,737,598,407,660,374,895,985,525,953,92,43,408,618,531,35,345,348,204,588
"HSP90B1",90,895,19,694,350,0,444,140,820,113,615,988,931,540,821,968,945,258,151,878,423,156,656,628,296,484,425,869,338,570,132,58,637,421,847,481,782,930,535,239,14,513,174,318,389,697,944,105,434,501,814,471,305,854,67,899,784,225
"CUL7",628,44,541,675,62,444,0,511,63,314,385,502,598,953,617,29,319,581,626,582,13,29,185,983,578,311,136,948,221,911,185,428,486,383,13,574,52,62,582,746,440,265,839,304,575,289,364,532,687,109,803,856,942,271,131,87,429,73
"WIPI1",996,957,36,82,537,140,511,0,835,578,282,840,161,377,381,519,821,955,523,416,608,500,629,875,213,806,166,926,215,602,794,723,494,353,597,943,873,666,349,153,786,931,34,298,903,617,700,785,645,165,139,406,924,556,812,770,331,141
"PLA2G4B",291,421,564,669,237,820,63,835,0,323,328,27,573,654,783,945,847,403,977,54,746,855,825,279,249,758,455,333,957,752,795,718,729,961,422,652,975,373,874,677,602,591,90,262,681,219,110,412,781,925,572,220,676,718,662,203,519,273
"TLN1",174,639,756,705,947,113,314,578,323,0,143,500,575,501,605,821,121,711,676,385,599,668,609,750,541,374,204,106,433,453,743,451,913,286,186,57,802,36,471,494,254,467,651,41,218,136,116,914,675,886,347,502,985,593,820,613,664,427
