"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,97,657,342,3,182,311,666,784,539,653,25,142,992,95,31,132,41,1,110,35,981,860,2,690,3,81,1,77,68,683,48,18,25,62,171,383,3,540,122,748,837,972,35,921,154,387,2,385,242,108,552,0,49,3,74,209,725
"FKBP14",97,0,727,376,28,899,33,550,901,25,850,19,12,39,48,751,773,146,321,124,491,844,599,10,5,0,608,0,1,33,671,0,606,7,867,41,892,574,7,849,197,45,476,45,197,595,269,134,493,281,661,119,28,7,911,112,914,476
"ACADVL",657,727,0,28,62,125,637,219,1,75,512,338,75,30,136,14,56,18,905,148,990,236,934,370,34,732,19,867,3,30,2,538,0,2,1,0,247,5,564,0,74,791,843,147,102,12,610,241,658,10,0,324,162,633,300,2,11,862
"ADD1",342,376,28,0,3,25,49,830,1,81,488,3,0,845,457,106,18,64,687,21,880,391,67,131,330,923,1,611,141,51,0,821,47,10,8,1,36,179,303,97,115,493,801,111,107,0,10,290,376,0,8,139,275,607,457,5,5,900
"EDEM1",3,28,62,3,0,341,823,609,542,304,114,90,34,906,0,608,571,34,29,945,101,850,3,575,9,48,216,514,655,471,421,14,32,260,874,765,527,712,0,146,854,13,956,3,31,812,382,29,22,676,110,3,924,225,787,670,219,15
"HSP90B1",182,899,125,25,341,0,948,76,432,89,405,948,819,684,0,148,51,62,165,98,22,190,13,622,18,836,128,46,16,896,29,787,63,362,143,787,134,85,353,37,89,80,500,812,263,303,641,4,197,574,892,504,116,423,349,737,16,640
"CUL7",311,33,637,49,823,948,0,701,23,551,589,96,163,284,1,334,774,6,384,68,767,541,100,272,3,245,695,880,156,225,605,140,20,96,554,252,133,665,6,2,423,602,281,7,109,738,83,127,605,333,217,51,447,187,634,701,901,576
"WIPI1",666,550,219,830,609,76,701,0,614,875,693,428,697,715,6,630,370,9,672,976,501,677,252,367,381,244,845,822,596,556,811,67,394,567,787,603,847,694,1,235,180,118,112,869,459,449,571,961,22,653,642,160,92,721,155,865,514,795
"PLA2G4B",784,901,1,1,542,432,23,614,0,218,780,339,293,26,43,96,57,783,934,45,400,136,482,217,274,365,30,971,129,57,28,877,378,259,5,33,74,20,571,5,8,898,80,759,605,6,232,609,561,394,48,829,959,62,829,10,69,621
"TLN1",539,25,75,81,304,89,551,875,218,0,884,137,970,945,622,439,140,0,4,253,337,463,582,739,145,531,12,834,65,467,47,87,755,840,181,841,444,949,320,289,894,250,532,256,0,332,731,709,214,220,99,0,2,702,616,81,330,717
