"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,273,70,23,244,618,647,959,955,6,467,634,282,59,840,418,661,793,864,985,66,223,117,451,985,637,256,47,367,70,70,711,426,883,27,368,952,3,888,592,39,276,72,840,282,228,384,662,156,782,330,680,88,865,131,777,888,815
"FKBP14",273,0,697,297,563,37,773,409,250,70,452,990,403,276,539,109,268,585,266,281,119,358,486,554,385,968,610,448,534,244,153,165,396,647,744,100,574,459,622,614,334,561,61,783,15,10,245,782,826,242,634,62,397,252,730,850,129,44
"ACADVL",70,697,0,39,555,285,588,573,712,260,919,816,949,380,329,805,994,967,468,169,366,575,264,688,74,415,974,876,942,883,814,685,855,107,564,156,969,362,764,962,102,801,622,98,403,613,138,760,202,642,668,233,662,884,493,361,448,811
"ADD1",23,297,39,0,933,855,653,724,214,86,551,442,589,328,873,780,890,891,578,925,707,574,134,830,135,394,820,538,601,137,250,725,945,144,105,716,514,724,584,516,847,842,43,530,804,537,708,517,800,718,243,145,113,640,943,358,867,719
"EDEM1",244,563,555,933,0,459,573,654,13,739,239,546,588,853,806,313,77,194,890,234,400,289,876,299,722,704,915,584,565,293,318,958,195,665,935,376,711,233,424,583,572,612,46,773,61,49,67,877,171,404,670,107,602,208,735,648,51,133
"HSP90B1",618,37,285,855,459,0,687,955,84,731,479,611,883,884,976,333,639,721,154,602,947,951,847,437,730,691,865,525,733,535,416,796,242,493,931,338,840,487,172,766,977,333,262,718,233,492,420,734,267,488,666,315,627,631,329,494,784,258
"CUL7",647,773,588,653,573,687,0,244,880,84,312,510,926,270,794,494,976,109,526,367,829,692,701,186,373,982,266,201,959,802,250,15,998,394,228,497,934,1000,665,668,154,86,698,329,561,744,908,663,504,747,22,19,322,852,870,146,834,51
"WIPI1",959,409,573,724,654,955,244,0,78,617,611,874,580,691,462,226,242,73,386,626,366,632,252,811,668,992,414,108,692,965,585,173,156,148,177,336,680,161,342,113,183,349,506,446,763,913,913,453,386,695,180,251,424,993,347,478,492,279
"PLA2G4B",955,250,712,214,13,84,880,78,0,32,751,971,962,201,805,586,820,784,294,483,113,912,413,403,796,323,123,381,780,473,267,399,114,256,444,92,923,365,298,942,81,816,498,884,33,34,122,635,165,903,865,780,319,848,891,192,587,845
"TLN1",6,70,260,86,739,731,84,617,32,0,215,30,634,193,568,996,73,475,678,584,301,1,266,162,41,344,616,62,108,744,747,370,574,393,449,569,50,488,133,866,676,633,304,361,623,842,822,652,341,411,278,204,371,218,542,939,310,422
