"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,699,536,380,29,917,247,42,282,121,467,215,36,567,219,540,269,949,31,582,14,385,168,221,634,984,67,267,64,187,45,440,918,627,278,541,978,651,286,334,45,223,106,275,960,84,758,1000,124,326,762,24,515,829,100,754,354,578
"FKBP14",699,0,960,469,21,311,919,336,156,126,625,148,765,111,67,60,10,514,51,621,202,934,512,508,353,426,504,268,2,49,0,789,779,144,919,0,45,825,558,78,962,192,872,905,848,35,706,523,376,107,245,246,864,393,283,921,898,363
"ACADVL",536,960,0,719,21,131,829,894,436,672,46,840,52,295,14,660,314,523,323,529,127,523,673,607,789,629,56,254,7,30,324,494,852,259,552,175,158,959,250,672,324,314,937,867,535,9,241,987,53,444,579,711,888,208,958,883,117,439
"ADD1",380,469,719,0,663,362,876,942,872,350,791,504,67,805,64,923,105,597,217,590,320,613,443,379,762,761,521,824,798,775,296,406,699,724,227,201,387,253,38,862,389,922,118,335,521,471,227,435,927,118,609,109,221,721,31,584,547,509
"EDEM1",29,21,21,663,0,241,356,143,32,470,112,755,202,0,93,827,464,893,953,124,499,690,317,563,732,149,339,431,716,69,906,988,790,260,555,92,117,772,618,9,689,443,452,917,915,22,845,587,82,133,867,684,963,29,655,648,223,638
"HSP90B1",917,311,131,362,241,0,604,585,859,60,984,0,357,139,81,14,236,401,49,450,185,644,877,620,94,0,283,99,14,799,3,759,883,2,659,32,48,805,458,46,133,27,180,39,202,137,246,480,810,65,486,305,148,236,314,9,709,49
"CUL7",247,919,829,876,356,604,0,45,610,808,780,5,0,217,336,804,462,789,632,543,153,488,85,930,57,810,418,43,1,111,91,95,325,527,332,843,855,797,172,1,72,33,509,224,302,814,59,970,429,903,152,17,992,619,4,523,778,197
"WIPI1",42,336,894,942,143,585,45,0,110,6,87,554,14,39,75,188,281,212,164,896,476,205,73,623,714,681,177,688,729,372,0,588,163,689,495,261,983,702,69,330,907,933,42,831,572,524,433,33,784,602,444,322,906,948,391,503,914,39
"PLA2G4B",282,156,436,872,32,859,610,110,0,430,196,315,182,107,26,870,357,561,328,312,267,733,163,334,870,284,681,181,535,11,266,168,530,56,325,18,693,289,689,19,298,605,397,600,263,134,482,414,12,562,469,998,415,275,472,45,260,458
"TLN1",121,126,672,350,470,60,808,6,430,0,218,388,846,379,705,260,176,647,574,208,82,115,774,668,716,889,16,307,419,248,190,30,7,22,608,28,200,36,951,480,405,257,110,158,503,78,64,512,22,276,700,145,3,387,315,107,51,717
"KLHDC3",467,625,46,791,112,984,780,87,196,218,0,660,185,641,249,916,394,683,30,674,373,201,57,973,460,251,34,286,74,73,572,941,942,743,575,939,684,274,282,221,225,217,930,914,472,184,746,530,210,492,755,814,276,952,1,572,274,893
