"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,723,382,36,917,785,927,140,604,19,891,117,923,210,55,900,121,494,337,288,129,329,73,539,810,271,458,641,613,97,611,407,67,966,237,316,207,832,182,506,253,825,456,638,89,729,479,506,417,671,984,122,270,233,475,231,309,839
"FKBP14",723,0,506,3,377,174,710,942,317,283,303,810,580,358,649,412,767,348,204,588,546,228,686,969,120,768,648,802,289,542,63,558,534,4,639,450,822,317,982,650,920,172,150,13,657,339,129,218,67,301,501,414,530,994,232,269,158,790
"ACADVL",382,506,0,940,546,263,269,265,915,185,271,415,65,501,787,137,26,308,143,720,172,360,51,300,508,106,321,593,247,548,797,869,548,507,414,103,873,881,993,954,810,472,11,1000,620,302,660,969,407,489,25,267,268,458,845,291,289,715
"ADD1",36,3,940,0,1,8,31,969,371,756,669,4,18,33,20,20,13,146,374,16,116,714,978,43,0,32,53,349,409,375,857,3,458,1,687,1,0,826,206,934,681,332,257,20,750,978,872,565,664,1,601,727,383,0,642,1,23,13
"EDEM1",917,377,546,1,0,634,972,407,249,263,619,517,696,699,427,546,772,374,225,720,176,51,525,686,959,847,323,518,730,484,90,412,193,28,662,465,900,566,704,441,512,104,259,182,886,666,333,520,149,157,338,615,412,974,172,450,712,927
"HSP90B1",785,174,263,8,634,0,748,326,356,240,551,621,811,816,260,394,55,411,170,330,906,22,337,928,159,390,909,221,564,173,179,560,56,910,671,328,933,632,287,563,814,129,789,325,829,59,61,460,52,537,103,66,551,825,470,767,878,999
"CUL7",927,710,269,31,972,748,0,492,171,601,509,95,812,574,694,273,986,925,487,586,662,249,689,449,696,729,662,215,613,630,466,577,689,884,638,157,600,760,734,921,804,39,789,509,517,20,27,510,393,147,89,700,697,863,723,667,645,365
"WIPI1",140,942,265,969,407,326,492,0,7,181,167,219,190,70,630,374,763,410,744,720,617,17,962,679,674,440,892,506,266,655,308,853,821,861,610,482,791,779,828,493,926,143,102,898,66,341,462,826,989,155,437,461,595,367,395,839,745,140
"PLA2G4B",604,317,915,371,249,356,171,7,0,545,443,104,987,646,563,657,456,308,167,509,339,258,190,908,441,820,106,639,724,764,481,148,185,315,520,175,275,367,683,764,642,63,625,884,53,225,679,656,248,486,621,64,841,113,753,428,293,833
"TLN1",19,283,185,756,263,240,601,181,545,0,706,719,116,310,300,261,58,798,409,98,36,563,406,218,18,344,566,173,356,145,504,462,228,933,318,28,36,325,337,348,589,463,45,568,528,71,275,101,856,157,757,992,253,714,275,219,45,442
"KLHDC3",891,303,271,669,619,551,509,167,443,706,0,147,467,307,64,84,358,808,322,727,346,950,21,615,448,758,873,618,723,765,273,272,648,407,320,61,286,758,408,284,204,180,595,355,18,59,567,876,690,238,167,817,796,850,91,171,269,284
"SEC31A",117,810,415,4,517,621,95,219,104,719,147,0,277,333,224,106,646,392,530,590,213,7,747,618,279,420,875,190,36,407,267,522,513,649,610,717,198,88,558,163,899,78,941,642,812,535,318,28,586,571,19,311,398,309,445,778,688,521
"XBP1",923,580,65,18,696,811,812,190,987,116,467,277,0,878,642,378,358,41,573,789,255,142,714,525,482,963,521,575,705,155,392,863,188,714,671,541,819,587,628,204,596,917,7,275,993,681,107,16,155,981,91,271,830,273,289,504,776,519
"HERPUD1",210,358,501,33,699,816,574,70,646,310,307,333,878,0,573,604,714,359,721,852,646,206,745,445,752,784,320,358,706,990,757,948,3,866,994,287,983,924,699,383,992,119,977,59,811,946,253,693,366,904,197,580,436,459,183,744,506,874
"DCTN1",55,649,787,20,427,260,694,630,563,300,64,224,642,573,0,997,802,843,676,461,848,905,269,778,474,391,612,965,891,574,866,460,175,681,409,761,475,539,104,195,644,68,755,360,297,794,54,418,868,572,385,982,501,976,619,477,49,645
"SRPRB",900,412,137,20,546,394,273,374,657,261,84,106,378,604,997,0,813,327,521,442,242,394,497,905,286,896,988,765,550,964,595,800,124,573,579,750,749,255,641,880,442,508,345,59,712,718,492,74,728,996,54,766,205,713,169,774,195,449
"HSPA5",121,767,26,13,772,55,986,763,456,58,358,646,358,714,802,813,0,405,58,757,132,75,724,938,905,400,753,481,269,178,257,800,557,153,954,178,330,229,742,184,440,424,315,27,971,362,29,161,78,824,64,185,276,259,89,880,747,350
"DDX11",494,348,308,146,374,411,925,410,308,798,808,392,41,359,843,327,405,0,774,438,464,496,876,916,856,924,396,693,823,163,227,899,237,607,323,544,731,966,719,719,747,91,109,652,871,314,465,570,129,281,143,899,812,730,971,223,486,742
"TATDN2",337,204,143,374,225,170,487,744,167,409,322,530,573,721,676,521,58,774,0,801,8,448,51,818,289,558,37,871,637,591,17,268,937,676,615,223,22,438,743,973,949,708,20,782,138,279,700,416,473,969,511,175,472,577,7,395,416,822
"SYVN1",288,588,720,16,720,330,586,720,509,98,727,590,789,852,461,442,757,438,801,0,261,836,425,529,429,903,503,826,461,450,994,468,638,884,647,852,591,424,482,982,884,962,370,221,492,830,841,45,716,746,176,576,615,319,19,495,812,692
"DNAJB11",129,546,172,116,176,906,662,617,339,36,346,213,255,646,848,242,132,464,8,261,0,224,674,393,72,218,383,392,418,602,737,36,76,908,897,420,218,621,973,622,341,133,695,718,340,392,74,304,240,320,258,391,440,106,958,61,333,595
"EXTL1",329,228,360,714,51,22,249,17,258,563,950,7,142,206,905,394,75,496,448,836,224,0,756,437,201,571,168,349,414,92,160,904,474,11,651,55,266,795,504,344,14,239,41,176,528,130,994,976,103,115,940,784,168,83,459,163,179,115
"ATP6V0D1",73,686,51,978,525,337,689,962,190,406,21,747,714,745,269,497,724,876,51,425,674,756,0,54,831,921,148,702,708,617,763,143,811,341,622,942,610,122,792,491,269,380,672,826,887,954,422,379,525,881,442,712,527,382,352,682,877,422
"HDGF",539,969,300,43,686,928,449,679,908,218,615,618,525,445,778,905,938,916,818,529,393,437,54,0,663,343,685,755,841,275,112,27,767,58,303,871,285,868,943,832,809,851,12,250,734,177,644,282,507,794,666,424,760,139,337,996,565,918
"EXTL2",810,120,508,0,959,159,696,674,441,18,448,279,482,752,474,286,905,856,289,429,72,201,831,663,0,690,218,210,612,273,230,136,61,59,149,367,230,279,522,550,537,11,606,380,618,141,90,674,107,852,61,413,282,496,755,963,696,704
"CTDSP2",271,768,106,32,847,390,729,440,820,344,758,420,963,784,391,896,400,924,558,903,218,571,921,343,690,0,49,387,848,342,255,110,614,911,157,160,401,527,700,490,832,87,87,413,192,303,867,897,439,977,681,378,93,985,231,422,772,500
"DDIT3",458,648,321,53,323,909,662,892,106,566,873,875,521,320,612,988,753,396,37,503,383,168,148,685,218,49,0,918,673,584,480,313,83,726,648,865,252,947,663,106,926,70,179,826,954,879,426,743,467,925,746,173,382,402,616,500,653,472
"SHC1",641,802,593,349,518,221,215,506,639,173,618,190,575,358,965,765,481,693,871,826,392,349,702,755,210,387,918,0,577,195,39,720,908,432,520,212,311,480,300,468,856,432,266,523,549,315,990,521,441,402,416,817,339,941,975,165,83,463
"TSPYL2",613,289,247,409,730,564,613,266,724,356,723,36,705,706,891,550,269,823,637,461,418,414,708,841,612,848,673,577,0,338,780,653,448,276,876,246,348,907,877,208,466,332,23,763,190,241,351,347,563,812,893,434,980,906,919,241,584,58
"TPP1",97,542,548,375,484,173,630,655,764,145,765,407,155,990,574,964,178,163,591,450,602,92,617,275,273,342,584,195,338,0,664,883,49,126,123,186,571,125,701,704,827,443,732,85,829,243,459,232,508,224,285,293,402,339,37,648,294,338
"PDIA5",611,63,797,857,90,179,466,308,481,504,273,267,392,757,866,595,257,227,17,994,737,160,763,112,230,255,480,39,780,664,0,811,389,214,482,115,401,477,130,822,721,759,542,234,977,67,183,561,428,213,744,925,243,723,870,17,172,764
"EXTL3",407,558,869,3,412,560,577,853,148,462,272,522,863,948,460,800,800,899,268,468,36,904,143,27,136,110,313,720,653,883,811,0,232,360,784,697,899,678,698,786,930,649,59,572,641,807,696,509,298,232,147,308,35,642,90,873,897,500
"ARFGAP1",67,534,548,458,193,56,689,821,185,228,648,513,188,3,175,124,557,237,937,638,76,474,811,767,61,614,83,908,448,49,389,232,0,398,470,333,732,329,453,783,984,984,681,835,361,780,615,766,647,97,528,941,964,241,765,303,95,741
"DNAJB9",966,4,507,1,28,910,884,861,315,933,407,649,714,866,681,573,153,607,676,884,908,11,341,58,59,911,726,432,276,126,214,360,398,0,364,187,174,764,439,455,909,18,975,516,725,149,389,838,276,191,115,453,647,390,322,211,572,518
"SULT1A3",237,639,414,687,662,671,638,610,520,318,320,610,671,994,409,579,954,323,615,647,897,651,622,303,149,157,648,520,876,123,482,784,470,364,0,870,138,810,612,722,42,637,606,813,641,405,143,955,468,851,127,969,341,501,195,988,678,597
"DNAJC3",316,450,103,1,465,328,157,482,175,28,61,717,541,287,761,750,178,544,223,852,420,55,942,871,367,160,865,212,246,186,115,697,333,187,870,0,913,109,310,663,210,83,680,269,665,350,49,704,269,408,0,277,931,235,152,222,321,331
"SERP1",207,822,873,0,900,933,600,791,275,36,286,198,819,983,475,749,330,731,22,591,218,266,610,285,230,401,252,311,348,571,401,899,732,174,138,913,0,937,365,86,807,141,505,685,425,193,196,31,212,985,112,69,262,976,79,543,554,174
"IGFBP1",832,317,881,826,566,632,760,779,367,325,758,88,587,924,539,255,229,966,438,424,621,795,122,868,279,527,947,480,907,125,477,678,329,764,810,109,937,0,359,846,608,422,310,562,698,601,408,978,734,573,554,884,120,774,327,403,640,970
"YIF1A",182,982,993,206,704,287,734,828,683,337,408,558,628,699,104,641,742,719,743,482,973,504,792,943,522,700,663,300,877,701,130,698,453,439,612,310,365,359,0,743,932,226,699,957,678,935,702,61,77,349,784,766,358,879,888,601,652,534
"ZBTB17",506,650,954,934,441,563,921,493,764,348,284,163,204,383,195,880,184,719,973,982,622,344,491,832,550,490,106,468,208,704,822,786,783,455,722,663,86,846,743,0,86,625,58,658,599,699,506,706,490,130,39,980,564,822,557,22,710,939
"LMNA",253,920,810,681,512,814,804,926,642,589,204,899,596,992,644,442,440,747,949,884,341,14,269,809,537,832,926,856,466,827,721,930,984,909,42,210,807,608,932,86,0,299,563,650,965,419,422,989,994,613,752,462,510,492,431,615,559,769
"WFS1",825,172,472,332,104,129,39,143,63,463,180,78,917,119,68,508,424,91,708,962,133,239,380,851,11,87,70,432,332,443,759,649,984,18,637,83,141,422,226,625,299,0,933,210,888,971,955,882,740,143,501,888,902,329,988,227,330,178
"KDELR3",456,150,11,257,259,789,789,102,625,45,595,941,7,977,755,345,315,109,20,370,695,41,672,12,606,87,179,266,23,732,542,59,681,975,606,680,505,310,699,58,563,933,0,380,350,834,33,3,433,725,430,268,141,404,164,298,274,868
"CXCL8",638,13,1000,20,182,325,509,898,884,568,355,642,275,59,360,59,27,652,782,221,718,176,826,250,380,413,826,523,763,85,234,572,835,516,813,269,685,562,957,658,650,210,380,0,581,585,535,529,680,346,285,227,628,633,575,498,468,760
"CALR",89,657,620,750,886,829,517,66,53,528,18,812,993,811,297,712,971,871,138,492,340,528,887,734,618,192,954,549,190,829,977,641,361,725,641,665,425,698,678,599,965,888,350,581,0,296,357,265,473,919,347,782,217,854,277,754,988,175
"HYOU1",729,339,302,978,666,59,20,341,225,71,59,535,681,946,794,718,362,314,279,830,392,130,954,177,141,303,879,315,241,243,67,807,780,149,405,350,193,601,935,699,419,971,834,585,296,0,430,663,101,153,221,393,496,917,682,251,52,532
"GSK3A",479,129,660,872,333,61,27,462,679,275,567,318,107,253,54,492,29,465,700,841,74,994,422,644,90,867,426,990,351,459,183,696,615,389,143,49,196,408,702,506,422,955,33,535,357,430,0,317,780,79,747,633,845,264,206,187,110,580
"ASNS",506,218,969,565,520,460,510,826,656,101,876,28,16,693,418,74,161,570,416,45,304,976,379,282,674,897,743,521,347,232,561,509,766,838,955,704,31,978,61,706,989,882,3,529,265,663,317,0,325,372,881,234,327,470,17,218,649,46
"PREB",417,67,407,664,149,52,393,989,248,856,690,586,155,366,868,728,78,129,473,716,240,103,525,507,107,439,467,441,563,508,428,298,647,276,468,269,212,734,77,490,994,740,433,680,473,101,780,325,0,292,596,277,892,824,428,39,3,662
"SSR1",671,301,489,1,157,537,147,155,486,157,238,571,981,904,572,996,824,281,969,746,320,115,881,794,852,977,925,402,812,224,213,232,97,191,851,408,985,573,349,130,613,143,725,346,919,153,79,372,292,0,12,691,585,944,136,26,683,878
"CXXC1",984,501,25,601,338,103,89,437,621,757,167,19,91,197,385,54,64,143,511,176,258,940,442,666,61,681,746,416,893,285,744,147,528,115,127,0,112,554,784,39,752,501,430,285,347,221,747,881,596,12,0,537,714,824,419,8,96,871
"MYDGF",122,414,267,727,615,66,700,461,64,992,817,311,271,580,982,766,185,899,175,576,391,784,712,424,413,378,173,817,434,293,925,308,941,453,969,277,69,884,766,980,462,888,268,227,782,393,633,234,277,691,537,0,471,514,363,197,273,45
"PPP2R5B",270,530,268,383,412,551,697,595,841,253,796,398,830,436,501,205,276,812,472,615,440,168,527,760,282,93,382,339,980,402,243,35,964,647,341,931,262,120,358,564,510,902,141,628,217,496,845,327,892,585,714,471,0,599,62,532,654,797
"GOSR2",233,994,458,0,974,825,863,367,113,714,850,309,273,459,976,713,259,730,577,319,106,83,382,139,496,985,402,941,906,339,723,642,241,390,501,235,976,774,879,822,492,329,404,633,854,917,264,470,824,944,824,514,599,0,155,706,885,861
"ATF4",475,232,845,642,172,470,723,395,753,275,91,445,289,183,619,169,89,971,7,19,958,459,352,337,755,231,616,975,919,37,870,90,765,322,195,152,79,327,888,557,431,988,164,575,277,682,206,17,428,136,419,363,62,155,0,140,368,532
"GFPT1",231,269,291,1,450,767,667,839,428,219,171,778,504,744,477,774,880,223,395,495,61,163,682,996,963,422,500,165,241,648,17,873,303,211,988,222,543,403,601,22,615,227,298,498,754,251,187,218,39,26,8,197,532,706,140,0,620,955
"PDIA6",309,158,289,23,712,878,645,745,293,45,269,688,776,506,49,195,747,486,416,812,333,179,877,565,696,772,653,83,584,294,172,897,95,572,678,321,554,640,652,710,559,330,274,468,988,52,110,649,3,683,96,273,654,885,368,620,0,475
"ATF3",839,790,715,13,927,999,365,140,833,442,284,521,519,874,645,449,350,742,822,692,595,115,422,918,704,500,472,463,58,338,764,500,741,518,597,331,174,970,534,939,769,178,868,760,175,532,580,46,662,878,871,45,797,861,532,955,475,0
