"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,715,3,219,106,104,754,9,245,567,242,656,868,853,123,785,106,16,124,85,235,131,270,641,506,514,307,546,208,680,279,102,606,376,731,988,788,667,17,174,234,51,399,868,62,122,106,172,387,29,3,195,878,394,418,749,371,557
"FKBP14",715,0,575,61,568,93,296,465,372,170,884,448,35,121,274,76,169,59,999,32,40,881,219,396,39,406,644,785,377,905,764,54,254,535,849,501,0,79,126,814,740,861,295,399,13,71,209,475,286,808,485,23,534,759,407,221,204,679
"ACADVL",3,575,0,0,592,119,157,755,731,101,732,207,780,913,44,300,15,107,805,730,36,70,595,10,226,974,418,337,118,525,655,433,182,505,383,50,673,464,414,845,338,602,943,79,242,250,702,771,311,26,269,206,627,91,828,1,4,981
"ADD1",219,61,0,0,768,27,253,125,35,2,27,942,9,113,282,94,79,167,461,130,2,192,921,153,72,1,135,709,2,701,385,0,235,927,33,609,18,805,106,897,379,1,59,317,5,104,301,980,74,96,137,3,993,384,985,484,89,982
"EDEM1",106,568,592,768,0,750,66,10,336,701,237,4,665,202,816,74,154,0,652,513,244,996,237,80,330,311,556,37,288,231,299,889,623,84,434,828,17,3,0,2,3,61,22,93,165,551,212,847,753,765,432,84,114,927,344,484,247,26
"HSP90B1",104,93,119,27,750,0,906,339,223,40,399,2,597,38,855,826,2,569,801,590,25,103,298,231,1,8,437,536,10,194,401,577,835,10,738,121,87,687,693,848,450,369,37,176,150,543,693,745,131,170,849,181,122,726,827,98,17,65
"CUL7",754,296,157,253,66,906,0,728,471,35,28,574,334,23,409,235,389,278,66,300,685,633,12,779,956,3,999,262,985,652,568,86,932,18,615,657,13,525,206,35,472,27,892,962,37,711,982,668,996,997,492,282,539,778,662,666,188,465
"WIPI1",9,465,755,125,10,339,728,0,521,179,806,988,312,935,50,60,91,634,418,210,142,204,163,21,651,101,1000,454,195,260,214,242,373,579,96,206,64,112,25,925,12,303,776,14,48,362,16,240,676,60,57,20,93,86,3,46,13,178
"PLA2G4B",245,372,731,35,336,223,471,521,0,102,393,4,301,690,296,58,538,627,134,580,211,418,55,749,334,96,380,708,654,210,687,473,768,876,536,475,151,71,25,278,148,320,187,358,28,79,867,589,17,480,430,292,610,711,959,747,503,416
"TLN1",567,170,101,2,701,40,35,179,102,0,327,644,16,776,84,297,22,32,963,510,175,6,843,7,293,8,423,692,0,859,524,0,635,774,372,928,11,6,417,126,653,1,17,96,34,29,76,589,24,55,550,8,140,254,597,48,107,317
"KLHDC3",242,884,732,27,237,399,28,806,393,327,0,306,529,22,354,743,187,825,772,221,94,307,951,592,256,152,917,107,691,876,309,495,919,71,33,443,130,488,969,867,27,498,959,838,102,917,290,852,34,629,511,366,774,938,15,473,644,169
"SEC31A",656,448,207,942,4,2,574,988,4,644,306,0,0,4,201,0,2,493,2,5,0,926,67,3,166,531,202,105,992,880,19,165,48,456,47,49,0,507,20,618,87,915,68,848,0,0,42,384,12,112,169,4,371,228,358,27,25,123
"XBP1",868,35,780,9,665,597,334,312,301,16,529,0,0,160,94,386,283,253,590,385,545,836,604,303,7,254,970,630,17,455,645,239,292,173,515,112,874,214,935,206,54,46,426,168,296,613,947,967,421,385,438,860,249,146,213,230,806,633
"HERPUD1",853,121,913,113,202,38,23,935,690,776,22,4,160,0,257,17,28,348,759,195,7,866,73,571,24,492,154,96,85,496,787,882,40,529,980,235,57,59,11,819,53,14,180,635,16,434,191,302,268,118,506,62,260,361,115,891,8,427
"DCTN1",123,274,44,282,816,855,409,50,296,84,354,201,94,257,0,873,962,685,161,125,269,175,558,928,469,6,799,229,26,648,887,5,461,568,195,282,863,200,713,924,234,1,788,645,278,968,132,786,574,736,674,706,503,304,539,287,617,582
"SRPRB",785,76,300,94,74,826,235,60,58,297,743,0,386,17,873,0,810,375,350,4,433,20,762,55,15,55,357,215,2,224,288,157,409,2,108,15,270,214,309,214,441,93,883,509,777,434,226,533,36,783,597,998,367,93,646,308,807,851
