"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,179,575,415,797,681,519,722,849,617,205,198,301,125,318,656,955,696,596,852,326,677,997,700,235,845,990,50,916,293,927,992,668,930,538,801,78,911,778,318,633,779,132,35,220,909,503,86,772,913,256,898,115,959,694,256,624,897
"FKBP14",179,0,774,761,273,194,63,258,752,415,120,671,188,50,218,53,71,5,511,752,285,391,894,251,47,385,319,721,517,767,197,99,8,150,741,795,104,639,759,520,388,466,294,671,715,10,255,889,111,476,6,822,530,94,698,4,378,425
"ACADVL",575,774,0,274,94,856,24,156,417,166,525,63,842,180,348,513,709,303,13,104,867,36,25,48,234,45,426,442,642,168,490,693,300,886,5,308,13,556,212,319,538,38,425,720,933,943,171,0,958,67,189,135,111,53,18,6,706,984
"ADD1",415,761,274,0,56,9,52,58,567,138,138,60,43,7,16,90,14,102,25,437,188,116,49,27,261,183,14,489,28,272,97,116,393,28,21,829,948,607,668,268,293,259,67,328,177,8,765,2,82,702,717,775,433,597,8,0,529,200
"EDEM1",797,273,94,56,0,770,157,48,222,889,338,867,18,961,515,546,322,287,651,418,334,584,871,612,992,984,933,997,79,253,830,285,643,684,396,516,923,21,283,656,437,977,46,426,333,113,692,804,396,369,809,226,362,880,120,88,920,829
"HSP90B1",681,194,856,9,770,0,233,519,91,259,46,612,301,751,827,363,517,632,448,998,19,112,472,535,581,83,574,38,624,560,32,6,359,657,738,801,341,105,210,526,39,12,221,478,603,226,47,698,189,495,562,476,58,159,860,509,520,459
"CUL7",519,63,24,52,157,233,0,212,75,170,704,960,3,200,601,32,0,143,579,985,356,457,724,45,967,247,138,609,126,556,484,5,470,3,755,4,645,580,469,806,136,620,120,702,839,0,934,312,86,18,973,977,217,178,177,3,175,353
"WIPI1",722,258,156,58,48,519,212,0,208,711,637,2,307,600,341,650,886,706,59,156,558,42,331,108,102,184,944,116,887,316,304,557,138,835,954,662,92,112,69,475,287,80,18,698,607,316,713,788,980,357,440,516,241,14,533,712,976,874
"PLA2G4B",849,752,417,567,222,91,75,208,0,47,610,343,487,84,932,223,157,286,70,400,121,72,61,57,805,59,621,932,555,111,766,557,384,244,9,951,987,339,769,500,544,24,435,518,346,194,488,1,739,880,768,508,66,359,3,81,610,586
"TLN1",617,415,166,138,889,259,170,711,47,0,936,457,125,557,34,622,81,233,520,759,277,166,803,596,127,235,592,494,191,410,495,466,723,171,762,22,752,452,541,414,108,159,22,218,318,7,942,857,359,672,542,740,666,609,771,360,320,581
"KLHDC3",205,120,525,138,338,46,704,637,610,936,0,614,169,814,186,7,0,157,937,789,759,623,705,756,710,627,40,68,338,753,18,8,154,12,134,99,236,174,95,78,943,61,923,561,778,28,751,109,15,529,169,236,689,327,106,13,250,236
"SEC31A",198,671,63,60,867,612,960,2,343,457,614,0,264,78,61,53,113,72,456,248,839,585,42,815,357,564,217,403,509,859,672,46,639,8,796,639,505,132,148,972,39,88,3,278,179,6,138,718,383,192,37,162,82,785,529,88,506,1000
"XBP1",301,188,842,43,18,301,3,307,487,125,169,264,0,209,348,525,961,707,15,243,401,3,118,71,30,38,252,274,476,795,945,994,84,237,86,682,42,660,308,756,698,4,548,847,472,110,89,34,257,388,55,368,247,84,25,77,131,641
"HERPUD1",125,50,180,7,961,751,200,600,84,557,814,78,209,0,438,437,763,643,606,587,745,160,188,774,24,168,239,1,78,619,750,599,344,919,913,910,129,339,219,12,37,744,5,685,706,907,869,425,308,469,545,396,597,374,111,746,282,40
"DCTN1",318,218,348,16,515,827,601,341,932,34,186,61,348,438,0,799,633,895,399,79,929,266,773,484,293,693,573,74,131,875,820,735,822,206,742,280,702,558,399,423,171,457,285,777,620,806,278,116,764,260,463,643,284,495,471,979,686,625
"SRPRB",656,53,513,90,546,363,32,650,223,622,7,53,525,437,799,0,84,77,74,618,748,103,484,114,221,134,512,312,57,753,919,490,15,365,204,603,130,492,727,50,821,137,708,502,720,134,90,192,88,248,33,592,158,31,761,730,954,206
"HSPA5",955,71,709,14,322,517,0,886,157,81,0,113,961,763,633,84,0,332,31,838,142,2,126,256,38,1,758,24,90,737,65,0,155,656,903,259,81,233,266,65,252,3,547,694,419,571,138,638,315,142,111,465,5,65,727,703,651,412
