"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,868,555,615,594,586,941,648,186,573,640,969,320,869,534,861,889,815,473,984,806,392,879,558,657,646,248,916,743,707,884,822,482,435,582,867,993,730,535,766,488,768,554,468,850,906,780,13,983,638,298,465,535,783,933,577,765,791
"FKBP14",868,0,906,662,833,876,346,8,297,312,974,347,663,323,723,474,283,272,66,920,429,313,665,844,885,202,5,216,358,483,926,579,841,481,800,328,899,309,374,856,600,450,385,903,542,240,743,24,978,211,789,762,681,807,26,937,969,474
"ACADVL",555,906,0,70,206,920,423,992,315,358,826,966,629,981,753,910,758,348,860,502,558,45,601,654,335,765,104,757,396,487,863,864,841,676,311,817,511,439,6,481,749,776,318,850,713,151,734,96,327,320,475,181,342,882,5,391,801,535
"ADD1",615,662,70,0,154,649,674,994,821,391,551,912,986,727,699,695,185,514,537,628,995,101,648,236,512,925,62,676,268,131,842,873,351,931,227,661,420,291,292,226,827,918,384,948,672,279,619,70,221,425,221,938,779,870,4,356,727,881
"EDEM1",594,833,206,154,0,802,773,77,52,75,589,441,680,29,87,148,407,463,472,979,823,300,43,439,521,21,199,862,681,261,932,745,123,50,273,72,228,752,713,193,211,122,474,295,781,597,356,33,282,50,332,243,807,31,974,143,737,278
"HSP90B1",586,876,920,649,802,0,661,857,665,191,333,368,290,847,777,946,945,952,645,439,176,6,182,97,838,477,203,92,97,436,929,532,677,942,242,309,588,162,945,981,841,981,121,690,754,50,713,8,182,310,650,487,750,543,1,299,970,181
"CUL7",941,346,423,674,773,661,0,163,131,118,226,367,498,400,460,942,898,289,117,354,694,517,160,163,199,45,34,809,940,473,149,577,448,436,63,378,49,917,201,524,417,295,650,440,931,957,413,181,19,469,450,657,925,308,193,928,469,175
"WIPI1",648,8,992,994,77,857,163,0,772,73,671,58,24,905,999,506,228,411,213,437,697,673,776,33,120,199,902,17,669,7,961,167,846,717,153,405,512,109,442,660,406,94,36,433,791,585,237,773,770,520,777,880,141,866,259,255,334,433
"PLA2G4B",186,297,315,821,52,665,131,772,0,989,294,501,869,652,700,454,212,768,253,507,690,589,852,446,377,49,357,346,211,390,371,147,780,830,552,82,316,852,225,728,573,656,661,240,478,149,543,671,919,46,812,135,874,176,22,125,441,43
"TLN1",573,312,358,391,75,191,118,73,989,0,68,465,620,501,321,820,607,633,503,554,37,985,315,761,647,754,22,892,764,425,505,760,381,805,303,504,293,917,479,90,272,586,520,435,53,111,163,1,766,109,125,559,687,906,5,226,771,253
"KLHDC3",640,974,826,551,589,333,226,671,294,68,0,939,83,590,478,896,39,415,411,247,244,50,460,199,753,926,572,670,648,729,615,995,151,915,15,709,947,731,999,452,859,755,997,568,108,146,867,179,265,524,217,523,574,990,0,407,678,564
"SEC31A",969,347,966,912,441,368,367,58,501,465,939,0,751,885,924,335,964,904,542,541,575,750,683,504,135,646,124,33,244,250,512,831,324,461,227,563,706,516,173,835,456,97,13,438,726,772,589,82,515,512,982,829,963,764,75,652,339,265
"XBP1",320,663,629,986,680,290,498,24,869,620,83,751,0,66,802,83,31,908,522,358,425,568,841,526,892,968,113,575,134,128,418,791,434,505,631,182,796,24,460,748,473,557,861,368,72,26,662,17,640,991,559,652,874,754,327,884,374,279
"HERPUD1",869,323,981,727,29,847,400,905,652,501,590,885,66,0,941,646,464,527,921,750,755,975,18,113,786,479,191,8,85,11,818,853,666,378,312,699,778,227,694,674,202,679,10,128,838,647,675,100,805,763,924,651,565,675,256,729,628,29
"DCTN1",534,723,753,699,87,777,460,999,700,321,478,924,802,941,0,639,334,683,305,836,846,23,378,731,428,900,42,859,573,246,949,391,926,592,264,790,973,953,901,413,325,811,40,519,1000,464,314,68,535,682,971,652,595,697,1,647,805,756
"SRPRB",861,474,910,695,148,946,942,506,454,820,896,335,83,646,639,0,469,961,908,754,790,830,262,138,690,935,637,103,712,99,906,475,524,982,367,789,934,274,289,694,896,815,191,582,717,514,743,277,842,937,378,364,330,431,546,493,315,470
"HSPA5",889,283,758,185,407,945,898,228,212,607,39,964,31,464,334,469,0,457,711,761,327,13,126,94,732,804,110,44,325,254,725,385,459,164,133,729,553,146,241,215,755,693,119,313,598,873,621,1,257,824,137,518,971,972,12,780,494,74
"DDX11",815,272,348,514,463,952,289,411,768,633,415,904,908,527,683,961,457,0,359,694,300,938,691,775,223,466,882,248,703,568,915,478,672,774,734,602,352,927,106,793,751,570,202,586,885,600,391,946,816,215,833,470,928,275,34,325,835,518
"TATDN2",473,66,860,537,472,645,117,213,253,503,411,542,522,921,305,908,711,359,0,552,363,770,417,406,258,149,88,543,862,727,909,530,799,632,920,985,580,530,473,436,840,567,660,827,369,325,699,7,768,18,861,952,251,834,1,128,945,339
"SYVN1",984,920,502,628,979,439,354,437,507,554,247,541,358,750,836,754,761,694,552,0,979,301,289,956,34,471,574,204,615,424,728,302,386,469,157,624,167,623,555,281,341,595,567,940,637,421,455,15,72,207,527,609,90,136,27,57,84,176
"DNAJB11",806,429,558,995,823,176,694,697,690,37,244,575,425,755,846,790,327,300,363,979,0,7,488,191,713,624,361,57,172,885,803,667,858,520,661,402,988,391,740,693,843,754,520,944,630,13,567,3,177,281,626,701,685,633,44,208,842,126
"EXTL1",392,313,45,101,300,6,517,673,589,985,50,750,568,975,23,830,13,938,770,301,7,0,993,848,140,171,11,892,872,258,371,925,579,578,61,463,784,877,164,58,327,593,837,142,9,34,597,245,446,313,142,105,622,995,34,453,82,811
"ATP6V0D1",879,665,601,648,43,182,160,776,852,315,460,683,841,18,378,262,126,691,417,289,488,993,0,2,135,923,590,24,979,14,701,849,995,243,201,748,249,116,915,828,135,190,131,346,637,293,578,87,881,897,717,917,383,497,60,860,901,227
"HDGF",558,844,654,236,439,97,163,33,446,761,199,504,526,113,731,138,94,775,406,956,191,848,2,0,649,439,0,352,18,728,507,270,565,49,634,47,708,336,24,557,784,75,162,142,37,103,263,0,507,729,940,38,719,15,55,625,146,124
"EXTL2",657,885,335,512,521,838,199,120,377,647,753,135,892,786,428,690,732,223,258,34,713,140,135,649,0,48,62,243,131,710,409,323,434,829,664,655,991,314,204,470,949,342,196,820,880,889,619,3,299,12,947,632,131,632,3,191,977,449
"CTDSP2",646,202,765,925,21,477,45,199,49,754,926,646,968,479,900,935,804,466,149,471,624,171,923,439,48,0,154,111,454,118,569,401,927,872,389,617,406,537,309,734,152,602,80,414,745,935,405,7,132,779,356,719,200,391,213,585,562,196
"DDIT3",248,5,104,62,199,203,34,902,357,22,572,124,113,191,42,637,110,882,88,574,361,11,590,0,62,154,0,6,85,153,343,239,177,665,391,651,44,622,5,36,10,296,312,162,624,711,3,395,178,86,151,20,513,44,0,112,58,40
"SHC1",916,216,757,676,862,92,809,17,346,892,670,33,575,8,859,103,44,248,543,204,57,892,24,352,243,111,6,0,1,773,457,37,436,17,853,15,980,440,192,691,799,37,813,167,58,67,362,1,713,896,432,304,14,37,63,938,226,127
"TSPYL2",743,358,396,268,681,97,940,669,211,764,648,244,134,85,573,712,325,703,862,615,172,872,979,18,131,454,85,1,0,517,316,896,78,277,581,680,495,508,821,944,112,457,21,888,842,339,630,0,697,910,820,968,473,596,1,848,134,46
"TPP1",707,483,487,131,261,436,473,7,390,425,729,250,128,11,246,99,254,568,727,424,885,258,14,728,710,118,153,773,517,0,506,526,911,28,890,60,940,831,824,994,725,13,377,541,481,158,796,241,508,29,795,985,790,26,73,30,570,301
"PDIA5",884,926,863,842,932,929,149,961,371,505,615,512,418,818,949,906,725,915,909,728,803,371,701,507,409,569,343,457,316,506,0,112,320,981,68,632,467,471,391,658,643,900,158,751,575,392,551,57,579,96,389,128,835,867,38,290,470,326
"EXTL3",822,579,864,873,745,532,577,167,147,760,995,831,791,853,391,475,385,478,530,302,667,925,849,270,323,401,239,37,896,526,112,0,773,441,354,498,149,306,397,966,278,483,191,562,729,801,591,23,194,55,515,580,848,306,4,271,286,610
"ARFGAP1",482,841,841,351,123,677,448,846,780,381,151,324,434,666,926,524,459,672,799,386,858,579,995,565,434,927,177,436,78,911,320,773,0,356,359,389,179,631,155,585,332,461,813,827,492,167,733,216,361,69,369,761,645,512,11,181,517,691
"DNAJB9",435,481,676,931,50,942,436,717,830,805,915,461,505,378,592,982,164,774,632,469,520,578,243,49,829,872,665,17,277,28,981,441,356,0,197,787,114,27,764,801,469,994,85,239,634,465,943,79,743,330,563,959,116,509,456,324,99,111
"SULT1A3",582,800,311,227,273,242,63,153,552,303,15,227,631,312,264,367,133,734,920,157,661,61,201,634,664,389,391,853,581,890,68,354,359,197,0,86,624,557,809,329,643,122,609,748,50,32,879,99,737,106,715,945,734,332,0,98,352,602
"DNAJC3",867,328,817,661,72,309,378,405,82,504,709,563,182,699,790,789,729,602,985,624,402,463,748,47,655,617,651,15,680,60,632,498,389,787,86,0,831,137,845,345,600,546,67,360,910,791,706,46,230,207,141,570,131,974,136,659,563,193
"SERP1",993,899,511,420,228,588,49,512,316,293,947,706,796,778,973,934,553,352,580,167,988,784,249,708,991,406,44,980,495,940,467,149,179,114,624,831,0,734,953,568,383,333,910,703,795,610,785,2,191,201,370,628,276,374,42,329,757,144
"IGFBP1",730,309,439,291,752,162,917,109,852,917,731,516,24,227,953,274,146,927,530,623,391,877,116,336,314,537,622,440,508,831,471,306,631,27,557,137,734,0,493,774,404,8,550,902,94,78,883,133,321,683,994,580,117,529,32,873,100,564
"YIF1A",535,374,6,292,713,945,201,442,225,479,999,173,460,694,901,289,241,106,473,555,740,164,915,24,204,309,5,192,821,824,391,397,155,764,809,845,953,493,0,566,154,530,413,631,586,31,104,85,65,548,232,509,356,928,98,710,795,440
"ZBTB17",766,856,481,226,193,981,524,660,728,90,452,835,748,674,413,694,215,793,436,281,693,58,828,557,470,734,36,691,944,994,658,966,585,801,329,345,568,774,566,0,892,716,464,797,522,91,714,7,655,113,198,703,674,836,5,231,605,311
"LMNA",488,600,749,827,211,841,417,406,573,272,859,456,473,202,325,896,755,751,840,341,843,327,135,784,949,152,10,799,112,725,643,278,332,469,643,600,383,404,154,892,0,410,657,189,389,799,688,1,27,714,596,566,178,391,473,971,687,359
"WFS1",768,450,776,918,122,981,295,94,656,586,755,97,557,679,811,815,693,570,567,595,754,593,190,75,342,602,296,37,457,13,900,483,461,994,122,546,333,8,530,716,410,0,417,535,508,117,425,26,853,743,698,853,376,805,207,488,829,159
"KDELR3",554,385,318,384,474,121,650,36,661,520,997,13,861,10,40,191,119,202,660,567,520,837,131,162,196,80,312,813,21,377,158,191,813,85,609,67,910,550,413,464,657,417,0,740,606,323,812,440,113,972,728,773,3,474,116,692,518,226
"CXCL8",468,903,850,948,295,690,440,433,240,435,568,438,368,128,519,582,313,586,827,940,944,142,346,142,820,414,162,167,888,541,751,562,827,239,748,360,703,902,631,797,189,535,740,0,309,436,829,439,980,782,764,704,359,773,500,730,903,961
"CALR",850,542,713,672,781,754,931,791,478,53,108,726,72,838,1000,717,598,885,369,637,630,9,637,37,880,745,624,58,842,481,575,729,492,634,50,910,795,94,586,522,389,508,606,309,0,202,365,68,609,781,244,453,911,986,6,522,757,100
"HYOU1",906,240,151,279,597,50,957,585,149,111,146,772,26,647,464,514,873,600,325,421,13,34,293,103,889,935,711,67,339,158,392,801,167,465,32,791,610,78,31,91,799,117,323,436,202,0,433,21,507,885,100,450,705,909,12,742,920,192
"GSK3A",780,743,734,619,356,713,413,237,543,163,867,589,662,675,314,743,621,391,699,455,567,597,578,263,619,405,3,362,630,796,551,591,733,943,879,706,785,883,104,714,688,425,812,829,365,433,0,9,187,321,767,656,646,799,0,914,676,144
"ASNS",13,24,96,70,33,8,181,773,671,1,179,82,17,100,68,277,1,946,7,15,3,245,87,0,3,7,395,1,0,241,57,23,216,79,99,46,2,133,85,7,1,26,440,439,68,21,9,0,27,22,22,53,8,6,0,38,2,10
"PREB",983,978,327,221,282,182,19,770,919,766,265,515,640,805,535,842,257,816,768,72,177,446,881,507,299,132,178,713,697,508,579,194,361,743,737,230,191,321,65,655,27,853,113,980,609,507,187,27,0,85,347,663,504,332,4,86,31,310
"SSR1",638,211,320,425,50,310,469,520,46,109,524,512,991,763,682,937,824,215,18,207,281,313,897,729,12,779,86,896,910,29,96,55,69,330,106,207,201,683,548,113,714,743,972,782,781,885,321,22,85,0,58,419,18,989,348,237,210,332
"CXXC1",298,789,475,221,332,650,450,777,812,125,217,982,559,924,971,378,137,833,861,527,626,142,717,940,947,356,151,432,820,795,389,515,369,563,715,141,370,994,232,198,596,698,728,764,244,100,767,22,347,58,0,840,597,374,6,147,279,966
"MYDGF",465,762,181,938,243,487,657,880,135,559,523,829,652,651,652,364,518,470,952,609,701,105,917,38,632,719,20,304,968,985,128,580,761,959,945,570,628,580,509,703,566,853,773,704,453,450,656,53,663,419,840,0,448,813,53,494,924,225
"PPP2R5B",535,681,342,779,807,750,925,141,874,687,574,963,874,565,595,330,971,928,251,90,685,622,383,719,131,200,513,14,473,790,835,848,645,116,734,131,276,117,356,674,178,376,3,359,911,705,646,8,504,18,597,448,0,22,6,181,249,22
"GOSR2",783,807,882,870,31,543,308,866,176,906,990,764,754,675,697,431,972,275,834,136,633,995,497,15,632,391,44,37,596,26,867,306,512,509,332,974,374,529,928,836,391,805,474,773,986,909,799,6,332,989,374,813,22,0,26,305,909,286
"ATF4",933,26,5,4,974,1,193,259,22,5,0,75,327,256,1,546,12,34,1,27,44,34,60,55,3,213,0,63,1,73,38,4,11,456,0,136,42,32,98,5,473,207,116,500,6,12,0,0,4,348,6,53,6,26,0,129,22,370
"GFPT1",577,937,391,356,143,299,928,255,125,226,407,652,884,729,647,493,780,325,128,57,208,453,860,625,191,585,112,938,848,30,290,271,181,324,98,659,329,873,710,231,971,488,692,730,522,742,914,38,86,237,147,494,181,305,129,0,553,184
