"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,909,476,262,638,708,81,576,605,692,993,902,226,312,773,917,537,277,658,697,650,24,803,473,574,346,448,793,106,805,752,566,43,517,723,959,790,198,552,381,985,640,437,113,595,994,628,265,200,834,32,967,410,366,906,325,584,835
"FKBP14",909,0,254,688,299,143,156,136,237,2,951,141,559,365,230,33,490,785,10,81,420,307,144,984,6,134,440,32,1,38,66,137,234,27,181,267,17,698,17,39,517,543,13,795,822,94,694,402,980,17,277,812,298,50,511,187,450,774
"ACADVL",476,254,0,542,718,166,628,864,552,86,905,114,525,320,150,358,311,525,745,802,745,220,57,853,210,849,796,72,2,448,615,997,505,134,502,357,391,496,17,136,175,804,14,558,850,370,778,755,517,238,18,900,203,931,511,894,614,126
"ADD1",262,688,542,0,0,290,429,108,224,51,504,155,1,844,906,703,967,2,1,464,681,79,46,396,63,38,179,200,81,430,429,205,333,317,744,311,88,699,8,699,624,954,46,24,785,512,158,986,21,20,437,52,2,10,210,175,888,603
"EDEM1",638,299,718,0,0,90,513,238,337,41,551,44,60,29,84,613,0,30,425,19,258,853,58,0,60,491,108,125,594,73,303,31,234,58,852,61,682,18,980,966,153,0,302,241,0,302,12,51,16,243,419,6,33,378,296,235,57,567
"HSP90B1",708,143,166,290,90,0,295,161,601,118,985,72,230,0,263,709,2,5,614,2,476,25,5,130,167,904,348,3,0,184,286,11,998,39,615,14,255,367,199,46,1,28,773,85,889,574,774,862,1,517,0,741,674,946,19,603,127,121
"CUL7",81,156,628,429,513,295,0,54,638,83,716,43,164,7,147,77,76,45,930,91,871,77,32,385,25,272,66,3,0,274,408,98,968,19,313,12,3,468,60,1,3,604,131,920,947,116,690,981,5,516,0,619,591,398,203,363,369,655
"WIPI1",576,136,864,108,238,161,54,0,502,70,360,435,748,90,80,96,369,606,804,42,359,888,494,899,78,123,912,151,4,214,13,81,126,214,268,931,34,253,226,185,89,466,92,892,989,606,994,228,176,192,381,876,546,633,136,201,417,11
"PLA2G4B",605,237,552,224,337,601,638,502,0,36,39,365,867,961,482,313,405,671,88,773,340,482,113,534,249,608,137,708,265,516,363,833,53,678,284,834,56,199,510,461,904,49,506,599,833,186,86,515,238,349,341,669,85,841,268,629,850,417
"TLN1",692,2,86,51,41,118,83,70,36,0,508,197,563,550,57,0,119,87,608,193,999,20,514,466,321,6,230,3,2,95,14,278,66,45,18,44,1,444,768,3,18,391,2,456,764,47,708,529,134,302,19,279,109,76,546,38,84,39
