"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,127,17,819,73,26,406,137,299,255,625,0,25,301,152,227,62,271,617,394,82,129,463,16,30,149,422,418,192,136,162,221,22,31,34,2,139,478,781,588,171,802,4,0,845,298,980,886,612,0,171,424,126,397,918,0,15,6
"FKBP14",127,0,338,6,598,217,771,50,761,715,3,95,732,787,82,247,849,979,12,505,47,172,540,122,76,54,122,753,574,681,157,561,735,503,762,690,71,863,985,65,635,406,67,26,808,218,5,408,1,103,493,429,812,252,354,66,9,17
"ACADVL",17,338,0,27,1,950,909,105,41,11,757,5,13,15,68,1,162,162,123,238,10,853,0,891,134,566,710,139,135,137,92,10,80,208,14,11,258,31,695,533,4,903,86,314,28,916,585,491,953,92,3,487,190,97,774,3,358,230
"ADD1",819,6,27,0,2,577,0,623,308,167,15,3,13,2,109,2,67,49,76,17,498,659,641,95,107,22,744,0,318,27,169,77,461,1,5,0,45,198,49,720,66,30,908,151,71,153,243,229,4,0,466,519,217,6,415,0,52,289
"EDEM1",73,598,1,2,0,752,13,2,803,492,11,253,400,423,360,639,896,200,470,254,52,214,218,185,77,1,477,38,324,131,603,942,608,108,526,526,48,568,410,21,102,575,190,26,207,398,37,749,1,76,75,778,305,47,207,921,107,4
"HSP90B1",26,217,950,577,752,0,245,654,410,4,590,614,689,90,89,318,59,812,148,431,127,125,759,263,348,629,209,361,231,147,809,69,224,182,843,447,194,882,972,26,693,135,880,239,990,285,169,476,947,854,373,264,934,979,408,17,71,563
"CUL7",406,771,909,0,13,245,0,160,840,569,432,312,46,0,485,473,426,694,275,121,0,458,0,19,888,687,664,380,321,32,349,0,683,541,218,618,279,618,260,483,959,847,767,85,12,547,587,965,614,285,25,6,113,649,14,808,618,430
"WIPI1",137,50,105,623,2,654,160,0,881,841,871,826,464,434,129,130,955,2,5,102,242,382,585,430,312,937,504,14,18,110,801,216,314,114,691,508,429,235,110,149,399,959,260,935,902,725,427,27,740,887,26,973,5,29,556,358,991,7
"PLA2G4B",299,761,41,308,803,410,840,881,0,728,257,649,1,1,535,150,855,128,983,845,9,824,25,955,463,598,246,853,279,306,375,27,529,280,239,170,12,683,114,52,356,582,730,152,561,371,669,55,706,597,48,130,301,362,32,463,700,286
"TLN1",255,715,11,167,492,4,569,841,728,0,849,951,321,124,745,708,207,233,613,288,364,821,9,4,95,221,930,590,725,61,377,50,824,617,119,137,493,912,495,806,504,762,417,399,10,12,565,950,200,470,38,475,528,932,52,614,322,142
"KLHDC3",625,3,757,15,11,590,432,871,257,849,0,615,555,693,41,152,55,686,307,936,13,907,0,769,705,851,675,270,300,111,54,3,863,57,163,16,908,414,8,121,68,29,206,968,572,143,354,637,708,745,549,0,121,138,190,144,84,41
"SEC31A",0,95,5,3,253,614,312,826,649,951,615,0,152,95,725,817,418,197,316,636,173,57,448,321,320,922,592,25,20,672,885,58,181,415,399,822,18,851,436,34,726,994,203,120,530,983,321,271,323,479,4,985,244,364,11,385,992,684
