"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,210,479,474,124,125,801,388,139,887,477,957,756,865,505,222,433,852,653,208,90,831,740,637,289,681,671,347,185,318,340,723,486,839,848,492,378,1000,940,598,541,775,40,835,518,993,380,403,453,764,86,272,290,184,11,504,986,723
"FKBP14",210,0,933,718,245,253,812,202,740,735,621,215,411,920,672,264,767,795,920,475,631,743,43,385,433,762,519,591,454,602,797,265,841,198,969,864,265,729,804,427,804,452,890,459,941,830,522,374,600,579,659,510,126,973,809,66,305,143
"ACADVL",479,933,0,353,408,787,352,708,845,705,940,206,923,32,110,705,822,787,56,263,981,740,620,205,690,146,28,997,495,300,586,233,660,286,584,438,587,910,284,325,357,776,499,590,394,458,89,289,693,223,460,860,531,725,650,39,511,570
"ADD1",474,718,353,0,8,134,619,653,107,659,375,746,322,858,89,80,205,515,302,433,75,160,603,702,420,146,844,154,359,693,716,556,269,601,813,110,342,995,575,51,562,812,350,718,829,981,952,178,977,357,373,609,617,977,55,895,794,171
"EDEM1",124,245,408,8,0,10,17,342,649,707,986,82,713,771,362,716,50,844,419,617,186,930,809,537,70,313,302,72,931,406,504,484,86,620,713,122,268,606,597,834,837,28,41,376,860,165,23,340,303,294,176,595,805,111,295,108,26,901
"HSP90B1",125,253,787,134,10,0,258,332,758,381,716,57,332,173,136,85,7,77,84,21,796,510,18,576,189,207,630,216,706,227,330,7,781,592,814,438,161,631,529,672,562,15,88,8,985,359,364,947,215,713,897,489,28,576,661,461,767,413
"CUL7",801,812,352,619,17,258,0,117,374,335,806,748,443,522,209,74,347,749,47,589,552,352,838,210,85,831,213,493,960,343,559,216,583,258,301,133,563,829,734,74,883,590,108,491,939,601,512,308,913,437,925,937,74,326,639,517,793,592
"WIPI1",388,202,708,653,342,332,117,0,368,295,785,652,874,351,602,476,834,78,424,964,392,177,440,939,167,941,187,963,96,832,202,753,59,979,896,832,760,464,868,689,225,797,124,953,140,343,333,549,488,964,553,104,911,24,297,365,351,709
"PLA2G4B",139,740,845,107,649,758,374,368,0,641,985,90,783,896,971,236,951,643,626,708,94,315,247,210,646,387,750,335,730,610,248,150,295,651,67,527,116,1000,174,587,889,773,959,157,282,501,756,709,950,535,65,167,876,676,781,127,935,643
"TLN1",887,735,705,659,707,381,335,295,641,0,972,244,84,98,680,436,410,323,235,784,948,824,531,908,705,677,810,514,250,180,243,913,206,920,868,641,843,562,561,907,265,651,444,744,896,752,47,523,639,478,619,211,658,275,798,434,821,30
"KLHDC3",477,621,940,375,986,716,806,785,985,972,0,968,740,456,38,881,617,447,691,626,864,719,556,669,402,915,17,431,747,329,390,698,905,916,490,306,802,979,260,139,310,321,912,954,183,351,706,263,350,772,183,469,511,968,395,461,944,459
"SEC31A",957,215,206,746,82,57,748,652,90,244,968,0,687,971,182,245,356,234,844,796,953,577,852,468,267,736,567,732,290,338,548,653,492,159,88,91,639,136,996,202,839,681,427,192,326,470,492,771,318,791,109,802,691,511,888,31,868,487
"XBP1",756,411,923,322,713,332,443,874,783,84,740,687,0,693,949,261,588,316,819,747,365,452,565,791,125,908,621,533,731,768,929,982,332,44,835,725,351,475,232,157,109,910,438,345,55,296,604,66,572,735,214,880,735,54,885,92,221,793
"HERPUD1",865,920,32,858,771,173,522,351,896,98,456,971,693,0,187,955,812,819,163,489,510,133,951,423,166,551,15,746,69,452,424,334,376,690,119,274,62,717,207,914,103,787,779,306,2,573,736,397,697,579,283,613,895,600,20,897,885,683
"DCTN1",505,672,110,89,362,136,209,602,971,680,38,182,949,187,0,687,244,234,800,456,991,896,88,366,233,68,76,459,621,422,969,717,50,301,779,902,246,397,859,597,123,233,325,354,108,674,547,978,371,639,927,153,177,871,945,211,308,103
"SRPRB",222,264,705,80,716,85,74,476,236,436,881,245,261,955,687,0,41,620,596,387,511,864,612,442,357,535,161,84,960,789,299,233,20,661,161,908,924,566,259,130,878,76,105,647,428,85,207,433,231,872,949,977,322,393,601,367,69,566
