"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CCL2",0,935,40,64,935,3,357,237,119,769,341,600,51,775,800,266,14,996,373,794,81,46,568,580,538,287,52,173,328,838,282,160,658,337,1,286,75,775,75,403,271,593,6,117,190,648,286,136,249,315,913,3,376,149,381,265,19,247
"FKBP14",935,0,873,297,818,337,938,549,479,984,102,170,734,647,416,795,633,861,619,442,49,72,238,459,53,673,271,702,527,690,928,656,326,694,600,694,80,678,954,801,748,979,762,796,334,534,747,319,784,892,192,270,626,307,446,872,838,426
"ACADVL",40,873,0,174,351,617,81,866,247,99,741,126,116,726,490,436,687,194,966,171,913,437,734,869,337,669,584,590,86,840,572,691,823,219,517,492,841,561,958,25,684,752,112,326,336,950,313,244,192,181,25,411,206,687,583,991,880,406
"ADD1",64,297,174,0,97,506,46,379,160,974,20,613,813,468,637,450,940,323,28,628,773,61,873,742,870,77,408,606,867,355,851,49,294,642,35,892,0,273,376,200,789,702,549,352,665,970,481,318,525,66,796,235,651,547,103,713,740,915
"EDEM1",935,818,351,97,0,103,280,211,798,764,34,538,609,153,198,858,565,712,233,924,33,287,35,207,167,555,368,642,433,221,665,190,219,318,296,358,67,729,828,664,738,635,770,349,110,352,996,163,497,76,26,248,88,672,663,603,819,50
"HSP90B1",3,337,617,506,103,0,68,86,415,115,820,18,673,258,269,40,103,560,615,50,947,760,565,554,60,666,322,577,213,461,0,423,844,23,839,339,174,600,569,21,768,147,865,40,91,270,44,657,350,4,462,27,166,36,229,389,31,218
"CUL7",357,938,81,46,280,68,0,514,393,842,657,183,2,560,356,678,116,708,62,90,837,25,613,404,637,409,8,16,718,857,958,30,198,582,216,446,351,406,284,157,14,46,335,925,599,267,463,879,99,706,802,24,23,310,403,459,826,28
"WIPI1",237,549,866,379,211,86,514,0,360,447,734,97,123,199,897,366,33,207,625,13,813,626,827,461,266,335,45,731,209,775,180,178,467,36,361,524,424,903,256,388,921,174,678,871,496,73,594,117,27,229,257,375,16,55,151,393,104,728
"PLA2G4B",119,479,247,160,798,415,393,360,0,58,585,437,707,539,78,904,934,999,606,462,275,413,562,501,848,567,281,239,198,531,714,733,189,886,420,963,5,555,381,0,531,419,782,175,340,766,70,691,200,971,829,469,487,515,235,954,805,840
"TLN1",769,984,99,974,764,115,842,447,58,0,269,995,193,428,788,465,743,778,133,917,703,400,504,133,983,268,6,10,87,562,745,352,254,553,21,740,420,231,781,665,3,392,251,810,575,734,36,30,569,852,327,207,479,664,526,471,655,83
