




Analysis Type:	PANTHER Overrepresentation Test (Released 20200407)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3873405 Released 2020-06-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (11)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903071)	8	2	.00	+	 > 100	1.13E-05	6.04E-03
integrated stress response signaling (GO:0140467)	12	3	.01	+	 > 100	4.94E-08	5.26E-05
PERK-mediated unfolded protein response (GO:0036499)	12	3	.01	+	 > 100	4.94E-08	4.93E-05
regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069)	10	2	.01	+	 > 100	1.66E-05	8.30E-03
positive regulation of ERAD pathway (GO:1904294)	16	3	.01	+	 > 100	1.05E-07	9.88E-05
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)	13	2	.01	+	 > 100	2.64E-05	1.21E-02
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236)	20	3	.01	+	 > 100	1.92E-07	1.46E-04
IRE1-mediated unfolded protein response (GO:0036498)	55	8	.03	+	 > 100	7.14E-19	1.63E-15
ER-nucleus signaling pathway (GO:0006984)	38	5	.02	+	 > 100	1.34E-11	2.38E-08
endoplasmic reticulum unfolded protein response (GO:0030968)	104	11	.05	+	 > 100	8.74E-26	1.40E-21
regulation of ERAD pathway (GO:1904292)	31	3	.02	+	 > 100	6.47E-07	4.13E-04
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)	33	3	.02	+	 > 100	7.71E-07	4.74E-04
cellular response to unfolded protein (GO:0034620)	128	11	.07	+	 > 100	7.67E-25	6.13E-21
endoplasmic reticulum calcium ion homeostasis (GO:0032469)	25	2	.01	+	 > 100	8.81E-05	3.27E-02
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	39	3	.02	+	 > 100	1.24E-06	7.32E-04
cellular response to topologically incorrect protein (GO:0035967)	147	11	.08	+	 > 100	3.30E-24	1.76E-20
