




Analysis Type:	PANTHER Overrepresentation Test (Released 20200407)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3873405 Released 2020-06-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (43)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
IRE1-mediated unfolded protein response (GO:0036498)	55	36	.11	+	 > 100	1.05E-81	3.34E-78
sequestering of calcium ion (GO:0051208)	4	2	.01	+	 > 100	6.17E-05	1.70E-02
regulation of ATF6-mediated unfolded protein response (GO:1903891)	4	2	.01	+	 > 100	6.17E-05	1.67E-02
ATF6-mediated unfolded protein response (GO:0036500)	9	4	.02	+	 > 100	1.10E-08	7.61E-06
protein folding in endoplasmic reticulum (GO:0034975)	10	4	.02	+	 > 100	1.53E-08	1.02E-05
endoplasmic reticulum unfolded protein response (GO:0030968)	104	41	.21	+	 > 100	5.50E-89	8.78E-85
integrated stress response signaling (GO:0140467)	12	4	.02	+	 > 100	2.78E-08	1.71E-05
PERK-mediated unfolded protein response (GO:0036499)	12	4	.02	+	 > 100	2.78E-08	1.64E-05
cellular response to unfolded protein (GO:0034620)	128	41	.26	+	 > 100	7.78E-86	6.21E-82
cellular response to topologically incorrect protein (GO:0035967)	147	41	.30	+	 > 100	1.09E-83	5.82E-80
ER overload response (GO:0006983)	12	3	.02	+	 > 100	3.63E-06	1.81E-03
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)	12	3	.02	+	 > 100	3.63E-06	1.76E-03
response to unfolded protein (GO:0006986)	165	41	.34	+	 > 100	7.23E-82	2.88E-78
protein maturation by protein folding (GO:0022417)	9	2	.02	+	 > 100	2.25E-04	4.13E-02
response to topologically incorrect protein (GO:0035966)	186	41	.38	+	 > 100	5.89E-80	1.57E-76
regulation of translational initiation in response to stress (GO:0043558)	10	2	.02	+	96.98	2.69E-04	4.68E-02
ER-nucleus signaling pathway (GO:0006984)	38	7	.08	+	89.32	4.01E-12	3.37E-09
response to endoplasmic reticulum stress (GO:0034976)	256	41	.53	+	77.66	9.26E-75	2.11E-71
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)	33	3	.07	+	44.08	5.53E-05	1.67E-02
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	33	3	.07	+	44.08	5.53E-05	1.63E-02
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	47	4	.10	+	41.27	3.62E-06	1.87E-03
